,YStock,XStock,PValue,Beta(Slope),STD_ERR_Ratio,Alpha(Intercept),Close_STD_Error(Z-Score),Alpha:YPrice
0,MINI,NKDZ2019,0.0000,0.96,8.61,5514.74,-1.97,19.93832025742073
1,NKDZ2019,MINI,0.0000,0.61,8.22,6249.74,1.57,26.805661591250267
