,YStock,XStock,PValue,Beta(Slope),STD_ERR_Ratio,Alpha(Intercept),Close_STD_Error(Z-Score),Alpha:YPrice
0,6EZ2019,6NZ2019,0.0000,0.29,8.07,0.92,0.44,82.85675687846175
1,6NZ2019,6EZ2019,0.0000,0.57,19.59,0.01,1.85,1.5269506794930523
