,YStock,XStock,PValue,Beta(Slope),STD_ERR_Ratio,Alpha(Intercept),Close_STD_Error(Z-Score),Alpha:YPrice
0,SBIN,ICICIBANK,0.0000,0.97,0.85,-159.69,-1.62,-47.526785714285715
1,ICICIBANK,SBIN,0.0000,0.93,0.53,195.08,2.07,37.006544626766576
