,YStock,XStock,PValue,Beta(Slope),STD_ERR_Ratio,Alpha(Intercept),Close_STD_Error(Z-Score),Alpha:YPrice
0,SBIN,ALBK,0.0000,-11.01,1.02,582.04,0.17,173.22619047619048
1,ALBK,SBIN,0.0000,-0.02,0.53,32.04,-1.58,140.52631578947367
