,YStock,XStock,PValue,Beta(Slope),STD_ERR_Ratio,Alpha(Intercept),Close_STD_Error(Z-Score),Alpha:YPrice
36,AXISBANK,NIFTY,0.0000,0.09,2.38,-349.53,-1.65,-48.012362637362635
37,NIFTY,AXISBANK,0.0000,9.93,1.53,4612.14,1.84,38.40953380302804
38,AXISBANK,BANKNIFTY,0.0000,0.02,1.34,161.96,-1.52,22.247252747252748
39,BANKNIFTY,AXISBANK,0.0000,42.18,1.53,-185.95,1.88,-0.5870189727562585
40,AXISBANK,KOTAKBANK,0.2314,0.08,4.06,586.85,0.17,80.61126373626374
41,KOTAKBANK,AXISBANK,0.2314,0.06,1.53,1560.65,1.91,94.79454550976403
42,ALBK,PNB,0.0425,-0.05,1.15,28.95,-1.90,126.97368421052632
43,PNB,ALBK,0.0425,-0.25,1.02,68.40,-0.11,109.7913322632424
44,ALBK,ICICIBANK,0.0000,-0.03,0.85,38.37,-1.12,168.2894736842105
45,ICICIBANK,ALBK,0.0000,-13.17,1.02,809.97,0.68,153.65076353978944
46,ALBK,NIFTY,0.0000,-0.00,2.38,50.38,-1.70,220.96491228070175
47,NIFTY,ALBK,0.0000,-81.09,1.02,13834.49,0.08,115.21252852312664
48,ALBK,BANKNIFTY,0.0000,-0.00,1.34,43.99,-1.52,192.93859649122805
49,BANKNIFTY,ALBK,0.0000,-489.98,1.02,42701.55,0.13,134.8030116488304
50,ALBK,KOTAKBANK,0.0000,-0.03,4.06,75.04,-1.11,329.1228070175439
51,KOTAKBANK,ALBK,0.0000,-7.60,1.02,1796.67,1.14,109.13050080481065
52,PNB,ICICIBANK,0.0000,0.07,0.85,29.35,-1.52,47.1107544141252
53,ICICIBANK,PNB,0.0000,7.26,1.15,23.40,2.26,4.438964241676942
54,PNB,NIFTY,0.0000,0.01,2.38,-47.85,-1.19,-76.80577849117175
55,NIFTY,PNB,0.0000,77.64,1.15,6950.16,1.47,57.8803777544596
56,PNB,BANKNIFTY,0.0000,0.00,1.34,4.96,-1.29,7.96147672552167
57,BANKNIFTY,PNB,0.0000,328.12,1.15,9841.43,1.73,31.068062000820785
58,PNB,KOTAKBANK,0.4915,-0.01,4.06,70.71,0.19,113.4991974317817
59,KOTAKBANK,PNB,0.4915,-0.29,1.15,1620.39,1.93,98.42317854648162
60,ICICIBANK,NIFTY,0.0000,0.10,2.38,-752.85,2.33,-142.81513800626007
61,NIFTY,ICICIBANK,0.0000,8.23,0.85,7866.98,-1.83,65.51558153866654
62,ICICIBANK,BANKNIFTY,0.0000,0.02,1.34,-253.98,2.67,-48.17983496158589
63,BANKNIFTY,ICICIBANK,0.0000,39.73,0.85,11369.17,-2.37,35.890930327998234
64,ICICIBANK,KOTAKBANK,0.0000,0.50,4.06,-332.78,1.06,-63.12814189509628
65,KOTAKBANK,ICICIBANK,0.0000,0.25,0.85,1482.09,1.42,90.0227776596714
66,NIFTY,BANKNIFTY,0.0000,0.21,1.34,5398.87,-0.92,44.96135845034061
67,BANKNIFTY,NIFTY,0.0000,4.40,2.38,-21623.33,1.20,-68.26192505603434
68,NIFTY,KOTAKBANK,0.0013,2.31,4.06,8062.04,0.52,67.14002564999417
69,KOTAKBANK,NIFTY,0.0013,0.01,2.38,1428.56,1.79,86.7713426671121
70,BANKNIFTY,KOTAKBANK,0.0000,18.52,4.06,497.89,0.56,1.5717713167282255
71,KOTAKBANK,BANKNIFTY,0.0000,0.01,1.34,1431.10,1.64,86.92562334861968
