,YStock,XStock,PValue,Beta(Slope),STD_ERR_Ratio,Alpha(Intercept),Close_STD_Error(Z-Score),Alpha:YPrice
0,SBIN,HDFC,0.0000,0.28,1.13,-308.75,-0.93,-91.88988095238095
1,HDFC,SBIN,0.0000,3.17,0.53,1209.39,1.35,52.06155832974603
2,SBIN,AXISBANK,0.0000,1.05,1.53,-457.37,1.66,-136.1220238095238
3,AXISBANK,SBIN,0.0000,0.72,0.53,502.07,-1.30,68.96565934065934
4,SBIN,ALBK,0.0000,-11.01,1.02,582.04,0.17,173.22619047619048
5,ALBK,SBIN,0.0000,-0.02,0.53,32.04,-1.58,140.52631578947367
6,SBIN,PNB,0.0000,8.66,1.15,-236.43,1.74,-70.36607142857143
7,PNB,SBIN,0.0000,0.08,0.53,38.43,-1.37,61.68539325842697
8,SBIN,ICICIBANK,0.0000,0.97,0.85,-159.69,-1.62,-47.526785714285715
9,ICICIBANK,SBIN,0.0000,0.93,0.53,195.08,2.07,37.006544626766576
10,SBIN,NIFTY,0.0000,0.11,2.38,-996.13,0.86,-296.4672619047619
11,NIFTY,SBIN,0.0000,8.28,0.53,9271.95,-0.57,77.21605956128518
12,SBIN,BANKNIFTY,0.0000,0.02,1.34,-446.99,-0.28,-133.0327380952381
13,BANKNIFTY,SBIN,0.0000,38.88,0.53,18490.31,0.49,58.37140512043439
14,SBIN,KOTAKBANK,0.0002,0.31,4.06,-194.01,0.68,-57.74107142857143
15,KOTAKBANK,SBIN,0.0002,0.15,0.53,1557.77,1.73,94.61961308348772
16,HDFC,AXISBANK,0.0000,3.43,1.53,-304.33,2.26,-13.100731812311667
17,AXISBANK,HDFC,0.0000,0.21,1.13,266.65,-1.76,36.62774725274725
18,HDFC,ALBK,0.0000,-46.25,1.02,3344.21,0.38,143.96082651743436
19,ALBK,HDFC,0.0000,-0.01,1.13,42.96,-1.28,188.42105263157893
20,HDFC,PNB,0.0000,24.78,1.15,625.85,1.95,26.941455015066722
21,PNB,HDFC,0.0000,0.02,1.13,18.90,-1.29,30.337078651685392
22,HDFC,ICICIBANK,0.0000,3.29,0.85,606.19,-0.49,26.095135600516578
23,ICICIBANK,HDFC,0.0000,0.28,1.13,-128.31,0.96,-24.3403205918619
24,HDFC,NIFTY,0.0000,0.36,2.38,-2090.69,1.84,-89.99956952216961
25,NIFTY,HDFC,0.0000,2.42,1.13,6537.84,-1.41,54.4466097036926
26,HDFC,BANKNIFTY,0.0000,0.08,1.34,-304.20,1.34,-13.095135600516574
27,BANKNIFTY,HDFC,0.0000,11.41,1.13,5514.52,-0.99,17.408592985446855
28,HDFC,KOTAKBANK,0.0000,1.61,4.06,-412.16,0.87,-17.742574257425744
29,KOTAKBANK,HDFC,0.0000,0.07,1.13,1453.82,1.52,88.30564582257722
30,AXISBANK,ALBK,0.0000,-6.48,1.02,885.35,-0.37,121.61401098901099
31,ALBK,AXISBANK,0.0000,-0.02,1.53,38.83,-1.92,170.30701754385964
32,AXISBANK,PNB,0.0000,7.60,1.15,248.47,0.43,34.130494505494504
33,PNB,AXISBANK,0.0000,0.10,1.53,-9.95,-0.32,-15.971107544141251
34,AXISBANK,ICICIBANK,0.0000,0.70,0.85,387.50,-1.91,53.22802197802198
35,ICICIBANK,AXISBANK,0.0000,0.97,1.53,-226.05,2.53,-42.881532770558664
