,YStock,XStock,PValue,Beta(Slope),STD_ERR_Ratio,Alpha(Intercept),Close_STD_Error(Z-Score),Alpha:YPrice
0,6AZ2019,6EZ2019,0.0000,0.64,19.32,-0.03,0.27,-4.38532378307265
1,6EZ2019,6AZ2019,0.0000,1.08,15.42,0.37,0.65,33.29433996220643
2,6AZ2019,6NZ2019,0.0000,0.40,7.79,0.42,-0.30,61.3945329630171
3,6NZ2019,6AZ2019,0.0000,1.41,15.42,-0.32,1.67,-48.82514494964907
4,6EZ2019,6NZ2019,0.0000,0.32,7.79,0.90,0.62,80.98623234050211
5,6NZ2019,6EZ2019,0.0000,0.67,19.32,-0.10,1.65,-15.257857796765334
