,YStock,XStock,PValue,Beta(Slope),STD_ERR_Ratio,Alpha(Intercept),Close_STD_Error(Z-Score),Alpha:YPrice
0,SBIN,KOTAKBANK,0.0002,0.31,4.06,-194.01,0.68,-57.74107142857143
1,KOTAKBANK,SBIN,0.0002,0.15,0.53,1557.77,1.73,94.61961308348772
