,YStock,XStock,PValue,Beta(Slope),STD_ERR_Ratio,Alpha(Intercept),Close_STD_Error(Z-Score),Alpha:YPrice
0,MSFT,AMZN,0.0000,0.05,4.17,47.58,1.47,31.745396317053643
1,AMZN,MSFT,0.0000,1.42,1.74,1561.29,-1.27,89.53531715765267
