,YStock,XStock,PValue,Beta(Slope),STD_ERR_Ratio,Alpha(Intercept),Close_STD_Error(Z-Score),Alpha:YPrice
0,CME_6AZ2019,CME_6EZ2019,0.0000,0.63,19.83,-0.02,0.00,-2.9295444558371173
1,CME_6EZ2019,CME_6AZ2019,0.0000,1.06,15.76,0.39,0.65,35.14305023653976
2,CME_6AZ2019,CBOT_ZNZ2019,0.0981,0.00,28.49,0.56,1.04,82.0272447634393
3,CBOT_ZNZ2019,CME_6AZ2019,0.0981,10.07,15.76,122.60,-1.10,94.90082244799225
4,CME_6AZ2019,CME_6NZ2019,0.0000,0.39,8.26,0.43,-0.61,62.98520580049802
5,CME_6NZ2019,CME_6AZ2019,0.0000,1.26,15.76,-0.21,1.83,-32.13957759412305
6,CME_6AZ2019,CME_MINI_MESZ2019,0.0000,-0.00,9.85,0.97,0.67,142.0829061081002
7,CME_MINI_MESZ2019,CME_6AZ2019,0.0000,-5047.12,15.76,6556.58,-0.01,210.77167885558146
8,CME_6AZ2019,COMEX_GCF2020,0.0000,0.00,11.16,0.33,-0.18,48.337483521312436
9,COMEX_GCF2020,CME_6AZ2019,0.0000,2208.30,15.76,-33.69,1.14,-2.2765051692681935
10,CME_6AZ2019,NSE_SBIN,0.0626,0.00,0.53,0.68,0.83,99.60451149846199
11,NSE_SBIN,CME_6AZ2019,0.0626,1419.82,15.76,-665.57,0.98,-198.08630952380952
12,CME_6AZ2019,NYMEX_CLF2020,0.0000,-0.00,3.44,0.76,1.69,111.32268932181046
13,NYMEX_CLF2020,CME_6AZ2019,0.0000,-201.86,15.76,194.61,1.70,334.38144329896903
14,CME_6AZ2019,NYMEX_MINI_QMF2020,0.0000,-0.00,3.37,0.73,1.62,106.92837263805478
15,NYMEX_MINI_QMF2020,CME_6AZ2019,0.0000,-140.22,15.76,152.70,2.09,259.2529711375212
16,CME_6EZ2019,CBOT_ZNZ2019,0.0022,0.00,28.49,0.83,1.34,74.79161973417436
17,CBOT_ZNZ2019,CME_6EZ2019,0.0022,14.33,19.83,113.61,-1.23,87.94194484760523
18,CME_6EZ2019,CME_6NZ2019,0.0000,0.26,8.26,0.94,0.46,84.703762108583
19,CME_6NZ2019,CME_6EZ2019,0.0000,0.51,19.83,0.08,1.67,12.243648607284971
20,CME_6EZ2019,CME_MINI_MESZ2019,0.0000,-0.00,9.85,1.54,1.03,138.7699932417211
21,CME_MINI_MESZ2019,CME_6EZ2019,0.0000,-4519.11,19.83,8121.14,0.42,261.06694527043317
22,CME_6EZ2019,COMEX_GCF2020,0.0000,0.00,11.16,0.59,-0.11,53.16512728091912
23,COMEX_GCF2020,CME_6EZ2019,0.0000,1945.47,19.83,-683.05,0.92,-46.155145617947156
24,CME_6EZ2019,NSE_SBIN,0.0000,-0.00,0.53,1.11,1.52,100.02252759630548
25,NSE_SBIN,CME_6EZ2019,0.0000,-2962.37,19.83,3576.95,1.47,1064.5684523809523
