,YStock,XStock,PValue,Beta(Slope),STD_ERR_Ratio,Alpha(Intercept),Close_STD_Error(Z-Score),Alpha:YPrice
0,6EZ2019,6AZ2019,0.0000,1.07,15.62,0.38,0.50,34.22344305849507
1,6AZ2019,6EZ2019,0.0000,0.64,19.59,-0.02,0.29,-2.926115581565472
