Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-12-20,1.2,1.2046,1.1987,1.2022,0.0032,1.2025,36.0,10.0
2017-12-21,1.2017,1.202,1.2,1.2016,0.0005,1.202,7.0,25.0
2017-12-22,1.1991,1.2004,1.1979,1.2001,0.002,1.2,11.0,25.0
2017-12-26,1.2019,1.2023,1.2013,1.2013,0.0013,1.2013,2.0,26.0
2017-12-27,1.2033,1.2049,1.2024,1.2037,0.0028,1.2041,17.0,28.0
2017-12-28,1.2057,1.2081,1.2057,1.2066,0.0039,1.208,9.0,40.0
2017-12-29,1.2086,1.2148,1.2086,1.2128,0.0068,1.2148,22.0,47.0
2018-01-02,1.2155,1.22,1.2155,1.2187,0.0032,1.218,142.0,55.0
2018-01-03,1.2195,1.2195,1.213,1.2142,0.0037,1.2143,35.0,157.0
2018-01-04,1.213,1.2209,1.213,1.2194,0.0055,1.2198,46.0,157.0
2018-01-05,1.2177,1.2198,1.2151,1.2153,0.0024,1.2174,49.0,154.0
2018-01-08,1.2172,1.2175,1.2081,1.2091,0.0086,1.2088,250.0,168.0
2018-01-09,1.2087,1.2097,1.204,1.206,0.0033,1.2055,275.0,252.0
2018-01-10,1.2057,1.214,1.2047,1.2071,0.0026,1.2081,616.0,484.0
2018-01-11,1.2068,1.2179,1.205,1.2151,0.0079,1.216,718.0,759.0
2018-01-12,1.2184,1.234,1.2153,1.2325,0.0144,1.2304,897.0,1176.0
2018-01-16,1.2321,1.2417,1.231,1.2382,0.009,1.2394,560.0,1184.0
2018-01-17,1.242,1.2444,1.2299,1.2303,0.0033,1.2361,528.0,1143.0
2018-01-18,1.23,1.2383,1.2294,1.2357,0.0002,1.2363,199.0,1345.0
2018-01-19,1.2366,1.2413,1.2334,1.2336,0.0011,1.2352,183.0,1464.0
2018-01-22,1.2374,1.2384,1.2333,1.2381,0.0025,1.2377,199.0,1547.0
2018-01-23,1.239,1.2423,1.2342,1.2416,0.0036,1.2413,266.0,1590.0
2018-01-24,1.2427,1.2532,1.2407,1.2526,0.0109,1.2522,478.0,1761.0
2018-01-25,1.2506,1.265,1.2481,1.2511,0.0016,1.2506,871.0,2084.0
2018-01-26,1.2491,1.2608,1.2491,1.2546,0.0032,1.2538,286.0,1968.0
2018-01-29,1.254,1.2546,1.2454,1.2498,0.0032,1.2506,441.0,2061.0
2018-01-30,1.2495,1.2569,1.245,1.2518,0.0014,1.252,943.0,2312.0
2018-01-31,1.2518,1.259,1.2503,1.2529,0.0007,1.2527,153.0,2837.0
2018-02-01,1.2537,1.2636,1.2499,1.2621,0.009,1.2617,467.0,2806.0
2018-02-02,1.2619,1.2631,1.2522,1.2571,0.0051,1.2566,668.0,2943.0
2018-02-05,1.2546,1.2586,1.2478,1.2478,0.0055,1.2511,737.0,3254.0
2018-02-06,1.2487,1.2544,1.2425,1.2488,0.0008,1.2503,322.0,3513.0
2018-02-07,1.2494,1.2514,1.2354,1.2374,0.0118,1.2385,214.0,3518.0
2018-02-08,1.2362,1.2402,1.2321,1.2356,0.0013,1.2372,195.0,3551.0
2018-02-09,1.2362,1.2395,1.2317,1.2361,0.003,1.2342,130.0,3524.0
2018-02-12,1.2379,1.2408,1.2346,1.2401,0.0048,1.239,171.0,3534.0
2018-02-13,1.2399,1.2478,1.2394,1.2459,0.0072,1.2462,104.0,3497.0
2018-02-14,1.2466,1.2573,1.2385,1.2558,0.0083,1.2545,373.0,3502.0
2018-02-15,1.2556,1.2615,1.2554,1.2613,0.0068,1.2613,239.0,3491.0
2018-02-16,1.2611,1.2661,1.25,1.2514,0.009,1.2523,655.0,3521.0
2018-02-20,1.2525,1.2539,1.2425,1.2441,0.0083,1.244,416.0,3690.0
2018-02-21,1.2432,1.2463,1.2386,1.2387,0.0034,1.2406,442.0,3708.0
2018-02-22,1.2383,1.2453,1.2362,1.2432,0.0026,1.2432,328.0,3802.0
2018-02-23,1.2434,1.2436,1.2381,1.2396,0.0034,1.2398,159.0,3782.0
2018-02-26,1.2393,1.2455,1.2379,1.2419,0.0014,1.2412,195.0,3784.0
2018-02-27,1.2413,1.2445,1.2322,1.2334,0.0075,1.2337,552.0,3838.0
2018-02-28,1.2334,1.234,1.2288,1.2293,0.0035,1.2302,632.0,3869.0
2018-03-01,1.2295,1.237,1.2253,1.2365,0.0048,1.235,706.0,3996.0
2018-03-02,1.237,1.2433,1.2349,1.2419,0.0077,1.2427,481.0,4019.0
2018-03-05,1.2441,1.2445,1.2366,1.2432,0.0005,1.2422,1106.0,4011.0
2018-03-06,1.2432,1.2516,1.2425,1.25,0.0078,1.25,798.0,4066.0
2018-03-07,1.252,1.2542,1.2481,1.2506,,1.25,770.0,4148.0
2018-03-08,1.2505,1.254,1.239,1.2404,0.0102,1.2398,1198.0,4190.0
2018-03-09,1.2404,1.2426,1.2365,1.2395,0.0008,1.2406,1061.0,4248.0
2018-03-12,1.2394,1.2436,1.2382,1.2427,0.0021,1.2427,1313.0,4350.0
2018-03-13,1.2427,1.2499,1.2406,1.2482,0.0062,1.2489,1661.0,4492.0
2018-03-14,1.2485,1.2506,1.244,1.2461,0.0022,1.2467,2340.0,4769.0
2018-03-15,1.2456,1.2478,1.2389,1.2392,0.0073,1.2394,4034.0,5088.0
2018-03-16,1.2394,1.2423,1.2346,1.2378,0.0023,1.2371,15485.0,5869.0
2018-03-19,1.2375,1.2445,1.2341,1.2421,0.0072,1.2443,19600.0,6835.0
2018-03-20,1.242,1.2439,1.2323,1.2326,0.0107,1.2336,17685.0,7544.0
2018-03-21,1.2326,1.2432,1.2322,1.242,0.0075,1.2411,21915.0,7648.0
2018-03-22,1.242,1.2467,1.2365,1.2383,0.0024,1.2387,18287.0,7831.0
2018-03-23,1.2383,1.2453,1.2383,1.2436,0.0059,1.2446,13413.0,8120.0
2018-03-26,1.2437,1.2541,1.243,1.2523,0.0088,1.2534,12574.0,8491.0
2018-03-27,1.2526,1.2553,1.2449,1.2478,0.0056,1.2478,16852.0,8848.0
2018-03-28,1.2477,1.2491,1.2368,1.2377,0.0097,1.2381,17495.0,8310.0
2018-03-29,1.2378,1.2403,1.2352,1.237,0.0022,1.2359,18160.0,8271.0
2018-04-02,1.2379,1.2414,1.2349,1.2369,0.0009,1.2368,12371.0,8575.0
2018-04-03,1.237,1.2403,1.2321,1.2336,0.0033,1.2335,17268.0,9076.0
2018-04-04,1.2336,1.2382,1.2323,1.2347,0.0013,1.2348,15108.0,8985.0
2018-04-05,1.2352,1.2355,1.2282,1.2303,0.0047,1.2301,15751.0,8322.0
2018-04-06,1.2302,1.2353,1.2277,1.2345,0.0047,1.2348,16369.0,9254.0
2018-04-09,1.2341,1.2392,1.2322,1.2382,0.0035,1.2383,14960.0,8665.0
2018-04-10,1.2385,1.2438,1.2363,1.2416,0.0038,1.2421,13939.0,8389.0
2018-04-11,1.2415,1.2457,1.2407,1.2428,0.0001,1.2422,14820.0,8753.0
2018-04-12,1.2428,1.2438,1.2357,1.2385,0.0035,1.2387,14678.0,9153.0
2018-04-13,1.2384,1.2403,1.2364,1.2389,0.0002,1.2389,12639.0,9070.0
2018-04-16,1.2389,1.245,1.2381,1.2436,0.0048,1.2437,13330.0,10360.0
