Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-11-21,1281.0,1288.7,1280.2,1284.4,6.5,1286.2,56442.0,226514.0
2017-11-22,1284.8,1299.0,1283.1,1296.4,10.6,1296.8,99002.0,243459.0
2017-11-24,1296.1,1297.6,1289.5,1292.6,5.0,1291.8,83375.0,288583.0
2017-11-27,1292.0,1303.4,1290.7,1298.6,7.1,1298.9,143791.0,311666.0
2017-11-28,1298.8,1301.3,1294.5,1297.6,0.3,1299.2,224246.0,348899.0
2017-11-29,1298.0,1300.4,1285.1,1286.9,13.0,1286.2,371389.0,372093.0
2017-11-30,1286.9,1288.4,1273.1,1277.6,9.5,1276.7,335110.0,377828.0
2017-12-01,1277.9,1292.5,1274.2,1283.2,5.6,1282.3,422565.0,377095.0
2017-12-04,1277.6,1280.5,1273.5,1278.6,4.6,1277.7,250855.0,366359.0
2017-12-05,1279.1,1279.8,1263.2,1268.4,12.8,1264.9,313048.0,365093.0
2017-12-06,1268.3,1271.8,1264.8,1265.6,1.2,1266.1,240284.0,363639.0
2017-12-07,1265.2,1266.8,1245.8,1249.1,13.0,1253.1,306603.0,358052.0
2017-12-08,1249.5,1254.4,1244.4,1250.5,4.7,1248.4,270938.0,351663.0
2017-12-11,1249.2,1253.4,1242.4,1243.6,1.5,1246.9,186221.0,346207.0
2017-12-12,1243.9,1247.9,1238.3,1246.4,5.2,1241.7,218119.0,344282.0
2017-12-13,1246.3,1259.7,1242.3,1258.1,6.9,1248.6,297254.0,337708.0
2017-12-14,1258.1,1261.6,1252.8,1255.3,8.5,1257.1,253715.0,338877.0
2017-12-15,1255.5,1264.5,1255.2,1258.1,0.4,1257.5,231767.0,333225.0
2017-12-18,1257.8,1267.0,1255.3,1265.3,8.0,1265.5,204992.0,335262.0
2017-12-19,1265.4,1268.6,1262.3,1264.8,1.3,1264.2,197264.0,334298.0
2017-12-20,1264.8,1271.4,1264.4,1269.1,5.4,1269.6,199170.0,332929.0
2017-12-21,1268.8,1272.5,1266.0,1269.9,1.0,1270.6,189227.0,331453.0
2017-12-22,1270.3,1280.4,1268.4,1279.1,8.2,1278.8,182124.0,332691.0
2017-12-26,1279.0,1288.4,1277.7,1287.6,8.7,1287.5,131559.0,331536.0
2017-12-27,1287.8,1293.2,1286.0,1291.4,3.9,1291.4,193895.0,331420.0
2017-12-28,1292.0,1297.3,1290.5,1297.2,5.8,1297.2,214516.0,332660.0
2017-12-29,1307.2,1308.8,1307.0,1308.2,11.9,1311.4,15.0,0.0
2018-01-02,1311.0,1322.3,1310.8,1321.9,6.9,1318.3,115.0,6.0
2018-01-03,1322.0,1324.5,1311.3,1318.7,2.5,1320.8,1262.0,44.0
