,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,BANKNIFTY,AXISBANK,0.0000,16.83,0.97,16832.77,-2.16,67.82129230074982
1,BANKNIFTY,BANKBARODA,0.0212,12.86,0.69,24395.64,-0.81,98.29302196274674
2,BANKNIFTY,HDFCBANK,0.0000,9.10,1.54,7969.12,-1.37,32.10856067657025
3,BANKNIFTY,ICICIBANK,0.0000,19.22,0.93,20341.28,-1.55,81.9575088741423
4,BANKNIFTY,IDFCBANK,0.0047,-39.97,0.58,28010.96,-1.55,112.85958911008771
5,BANKNIFTY,INDUSINDBK,0.0000,6.12,1.23,14905.24,0.21,60.05503781331464
6,BANKNIFTY,KOTAKBANK,0.0000,6.37,0.82,18493.09,-0.58,74.51092496565174
7,BANKNIFTY,PNB,0.6039,-1.55,0.27,26331.02,-1.24,106.0909050617866
8,BANKNIFTY,RBLBANK,0.0000,21.21,0.92,14930.26,-1.37,60.15584645819987
9,BANKNIFTY,SBIN,0.0000,37.25,0.93,16040.52,-1.70,64.62922000217573
10,BANKNIFTY,YESBANK,0.0000,20.71,0.68,19262.98,1.32,77.61290608518371
11,AXISBANK,BANKBARODA,0.0005,0.74,0.69,452.50,1.36,77.18550106609808
12,HDFCBANK,AXISBANK,0.0024,0.51,0.97,1718.11,-0.63,87.75941769888902
13,AXISBANK,ICICIBANK,0.0000,1.40,0.93,129.93,0.49,22.162899786780383
14,AXISBANK,IDFCBANK,0.1525,0.78,0.58,519.69,0.88,88.64648187633263
15,INDUSINDBK,AXISBANK,0.9795,0.01,0.97,1840.01,-2.24,115.76030198175526
16,AXISBANK,KOTAKBANK,0.7415,0.01,0.82,543.71,0.74,92.74371002132196
17,AXISBANK,PNB,0.1778,0.15,0.27,540.52,0.83,92.19957356076759
18,AXISBANK,RBLBANK,0.0000,0.59,0.92,240.39,1.25,41.0046908315565
19,AXISBANK,SBIN,0.0000,1.49,0.93,150.86,1.13,25.73304904051173
20,AXISBANK,YESBANK,0.2232,0.11,0.68,519.69,1.00,88.64648187633263
21,HDFCBANK,BANKBARODA,0.0000,-2.07,0.69,2288.63,-1.26,116.90103435065764
22,ICICIBANK,BANKBARODA,0.0000,0.93,0.69,175.05,2.26,55.308056872037916
23,BANKBARODA,IDFCBANK,0.0000,1.98,0.58,48.31,-1.81,46.74407353652637
24,INDUSINDBK,BANKBARODA,0.0148,-1.36,0.69,2030.89,-2.71,127.76910978295061
25,KOTAKBANK,BANKBARODA,0.0000,-3.30,0.69,1664.83,-2.53,154.93997208003722
26,BANKBARODA,PNB,0.0000,0.39,0.27,101.15,-2.18,97.87131107885826
27,RBLBANK,BANKBARODA,0.0368,-0.45,0.69,592.84,-0.87,116.5058465166552
28,SBIN,BANKBARODA,0.0000,0.70,0.69,174.63,1.24,64.3559977888336
29,BANKBARODA,YESBANK,0.0000,0.16,0.68,86.77,-1.20,83.95742622157717
30,HDFCBANK,ICICIBANK,0.0213,-0.69,0.93,2210.92,-0.37,112.93168177755076
31,HDFCBANK,IDFCBANK,0.0000,-11.22,0.58,2515.75,-2.04,128.5021070105989
32,HDFCBANK,INDUSINDBK,0.0000,0.69,1.23,731.59,2.18,37.3689184012259
33,HDFCBANK,KOTAKBANK,0.0000,0.79,0.82,1049.51,1.35,53.60796833099221
34,HDFCBANK,PNB,0.0000,-1.60,0.27,2157.83,-1.11,110.21989528795811
35,HDFCBANK,RBLBANK,0.0000,1.73,0.92,1086.21,-0.11,55.48256927595454
36,HDFCBANK,SBIN,0.0003,1.19,0.93,1677.06,-0.46,85.6626229089516
37,HDFCBANK,YESBANK,0.0000,1.42,0.68,1527.99,1.50,78.04826969735666
38,ICICIBANK,IDFCBANK,0.0000,2.32,0.58,197.37,1.66,62.360189573459714
39,INDUSINDBK,ICICIBANK,0.0000,-1.57,0.93,2321.04,-2.19,146.023277760302
40,ICICIBANK,KOTAKBANK,0.0000,-0.08,0.82,405.73,0.07,128.19273301737758
41,ICICIBANK,PNB,0.0000,0.48,0.27,256.99,1.39,81.19747235387045
42,ICICIBANK,RBLBANK,0.0264,0.09,0.92,254.03,0.61,80.26224328593997
43,ICICIBANK,SBIN,0.0000,0.88,0.93,62.91,0.90,19.876777251184834
44,ICICIBANK,YESBANK,0.3965,0.04,0.68,289.65,0.72,91.51658767772511
45,INDUSINDBK,IDFCBANK,0.0000,-11.29,0.58,2360.04,-3.92,148.47687952186223
46,KOTAKBANK,IDFCBANK,0.0000,-14.32,0.58,1863.13,-3.74,173.39506747324336
47,IDFCBANK,PNB,0.0000,0.18,0.27,28.32,-1.07,77.16621253405994
48,RBLBANK,IDFCBANK,0.0000,-3.03,0.58,669.42,-1.24,131.55546821263633
49,SBIN,IDFCBANK,0.0001,1.09,0.58,222.30,0.43,81.92371475953564
50,YESBANK,IDFCBANK,0.7876,0.13,0.58,328.15,-3.17,152.62790697674419
51,INDUSINDBK,KOTAKBANK,0.0000,0.90,0.82,761.90,-2.46,47.9333123623781
52,INDUSINDBK,PNB,0.0000,-2.15,0.27,2051.54,-3.40,129.0682604592639
53,INDUSINDBK,RBLBANK,0.0000,1.65,0.92,966.79,-2.49,60.8235294117647
54,INDUSINDBK,SBIN,0.8353,0.08,0.93,1820.99,-2.24,114.56369927650205
55,INDUSINDBK,YESBANK,0.0000,1.84,0.68,1228.69,-0.38,77.30040893362693
56,KOTAKBANK,PNB,0.0000,-2.44,0.27,1444.67,-2.46,134.45044206607724
57,RBLBANK,KOTAKBANK,0.0000,0.27,0.82,199.60,0.47,39.22570502112607
58,SBIN,KOTAKBANK,0.9024,-0.00,0.82,274.47,-0.05,101.14980652294085
59,KOTAKBANK,YESBANK,0.0000,1.46,0.68,718.35,0.43,66.85435086086552
60,RBLBANK,PNB,0.0000,-0.59,0.27,587.44,-1.01,115.44463004814779
