,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,CME_YM2,CME_CL18,0.0000,227.06,0.57,11276.86,-1.11,42.478848834143214
1,CME_YM2,CME_NQ2,0.0000,2.35,0.66,8504.11,0.97,32.03416581911327
2,CME_ES2,CME_YM2,0.0000,0.10,0.92,375.61,-0.13,12.965481532619952
3,CME_GC2,CME_YM2,0.0003,-0.01,0.92,1432.80,-1.66,120.25178346621905
4,CME_NQ2,CME_CL18,0.0000,96.16,0.57,1216.94,-2.98,16.363868625407605
5,CME_ES2,CME_CL18,0.0000,23.33,0.57,1349.93,-1.75,46.59751467034864
6,CME_GC2,CME_CL18,0.0000,-2.96,0.57,1450.20,-1.12,121.71212757028955
7,CME_ES2,CME_NQ2,0.0000,0.24,0.66,1048.24,1.05,36.183638246461854
8,CME_GC2,CME_NQ2,0.0000,-0.03,0.66,1485.70,-1.57,124.69156525388166
9,CME_GC2,CME_ES2,0.0000,-0.11,1.04,1573.56,-1.52,132.06546370121694
