,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,BANKNIFTY,AXISBANK,0.0000,16.79,0.97,16827.00,-1.76,68.60420790414084
1,BANKNIFTY,BANKBARODA,0.0032,16.30,0.67,23907.02,-0.79,97.46967198243614
2,BANKNIFTY,HDFCBANK,0.0000,9.45,1.55,7208.01,-1.46,29.38728333126084
3,BANKNIFTY,ICICIBANK,0.0000,19.92,0.96,20115.00,-1.60,82.00948725214197
4,BANKNIFTY,IDFCBANK,0.0147,-37.66,0.61,27848.92,-1.80,113.54092218373957
5,BANKNIFTY,INDUSINDBK,0.0000,6.62,1.22,13940.14,-0.07,56.83438894472157
6,BANKNIFTY,KOTAKBANK,0.0000,7.01,0.84,17663.53,-1.04,72.01476700784625
7,BANKNIFTY,PNB,0.7231,-1.19,0.28,26259.77,-1.43,107.06190768377728
8,BANKNIFTY,RBLBANK,0.0000,21.50,0.91,14749.83,-1.46,60.13552052479548
9,BANKNIFTY,SBIN,0.0000,39.58,0.95,15413.21,-1.65,62.84014163607194
10,BANKNIFTY,YESBANK,0.0000,19.76,0.63,19591.40,0.59,79.87475359441284
11,AXISBANK,BANKBARODA,0.0023,0.63,0.67,468.08,0.61,84.66672696029664
12,HDFCBANK,AXISBANK,0.0013,0.54,0.97,1704.03,-0.65,87.80944037926415
13,AXISBANK,ICICIBANK,0.0000,1.46,0.96,112.86,-0.27,20.41421723794881
14,AXISBANK,IDFCBANK,0.3071,0.60,0.61,528.03,0.11,95.51053631183865
15,INDUSINDBK,AXISBANK,0.7980,0.05,0.97,1815.22,-2.06,112.89383668138565
16,AXISBANK,KOTAKBANK,0.5583,0.02,0.84,533.49,-0.01,96.49814597087817
17,AXISBANK,PNB,0.3657,0.11,0.28,544.16,0.04,98.42814506647372
18,AXISBANK,RBLBANK,0.0000,0.59,0.91,243.36,0.45,44.019173374333
19,AXISBANK,SBIN,0.0000,1.53,0.95,140.47,0.37,25.408338609025954
20,AXISBANK,YESBANK,0.3116,0.08,0.63,527.48,0.16,95.41105182237496
21,HDFCBANK,BANKBARODA,0.0008,-1.57,0.67,2218.98,-1.39,114.3450479233227
22,ICICIBANK,BANKBARODA,0.0000,0.76,0.67,198.33,1.79,64.76081632653062
23,BANKBARODA,IDFCBANK,0.0000,2.16,0.61,39.79,-1.93,42.67024128686327
24,INDUSINDBK,BANKBARODA,0.8173,-0.13,0.67,1861.13,-2.11,115.74911375085514
25,KOTAKBANK,BANKBARODA,0.0000,-2.32,0.67,1529.11,-1.99,137.95029094681763
