,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,BANKNIFTY,AXISBANK,0.0000,16.75,0.97,16863.04,-2.21,68.98797019242373
1,BANKNIFTY,BANKBARODA,0.0101,14.27,0.68,24196.02,-1.04,98.98774518326995
2,BANKNIFTY,HDFCBANK,0.0000,9.18,1.54,7793.47,-1.97,31.883674358570495
3,BANKNIFTY,ICICIBANK,0.0000,19.30,0.93,20309.52,-1.73,83.08778016196568
4,BANKNIFTY,IDFCBANK,0.0085,-38.26,0.59,27917.27,-1.89,114.21165997434895
5,BANKNIFTY,INDUSINDBK,0.0000,6.21,1.22,14732.35,-0.30,60.2711564856843
6,BANKNIFTY,KOTAKBANK,0.0000,6.49,0.83,18329.00,-0.81,74.98532326656016
7,BANKNIFTY,PNB,0.7094,-1.14,0.27,26281.14,-1.54,107.51812857841261
8,BANKNIFTY,RBLBANK,0.0000,21.31,0.91,14871.11,-1.33,60.83883412529737
9,BANKNIFTY,SBIN,0.0000,37.88,0.93,15869.33,-1.55,64.9226275341656
10,BANKNIFTY,YESBANK,0.0000,20.27,0.66,19415.79,1.02,79.43146323452704
11,AXISBANK,BANKBARODA,0.0007,0.71,0.68,457.10,0.97,80.40457343887424
12,HDFCBANK,AXISBANK,0.0024,0.51,0.97,1718.51,-0.46,87.44262962397599
13,AXISBANK,ICICIBANK,0.0000,1.41,0.93,127.84,0.30,22.487247141600704
14,AXISBANK,IDFCBANK,0.1643,0.77,0.59,520.18,0.48,91.5004397537379
15,INDUSINDBK,AXISBANK,0.9935,-0.00,0.97,1843.29,-2.06,114.67881917441753
16,AXISBANK,KOTAKBANK,0.7549,0.01,0.83,544.37,0.33,95.75549692172383
17,AXISBANK,PNB,0.1870,0.15,0.27,540.73,0.42,95.11521547933157
18,AXISBANK,RBLBANK,0.0000,0.59,0.91,242.86,1.04,42.71943711521548
19,AXISBANK,SBIN,0.0000,1.50,0.93,148.86,1.18,26.18469656992085
20,AXISBANK,YESBANK,0.2693,0.09,0.66,524.14,0.58,92.19700967458223
21,HDFCBANK,BANKBARODA,0.0000,-1.92,0.68,2268.63,-1.21,115.43428484200885
