,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
22,ICICIBANK,BANKBARODA,0.0000,0.89,0.68,180.61,1.89,58.77318581191018
23,BANKBARODA,IDFCBANK,0.0000,2.04,0.59,45.32,-1.89,45.73158425832493
24,INDUSINDBK,BANKBARODA,0.0694,-1.01,0.68,1982.06,-2.43,123.3122841944816
25,KOTAKBANK,BANKBARODA,0.0000,-2.98,0.68,1619.70,-2.70,153.93461319140846
26,BANKBARODA,PNB,0.0000,0.39,0.27,100.25,-2.47,101.16044399596367
27,RBLBANK,BANKBARODA,0.0597,-0.40,0.68,585.96,-1.29,119.52269250382457
28,SBIN,BANKBARODA,0.0000,0.68,0.68,177.50,0.68,68.70524482291465
29,BANKBARODA,YESBANK,0.0000,0.17,0.66,83.42,-1.30,84.17759838546922
30,HDFCBANK,ICICIBANK,0.0253,-0.67,0.93,2205.30,-0.36,112.21187604945811
31,HDFCBANK,IDFCBANK,0.0000,-11.27,0.59,2516.74,-2.12,128.05882053630486
32,HDFCBANK,INDUSINDBK,0.0000,0.68,1.22,754.97,2.02,38.41500025441408
33,HDFCBANK,KOTAKBANK,0.0000,0.78,0.83,1054.47,1.87,53.65440390780034
34,HDFCBANK,PNB,0.0000,-1.59,0.27,2156.03,-1.02,109.70487966213811
35,HDFCBANK,RBLBANK,0.0000,1.72,0.91,1088.97,0.51,55.40986108990994
36,HDFCBANK,SBIN,0.0001,1.25,0.93,1663.40,-0.21,84.63847758611917
37,HDFCBANK,YESBANK,0.0000,1.35,0.66,1552.41,1.62,78.99099374141353
38,ICICIBANK,IDFCBANK,0.0000,2.33,0.59,197.35,1.35,64.22063130491377
39,INDUSINDBK,ICICIBANK,0.0000,-1.55,0.93,2314.08,-2.14,143.96864404143466
40,ICICIBANK,KOTAKBANK,0.0000,-0.08,0.83,403.74,-0.41,131.38301334201105
41,ICICIBANK,PNB,0.0000,0.48,0.27,257.06,0.95,83.65115522290921
42,ICICIBANK,RBLBANK,0.0270,0.09,0.91,254.39,0.30,82.78229742922225
43,ICICIBANK,SBIN,0.0000,0.88,0.93,63.55,1.05,20.68011714936544
44,ICICIBANK,YESBANK,0.4338,0.04,0.66,291.08,0.34,94.72177025707776
45,INDUSINDBK,IDFCBANK,0.0000,-10.84,0.59,2337.39,-3.67,145.41885712508167
46,KOTAKBANK,IDFCBANK,0.0000,-14.09,0.59,1850.72,-4.08,175.89051511119558
47,IDFCBANK,PNB,0.0000,0.18,0.27,28.43,-1.46,80.42432814710043
48,RBLBANK,IDFCBANK,0.0000,-3.08,0.59,670.94,-1.80,136.85670576236615
49,SBIN,IDFCBANK,0.0001,1.06,0.59,223.46,-0.13,86.4950648345268
50,YESBANK,IDFCBANK,0.4917,0.34,0.59,317.74,-3.22,154.24271844660194
51,INDUSINDBK,KOTAKBANK,0.0000,0.90,0.83,753.97,-1.73,46.9076430149003
52,INDUSINDBK,PNB,0.0000,-2.07,0.27,2042.94,-3.10,127.09988490372352
53,INDUSINDBK,RBLBANK,0.0000,1.67,0.91,956.18,-1.93,59.487977105173115
54,INDUSINDBK,SBIN,0.6543,0.17,0.93,1794.93,-2.04,111.67014029302891
55,INDUSINDBK,YESBANK,0.0000,1.84,0.66,1229.00,-0.01,76.46125610476872
56,KOTAKBANK,PNB,0.0000,-2.39,0.27,1438.66,-2.66,136.72875879110435
57,RBLBANK,KOTAKBANK,0.0000,0.28,0.83,195.21,0.10,39.818459969403364
58,SBIN,KOTAKBANK,0.9214,0.00,0.83,270.20,-0.61,104.58680085155795
59,KOTAKBANK,YESBANK,0.0000,1.45,0.66,724.08,0.31,68.81581448393841
60,RBLBANK,PNB,0.0000,-0.59,0.27,587.78,-1.47,119.89393166751657
61,SBIN,PNB,0.0000,0.34,0.27,239.33,-0.13,92.6378943293981
62,YESBANK,PNB,0.0614,0.19,0.27,314.71,-3.18,152.77184466019415
63,SBIN,RBLBANK,0.0000,0.23,0.91,147.74,-0.22,57.18598800077414
64,RBLBANK,YESBANK,0.0000,0.48,0.66,369.03,0.54,75.27383987761347
65,SBIN,YESBANK,0.0000,0.20,0.66,206.92,0.54,80.09289723243661
