,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,CME_YM2,CME_CL18,0.0000,230.97,0.58,11052.10,-0.98,41.62435974691172
1,CME_YM2,CME_NQ2,0.0000,2.34,0.65,8507.11,0.85,32.03943205784875
2,CME_ES2,CME_YM2,0.0000,0.10,0.91,378.24,0.04,13.030402204805787
3,CME_GC2,CME_YM2,0.0024,-0.01,0.91,1407.70,-1.41,116.76343729263438
4,CME_NQ2,CME_CL18,0.0000,98.32,0.58,1095.71,-2.70,14.660779394547584
5,CME_ES2,CME_CL18,0.0000,23.74,0.58,1326.99,-1.52,45.71492550167944
6,CME_GC2,CME_CL18,0.0000,-2.71,0.58,1435.89,-0.91,119.10169210351692
7,CME_ES2,CME_NQ2,0.0000,0.24,0.65,1052.12,0.98,36.2456291447765
8,CME_GC2,CME_NQ2,0.0000,-0.03,0.65,1468.62,-1.26,121.81652289316524
9,CME_GC2,CME_ES2,0.0000,-0.10,1.04,1546.25,-1.23,128.2556403450564
