,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,BANKNIFTY,AXISBANK,0.0000,22.12,0.76,13598.77,-1.66,53.60811290258998
1,BANKNIFTY,BANKBARODA,0.0170,-9.59,0.49,26961.53,-0.49,106.2858438128277
2,BANKNIFTY,HDFCBANK,0.0000,7.98,0.82,10286.98,-1.96,40.552607718689636
3,BANKNIFTY,ICICIBANK,0.0000,26.48,0.81,17566.80,-0.48,69.2506011747546
4,BANKNIFTY,IDFCBANK,0.0000,-92.23,0.39,30244.35,-1.44,119.22714550400126
5,BANKNIFTY,INDUSINDBK,0.0000,6.76,0.74,13653.60,0.75,53.82425986517917
6,BANKNIFTY,KOTAKBANK,0.0000,6.94,0.48,17779.55,-0.25,70.08928923404423
7,BANKNIFTY,PNB,0.0000,-11.28,0.19,26956.94,-0.78,106.26774943824654
8,BANKNIFTY,RBLBANK,0.0000,22.65,0.87,13633.17,-0.17,53.743722158710135
9,BANKNIFTY,SBIN,0.0000,12.96,0.62,21901.35,-0.07,86.33795876532503
10,BANKNIFTY,YESBANK,0.0000,-1.07,0.08,26185.25,-0.57,103.22564749477668
11,AXISBANK,BANKBARODA,0.3899,0.12,0.49,523.21,1.44,88.1641250315949
12,HDFCBANK,AXISBANK,0.0000,1.57,0.76,1063.57,0.35,52.25232749514849
13,ICICIBANK,AXISBANK,0.0000,0.39,0.76,88.73,-0.61,28.25796178343949
14,AXISBANK,IDFCBANK,0.0000,-1.42,0.39,612.47,0.87,103.20498778330102
15,AXISBANK,INDUSINDBK,0.0000,0.10,0.74,370.54,1.69,62.4382846069593
16,AXISBANK,KOTAKBANK,0.0000,0.10,0.48,423.92,1.40,71.43314516808492
17,AXISBANK,PNB,0.0008,-0.19,0.19,563.90,1.05,95.02064200859381
18,RBLBANK,AXISBANK,0.0000,0.44,0.76,286.95,-0.85,54.667555724899984
19,AXISBANK,SBIN,0.0000,0.62,0.62,366.46,1.57,61.750779341140785
20,AXISBANK,YESBANK,0.0000,-0.03,0.08,556.98,1.13,93.85457915578397
21,HDFCBANK,BANKBARODA,0.0000,-4.00,0.49,2501.46,-0.42,122.89469159153995
22,ICICIBANK,BANKBARODA,0.0000,0.59,0.49,215.02,2.03,68.47770700636943
23,BANKBARODA,IDFCBANK,0.0000,1.58,0.39,66.65,-1.76,63.84099616858238
24,INDUSINDBK,BANKBARODA,0.0000,-4.36,0.49,2400.14,-2.70,146.11390131799226
25,BANKBARODA,KOTAKBANK,0.0000,-0.08,0.48,236.92,-3.20,226.93486590038313
26,BANKBARODA,PNB,0.0000,0.35,0.19,103.14,-2.23,98.79310344827586
27,RBLBANK,BANKBARODA,0.0004,-0.40,0.49,585.10,-0.55,111.46885120975425
28,SBIN,BANKBARODA,0.0000,1.13,0.49,115.65,2.33,42.23114843892642
29,BANKBARODA,YESBANK,0.0197,0.00,0.08,144.82,-2.45,138.71647509578543
30,HDFCBANK,ICICIBANK,0.4537,0.27,0.81,1831.80,0.91,89.99484143555479
31,HDFCBANK,IDFCBANK,0.0000,-14.76,0.39,2663.17,-1.05,130.83937212901324
32,HDFCBANK,INDUSINDBK,0.0000,0.89,0.74,339.54,4.14,16.681323540249085
33,HDFCBANK,KOTAKBANK,0.0000,0.94,0.48,862.72,2.56,42.38473064924218
34,HDFCBANK,PNB,0.0000,-2.27,0.19,2195.11,-0.17,107.84396570782873
35,RBLBANK,HDFCBANK,0.0000,0.14,0.82,266.82,-0.61,50.83253953133931
36,HDFCBANK,SBIN,0.0064,-0.78,0.62,2131.75,0.90,104.73114053403424
37,HDFCBANK,YESBANK,0.0000,-0.14,0.08,1993.35,0.64,97.93166130339728
38,ICICIBANK,IDFCBANK,0.0005,0.55,0.39,273.32,0.97,87.04458598726114
39,ICICIBANK,INDUSINDBK,0.0293,-0.02,0.74,335.37,0.49,106.80573248407643
40,ICICIBANK,KOTAKBANK,0.0179,-0.02,0.48,325.40,0.60,103.63057324840763
41,ICICIBANK,PNB,0.0000,0.16,0.19,281.06,1.13,89.50955414012739
42,RBLBANK,ICICIBANK,0.0047,0.26,0.81,448.22,-0.13,85.3915031434559
43,ICICIBANK,SBIN,0.0000,0.55,0.62,146.63,1.08,46.697452229299365
44,ICICIBANK,YESBANK,0.0179,-0.01,0.08,304.59,0.50,97.00318471337579
45,INDUSINDBK,IDFCBANK,0.0000,-14.25,0.39,2484.05,-3.77,151.222110613947
46,KOTAKBANK,IDFCBANK,0.0000,-15.52,0.39,1909.55,-3.35,170.1916221033868
47,IDFCBANK,PNB,0.0000,0.16,0.19,31.35,-0.95,83.93574297188755
48,RBLBANK,IDFCBANK,0.0000,-1.45,0.39,599.85,-0.64,114.2789102686226
49,SBIN,IDFCBANK,0.0000,1.30,0.39,215.29,0.42,78.61603067372648
50,IDFCBANK,YESBANK,0.0000,0.01,0.08,47.03,-1.67,125.91700133868808
51,INDUSINDBK,KOTAKBANK,0.0000,0.94,0.48,701.90,-2.31,42.72973548838766
52,INDUSINDBK,PNB,0.0000,-2.55,0.19,2076.91,-3.11,126.43655069552247
53,RBLBANK,INDUSINDBK,0.0000,0.13,0.74,300.60,0.47,57.268051057344266
54,INDUSINDBK,SBIN,0.0000,-1.65,0.62,2223.52,-1.01,135.3617630049006
55,INDUSINDBK,YESBANK,0.0000,-0.11,0.08,1823.87,-1.32,111.03217362189145
56,KOTAKBANK,PNB,0.0000,-2.64,0.19,1448.52,-2.02,129.10160427807486
57,RBLBANK,KOTAKBANK,0.0000,0.14,0.48,369.70,-0.05,70.43246332634789
58,SBIN,KOTAKBANK,0.0000,-0.06,0.48,351.42,-0.31,128.3257257622786
59,KOTAKBANK,YESBANK,0.0000,-0.11,0.08,1186.00,-0.35,105.70409982174688
60,RBLBANK,PNB,0.0000,-0.28,0.19,560.63,-0.56,106.80701085921129
61,SBIN,PNB,0.0000,0.44,0.19,227.18,1.00,82.95782362607267
62,PNB,YESBANK,0.0000,0.02,0.08,113.43,-1.40,179.4778481012658
63,RBLBANK,SBIN,0.0003,0.27,0.62,451.12,0.03,85.94398933130121
64,RBLBANK,YESBANK,0.8864,0.00,0.08,525.71,-0.03,100.15431510763956
65,SBIN,YESBANK,0.3730,0.00,0.08,280.08,-0.26,102.27496804820156
