Time,Open,High,Low,Last,Change,Volume
09/07/18,269,276.93,267.19,272.51,-0.21000000000004,4479347
09/06/18,277.76,277.86,271.39,272.72,-5.7,8069800
09/05/18,282.99,284.42,275.15,278.42,-5.28,9828900
09/04/18,280.15,285.22,279,283.7,3.02,9793000
08/31/18,277,281.2,276.6,280.68,2.87,7664700
08/30/18,277.23,281.72,276.32,277.81,-0.68000000000001,8665200
08/29/18,273.92,279.5,273.08,278.49,4.11,10502700
08/28/18,275.66,276.58,269.53,274.38,-1.52,11884500
08/27/18,273.42,278.9,272.145,275.9,3.6799999999999,12644400
08/24/18,267.18,272.81,267,272.22,5.3800000000001,13287700
08/23/18,261.26,269.48,260.7,266.84,4.02,18017100
08/22/18,252,263.02,251.86,262.82,9.5,18746400
08/21/18,248.5,253.5,247.7,253.32,5.48,16849700
08/20/18,243.18,253.2,238.72,247.84,3.02,21359600
08/17/18,252.94,252.97,243.73,244.82,-12.62,28579600
08/16/18,261.9,262,255.01,257.44,-1.64,20031400
08/15/18,262.27,263.64,255.9,259.08,-2.35,14778300
08/14/18,260.38,262,257.02,261.43,5.31,11655400
08/13/18,255.14,261,255.07,256.12,1.33,9380100
08/10/18,253.15,256.1,252.7,254.79,-1.67,6415600
08/09/18,259.14,259.25,256.15,256.46,-1.96,5106900
08/08/18,257,260.24,255.59,258.42,1.47,6552400
08/07/18,256,257.7,254.92,256.95,2.92,6453200
08/06/18,251.59,254.17,249.71,254.03,1.93,5187600
08/03/18,251.61,253.06,250.93,252.1,1.48,5357200
08/02/18,243.59,250.78,241.21,250.62,4.15,6741600
08/01/18,246.13,248.36,243.89,246.47,1.61,7088800
07/31/18,243.71,247.88,242.14,244.86,0.73000000000002,7099600
07/30/18,252.59,252.83,242.72,244.13,-7.89,8508500
07/27/18,256.32,256.6,249.84,252.02,-2.82,7385500
07/26/18,251.06,256.33,250.38,254.84,2.97,8128100
07/25/18,249.09,252.38,246.75,251.87,3.16,8004500
07/24/18,251.35,254.85,248,248.71,-0.69999999999999,8865500
07/23/18,249.82,249.89,243.28,249.41,-1.48,7539600
07/20/18,251.93,253.5,250.45,250.89,-1.14,5562100
07/19/18,250.94,253.39,250.33,252.03,0.33000000000001,5893700
07/18/18,253.39,253.95,249.64,251.7,-1.99,6941000
07/17/18,246.21,254.3,245.18,253.69,5.49,9053300
07/16/18,248.2,250.34,247.7,248.2,-1.12,4925900
07/13/18,251.98,251.98,247.62,249.32,-1.91,6179000
07/12/18,249.36,253.17,248.96,251.23,3.7,8637600
07/11/18,249.5,250.9,247.1,247.53,-5.72,9187600
07/10/18,249.75,254.14,248.12,253.25,4,9000300
07/09/18,250.33,250.72,246.07,249.25,1.92,7597000
07/06/18,241.74,247.665,240.88,247.33,4.6,7408800
07/05/18,239.07,242.93,237.5,242.73,5.89,7655400
07/03/18,243.64,243.88,236.5,236.84,-5.4,5568300
07/02/18,234.09,242.39,233.265,242.24,5.34,8939300
06/29/18,243.49,244,236.85,236.9,-3.96,9807400
06/28/18,235.32,241.34,235.01,240.86,5.14,8450200
06/27/18,243.75,246.43,235.5,235.72,-6.27,11347300
06/26/18,243.7,245.65,239.91,241.99,2.87,11972100
06/25/18,246.65,246.8,235.54,239.12,-11.83,16645400
06/22/18,257.95,258.49,250.33,250.95,-6.16,10853900
06/21/18,263.6,264.34,256.8,257.11,-5.2,8987900
06/20/18,261.83,264.45,260.28,262.31,2.14,9244400
06/19/18,260.92,263.64,255.02,260.17,-4.92,14873300
06/18/18,263.48,265.8,262.38,265.09,-0.17000000000002,8906600
06/15/18,264.6,267.48,263.35,265.26,-1.65,10806400
06/14/18,264.22,269.2,263.62,266.91,4.51,10750400
06/13/18,262.64,265.67,262.03,262.4,-0.18000000000001,8455100
06/12/18,261.69,263.07,259.66,262.58,1.96,7978900
06/11/18,261.77,263.45,260.1,260.62,-1.66,6634200
06/08/18,259.96,264,259.2,262.28,-0.62,9011400
06/07/18,265,265.48,259.25,262.9,-2.25,9236200
06/06/18,261.43,265.28,260.77,265.15,0.079999999999984,9283800
06/05/18,264.98,266.59,263.17,265.07,0.21999999999997,9792800
06/04/18,259,265.74,257.7,264.85,7.23,16050600
06/01/18,254,257.87,253.65,257.62,5.43,10549200
05/31/18,251.7,255.2,251.27,252.19,-0.80000000000001,12346700
05/30/18,249.95,253.34,248.95,252.99,4.4,9774800
05/29/18,248.55,251.34,246.7,248.59,-0.69,8817000
05/25/18,248.2,249.94,246.76,249.28,1.59,7302700
05/24/18,247.39,249.4,245.24,247.69,0.15000000000001,10934200
05/23/18,240.28,247.59,240.25,247.54,4.84,11073900
05/22/18,244.78,245.8,240.25,242.7,-1.54,12956600
05/21/18,249.88,250.03,240.49,244.24,-1.7,16015600
05/18/18,249.81,252.37,245.74,245.94,-1.77,12092900
05/17/18,246.08,251.5,245.43,247.71,1.7,12994600
05/16/18,244,248.52,242.51,246.01,0.44999999999999,13845700
05/15/18,252.79,252.9,241.5,245.56,-9.8,24088200
05/14/18,256.07,258.49,254.4,255.36,0.83000000000001,13078400
05/11/18,252.78,259.79,250.54,254.53,-5.6,30361400
05/10/18,257.92,260.5,257.2,260.13,4.35,24852000
05/09/18,251.21,255.87,250.11,255.78,5.38,14918900
05/08/18,248.69,250.51,246.71,250.4,1.72,12665300
05/07/18,243.29,250.99,242.89,248.68,9.62,17190300
05/04/18,231.83,239.19,231.13,239.06,6.07,10016500
05/03/18,227.6,234.05,225.77,232.99,6.68,11078600
