Time,Open,High,Low,Last,Change,Volume
09/07/18,178.5,180,175.63,178.26,-0.14000000000001,32560
09/06/18,174.99,178.66,169.83,178.4,4.37,55400
09/05/18,170.87,174.99,167.97,174.03,3.91,59600
09/04/18,168.82,170.39,165.62,170.12,0.56,65700
08/31/18,169.21,170.86,165.42,169.56,0.62,176000
08/30/18,164.78,168.98,164.78,168.94,3.59,37800
08/29/18,165,167,163.91,165.35,0.25,47100
08/28/18,167.87,170,164.64,165.1,-2.93,41300
08/27/18,169.8,172.44,168,168.03,-1.57,43400
08/24/18,169.04,171.9,168.39,169.6,0.090000000000003,71100
08/23/18,171.8,173.45,169.09,169.51,-2.22,83700
08/22/18,172.49,173.8,171.16,171.73,-1.29,67000
08/21/18,172.5,174.535,171,173.02,0.73000000000002,68000
08/20/18,174.57,176,171.19,172.29,-2.52,71600
08/17/18,172.54,175.94,170.21,174.81,1.31,76800
08/16/18,172.9,174.56,168.15,173.5,1.04,115400
08/15/18,169.98,173.51,165.14,172.46,2.99,166200
08/14/18,165.72,169.97,164.11,169.47,3.25,115700
08/13/18,159.87,167.06,157.035,166.22,5.51,113600
08/10/18,165.5,166.6,156.14,160.71,-5.66,77800
08/09/18,144,171.18,142.74,166.37,13.02,156400
08/08/18,151.23,154.04,149.03,153.35,1.33,56700
08/07/18,152.16,152.9,147.68,152.02,0.28,91100
08/06/18,149.97,153.69,149.97,151.74,2.26,38200
08/03/18,148.18,151.655,148.17,149.48,1.33,39800
08/02/18,148.4,149.08,147.2,148.15,0.13,36900
08/01/18,145.65,149.04,143.91,148.02,2.9,67200
07/31/18,143.54,145.6,141.66,145.12,2.22,45500
07/30/18,139.57,143.19,138,142.9,2.97,37200
07/27/18,138.6,140.675,138.2,139.93,1.53,59400
07/26/18,137.64,139.64,137.62,138.4,0.21000000000001,33700
07/25/18,138.64,139.01,135.61,138.19,-0.36000000000001,39900
07/24/18,139.85,140.05,136.6,138.55,-0.83999999999997,37600
07/23/18,138.25,139.5,137.5,139.39,1.19,46400
07/20/18,135.95,138.76,135.95,138.2,1.78,40500
07/19/18,134.15,136.7,133.01,136.42,2.05,46800
07/18/18,135.72,135.79,132.215,134.37,-1.34,36100
07/17/18,134.22,136.825,134.22,135.71,1.58,22700
07/16/18,135.62,135.72,133.07,134.13,-1.35,33000
07/13/18,136.18,137.1,134.42,135.48,-1.13,25800
07/12/18,137.45,138.955,136,136.61,-0.80999999999997,34600
07/11/18,137.85,138.55,136.19,137.42,-0.56,40700
07/10/18,137.99,138.1,136.05,137.98,1.25,29100
07/09/18,138.47,138.67,136.19,136.73,-1.3,56200
07/06/18,134.16,138.41,133.53,138.03,3.92,61100
07/05/18,133.95,134.26,132.65,134.11,1.03,65400
07/03/18,133.36,134.8,132.83,133.08,0.32000000000002,40900
07/02/18,134.43,134.43,130.8,132.76,-2.37,51500
06/29/18,135.12,135.61,133.47,135.13,0.50999999999999,33800
06/28/18,129.88,135.25,129.41,134.62,4.63,48700
06/27/18,134.68,135.2,129.89,129.99,-4.8,43100
06/26/18,136.1,136.745,133.25,134.79,-1.19,48200
06/25/18,134.61,136.2,133.985,135.98,0.56999999999999,53800
06/22/18,132.19,135.43,131.1,135.41,3.53,75000
06/21/18,129.6,132.01,129.45,131.88,2.25,45300
06/20/18,131.85,131.85,128.16,129.63,-1.3,61500
06/19/18,130.54,132.5,130.22,130.93,-0.049999999999983,57900
06/18/18,134.04,134.25,130.3,130.98,-3.2,67400
06/15/18,132.34,134.54,132.34,134.18,1.29,82300
06/14/18,132.65,134.15,131.23,132.89,0.60999999999999,32600
