Time,Open,High,Low,Close,Change,Volume,Open Interest
09/07/18,7454.75,7494.75,7393,7438.5,-19.00,594388,0
09/06/18,7530.00,7544.5,7407.75,7457.5,-74.25,650890,251792
09/05/18,7642.25,7643.25,7503.25,7531.75,-107,517885,255872
09/04/18,7670,7693.75,7586.75,7638.75,-22.5,470667,261192
08/31/18,7641.75,7682.25,7633.25,7661.25,12.25,346901,262609
08/30/18,7672.75,7697,7626.25,7649,-19.75,390929,254487
08/29/18,7581,7674.5,7581,7668.75,90.75,311623,251215
08/28/18,7568.25,7597.25,7564.25,7578,10,273330,242080
08/27/18,7499,7569,7498.75,7568,72.25,280533,244195
08/24/18,7427,7499.5,7422.75,7495.75,71.25,278682,243316
08/23/18,7433.5,7475,7411.25,7424.5,-8.75,356371,238721
08/22/18,7374.25,7444.75,7352,7433.25,35.75,309493,240277
08/21/18,7381.25,7452.25,7369,7397.5,10.5,320662,235654
08/20/18,7390.5,7420.75,7351.5,7387,-0.75,286070,233351
08/17/18,7382.5,7407,7321.75,7387.75,-1.25,366862,236105
08/16/18,7380,7434.5,7363.25,7389,15,348395,235857
08/15/18,7460.5,7464.75,7316.5,7374,-83.75,521164,233551
08/14/18,7420.5,7465,7397,7457.75,40.75,305390,235148
08/13/18,7425.5,7479,7378.25,7417,-10,377939,234929
08/10/18,7472.25,7472.75,7390.75,7427,-48.5,389778,238531
08/09/18,7463.5,7505.5,7458.75,7475.5,4,236834,243418
08/08/18,7478.25,7496,7442.5,7471.5,-5.75,250480,243534
08/07/18,7442.5,7486.75,7440.25,7477.25,33.25,260630,242818
08/06/18,7404.25,7449.75,7387.5,7444,42,250166,241785
08/03/18,7392,7415,7362.25,7402,16.25,298355,241012
08/02/18,7284.25,7395.25,7214.25,7385.75,108.75,441069,245525
08/01/18,7293,7303.75,7241,7277,32.25,370601,239187
07/31/18,7210,7298,7189.25,7244.75,44.25,430194,237623
07/30/18,7293,7309.25,7166.75,7200.5,-100.75,497537,238372
07/27/18,7429.5,7467,7263.5,7301.25,-129.5,534684,231822
07/26/18,7412.25,7450,7361,7430.75,-38.75,392494,236030
07/25/18,7410.5,7530,7397,7469.5,53.25,351372,240539
07/24/18,7420.25,7489.75,7386.75,7416.25,-14.25,406774,237642
07/23/18,7368,7432.75,7311.5,7430.5,70.5,287213,236780
07/20/18,7380.25,7413.75,7350.75,7360,-7.75,302839,242868
07/19/18,7400,7416,7354.75,7367.75,-36.75,321505,244643
07/18/18,7424.25,7437.75,7381.5,7404.5,-17.25,267804,243337
07/17/18,7320,7436,7292.5,7421.75,96.75,343273,246833
07/16/18,7399.5,7413.75,7316,7325,-68,246001,242936
07/13/18,7382,7414.25,7367,7393,10.25,279818,243256
07/12/18,7259.75,7387,7249.5,7382.75,129,304341,248696
07/11/18,7263.5,7290,7204.5,7253.75,-47.75,373366,246319
07/10/18,7300.75,7335.5,7259.5,7301.5,1.25,286748,241382
07/09/18,7232.5,7303.5,7232.25,7300.25,66.75,269931,240970
07/06/18,7118.75,7237.75,7101.25,7233.5,107.75,320304,244267
