Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-06-30,48.3,48.4,48.3,48.4,0.93,48.9,275.0,15538.0
2017-07-03,,,,,0.93,49.83,195.0,15494.0
2017-07-05,,,48.8,48.8,1.49,48.34,309.0,15545.0
2017-07-06,,48.54,,48.54,0.14,48.48,522.0,15469.0
2017-07-07,,,47.59,47.59,1.16,47.32,2470.0,15539.0
2017-07-10,,,,,0.41,47.73,2130.0,15294.0
2017-07-11,,48.08,,48.08,0.45,48.18,483.0,15437.0
2017-07-12,,48.37,,48.37,0.06,48.12,655.0,15630.0
2017-07-13,48.35,48.39,48.34,48.38,0.38,48.5,1039.0,15710.0
2017-07-14,,,,,0.48,48.98,1231.0,16075.0
2017-07-17,,,,,0.3,48.68,828.0,16642.0
2017-07-18,48.42,48.74,48.42,48.73,0.1,48.78,933.0,16407.0
2017-07-19,,,,,0.54,49.32,435.0,16631.0
2017-07-20,,,,,0.4,48.92,771.0,16506.0
2017-07-21,,,48.53,48.53,0.93,48.04,1278.0,5923.0
2017-07-24,,,,,0.45,48.49,775.0,6374.0
2017-07-25,,49.26,,49.26,1.02,49.51,831.0,6895.0
2017-07-26,49.9,49.9,49.89,49.9,0.34,49.85,635.0,7253.0
2017-07-27,,,,,0.06,49.91,746.0,7523.0
2017-07-28,,,,,0.14,50.05,1250.0,7939.0
2017-07-31,,50.1,,50.1,0.5,50.55,892.0,8001.0
2017-08-01,,,50.13,50.13,0.58,49.97,642.0,7516.0
2017-08-02,,,,,0.24,50.21,813.0,7533.0
2017-08-03,50.5,50.5,50.12,50.12,0.42,49.79,741.0,7829.0
2017-08-04,,,,,0.45,50.24,494.0,8041.0
2017-08-07,,,50.21,50.21,0.04,50.2,835.0,8271.0
2017-08-08,,,,,0.26,49.94,285.0,8599.0
2017-08-09,,,,,0.23,50.17,532.0,8708.0
2017-08-10,,,49.59,49.59,0.98,49.19,672.0,8930.0
2017-08-11,,,,,0.14,49.33,616.0,9140.0
2017-08-14,,,49.04,49.04,0.86,48.47,882.0,9428.0
2017-08-15,,,,,0.02,48.45,362.0,9707.0
2017-08-16,48.5,48.7,48.5,48.55,0.48,47.97,439.0,9891.0
2017-08-17,,,,,0.15,48.12,1103.0,9901.0
2017-08-18,,48.85,,48.85,1.26,49.38,646.0,10818.0
2017-08-21,,,48.74,48.74,1.09,48.29,275.0,10491.0
2017-08-22,,48.37,,48.37,0.67,48.96,429.0,10555.0
2017-08-23,,,,,0.54,49.51,624.0,19079.0
2017-08-24,,,49.25,49.25,0.61,48.9,1043.0,19212.0
2017-08-25,,,,,0.32,49.22,541.0,19201.0
2017-08-28,,,48.96,48.96,0.66,48.56,1459.0,19272.0
2017-08-29,48.78,48.81,48.78,48.81,0.46,49.02,2989.0,19775.0
2017-08-30,,,,,0.5,48.52,2283.0,18927.0
2017-08-31,48.3,49.57,48.3,49.57,1.66,50.18,1032.0,18927.0
2017-09-01,,,,,0.11,50.29,1791.0,18454.0
2017-09-05,,,,,0.4,50.69,1493.0,18753.0
2017-09-06,50.85,50.85,50.82,50.82,0.22,50.91,1769.0,18980.0
2017-09-07,,,,,0.04,50.95,1377.0,19085.0
2017-09-08,,,50.5,50.5,0.89,50.06,919.0,19027.0
2017-09-11,,,,,0.29,50.35,623.0,19089.0
2017-09-12,,,,,0.03,50.38,581.0,19292.0
2017-09-13,,,,,0.42,50.8,3298.0,19294.0
2017-09-14,,,,,0.36,51.16,4251.0,21675.0
2017-09-15,51.26,51.39,51.25,51.35,0.2,51.36,580.0,22109.0
2017-09-18,,,51.32,51.32,0.34,51.02,899.0,22148.0
2017-09-19,,,,,0.26,50.76,1301.0,22176.0
2017-09-20,,,,,0.38,51.14,1192.0,21910.0
2017-09-21,,,,,0.06,51.15,431.0,8028.0
2017-09-22,,,,,0.06,51.21,248.0,7897.0
2017-09-25,,,,,0.49,51.7,3203.0,7829.0
2017-09-26,,,,,0.1,51.6,439.0,9397.0
2017-09-27,,,,,0.05,51.65,385.0,9402.0
2017-09-28,,,51.62,51.62,0.5,51.15,195.0,9720.0
2017-09-29,,,,,0.01,51.16,533.0,9841.0
2017-10-02,,,50.87,50.87,0.74,50.42,59.0,9901.0
2017-10-03,,,,,0.08,50.34,178.0,9864.0
2017-10-04,50.36,50.36,50.35,50.36,0.02,50.36,162.0,9909.0
2017-10-05,,,,,0.69,51.05,364.0,9955.0
2017-10-06,,,50.6,50.6,1.07,49.98,113.0,10132.0
2017-10-09,,,,,0.26,50.24,388.0,9599.0
2017-10-10,,,,,0.71,50.95,175.0,9355.0
2017-10-11,,,,,0.31,51.26,77.0,9308.0
2017-10-12,,,,,0.4,50.86,364.0,9368.0
2017-10-13,,,,,0.45,51.31,90.0,9559.0
2017-10-16,,,,,0.1,51.41,511.0,9626.0
2017-10-17,51.39,51.39,51.38,51.39,0.3,51.11,404.0,9830.0
2017-10-18,,,,,0.21,51.32,848.0,10157.0
2017-10-19,,,,,0.47,50.85,944.0,10179.0
2017-10-20,,,,,0.17,51.02,491.0,9837.0
2017-10-23,,,,,0.13,50.79,506.0,14132.0
2017-10-24,,,,,0.49,51.28,1129.0,14263.0
2017-10-25,,,,,0.05,51.23,851.0,14214.0
2017-10-26,,,,,0.16,51.39,484.0,14898.0
2017-10-27,,,,,0.54,51.93,1262.0,15295.0
2017-10-30,,,,,0.08,52.01,718.0,15298.0
2017-10-31,,,,,0.08,51.93,3026.0,15499.0
2017-11-01,,,,,0.31,51.62,2049.0,14259.0
2017-11-02,,,,,0.17,51.79,288.0,13737.0
2017-11-03,52.0,52.0,51.8,51.8,0.62,52.41,672.0,13789.0
2017-11-06,53.0,53.0,52.95,52.95,0.92,53.33,865.0,14226.0
2017-11-07,,,,,0.15,53.48,1216.0,14437.0
2017-11-08,54.0,54.12,53.99,54.12,0.19,53.67,1328.0,14740.0
2017-11-09,,,,,0.2,53.87,474.0,15209.0
2017-11-10,,,,,0.17,54.04,1726.0,15467.0
2017-11-13,,,,,0.19,54.23,134.0,15951.0
2017-11-14,,,53.48,53.48,0.97,53.26,437.0,15980.0
2017-11-15,,,,,0.25,53.01,3040.0,15922.0
2017-11-16,,,52.87,52.87,0.25,52.76,2032.0,14495.0
2017-11-17,,52.98,,52.98,0.56,53.32,1754.0,13480.0
2017-11-20,,,53.02,53.02,0.29,53.03,1001.0,13478.0
2017-11-21,52.8,53.07,52.65,52.94,0.05,52.84,10397.0,64617.0
2017-11-22,53.15,53.42,52.89,53.31,0.52,53.36,11715.0,65912.0
2017-11-24,53.44,53.83,53.14,53.81,0.47,53.83,5110.0,65173.0
2017-11-27,53.72,54.16,53.56,54.07,0.11,53.94,7537.0,65105.0
2017-11-28,54.06,54.09,53.71,53.71,0.01,53.95,7519.0,66187.0
2017-11-29,53.69,54.13,53.11,53.61,0.4,53.55,11263.0,66017.0
2017-11-30,53.64,53.94,53.2,53.49,0.01,53.56,13016.0,67780.0
2017-12-01,53.43,54.32,53.4,53.91,0.37,53.93,12688.0,68104.0
2017-12-04,53.64,53.85,53.46,53.64,0.33,53.6,4575.0,69669.0
2017-12-05,53.7,54.1,53.5,53.85,0.37,53.97,8223.0,69566.0
2017-12-06,53.82,54.01,53.04,53.19,0.76,53.21,5424.0,70694.0
2017-12-07,53.31,53.83,53.2,53.67,0.55,53.76,3915.0,71933.0
2017-12-08,53.83,54.39,53.66,54.19,0.4,54.16,8286.0,71732.0
2017-12-11,54.16,54.45,54.02,54.43,0.21,54.37,6833.0,72819.0
2017-12-12,54.36,54.64,53.37,53.67,0.73,53.64,11963.0,73990.0
2017-12-13,53.86,53.95,52.8,52.97,0.79,52.85,9678.0,74708.0
2017-12-14,52.96,53.51,52.79,53.32,0.56,53.41,7244.0,75908.0
2017-12-15,53.54,53.66,53.03,53.51,0.11,53.52,9717.0,75353.0
2017-12-18,53.58,54.17,53.54,54.04,0.47,53.99,5594.0,74832.0
2017-12-19,54.12,54.47,54.06,54.47,0.38,54.37,8980.0,74600.0
2017-12-20,,,,,0.15,54.3,410.0,10901.0
2017-12-21,54.41,54.41,54.4,54.41,0.21,54.51,405.0,11014.0
2017-12-22,,,,,0.32,54.83,380.0,11002.0
2017-12-26,,55.23,,55.23,0.81,55.64,314.0,11175.0
2017-12-27,,,,,0.03,55.61,96.0,11337.0
2017-12-28,,,,,0.11,55.72,231.0,11382.0
2017-12-29,,55.78,,55.78,0.26,55.98,195.0,11339.0
2018-01-02,,,,,0.11,56.09,442.0,11450.0
2018-01-03,,56.47,,56.47,0.44,56.53,1488.0,11172.0
2018-01-04,,,,,0.04,56.57,1683.0,11635.0
2018-01-05,,,,,0.18,56.75,1076.0,11742.0
2018-01-08,57.05,57.05,57.04,57.05,0.35,57.1,427.0,12485.0
2018-01-09,57.27,57.75,57.27,57.51,0.58,57.68,845.0,12587.0
2018-01-10,57.83,57.83,57.8,57.8,0.01,57.67,829.0,12957.0
2018-01-11,,,,,0.1,57.77,1374.0,13163.0
2018-01-12,,,,,0.32,58.09,926.0,13342.0
2018-01-16,,58.15,,58.15,0.12,57.97,336.0,13347.0
2018-01-17,58.23,58.23,58.22,58.23,0.23,58.2,511.0,13451.0
2018-01-18,,,,,0.05,58.25,674.0,13691.0
2018-01-19,,,58.04,58.04,0.29,57.96,2350.0,13793.0
2018-01-22,,,,,0.2,58.16,1872.0,12967.0
2018-01-23,58.07,58.07,58.07,58.07,0.47,58.33,922.0,10737.0
2018-01-24,58.39,58.46,58.32,58.46,0.01,58.34,1189.0,11144.0
2018-01-25,,,,,0.18,58.52,1246.0,11545.0
2018-01-26,,,,,0.2,58.72,745.0,12042.0
2018-01-29,,,58.35,58.35,0.43,58.29,882.0,12412.0
2018-01-30,,,57.83,57.83,0.71,57.58,2672.0,12850.0
2018-01-31,,,,,0.16,57.74,1242.0,13869.0
2018-02-01,58.04,58.35,58.0,58.35,0.37,58.11,4580.0,14158.0
2018-02-02,,,57.37,57.37,0.85,57.26,2313.0,14999.0
2018-02-05,56.82,57.06,56.51,56.59,0.44,56.82,935.0,15404.0
2018-02-06,,,56.05,56.14,0.53,56.29,774.0,15404.0
2018-02-07,,56.47,54.98,54.99,1.1,55.19,1805.0,15422.0
2018-02-08,55.15,55.28,54.31,54.31,0.29,54.9,1165.0,16005.0
2018-02-09,54.31,54.47,53.17,53.38,1.48,53.42,889.0,16369.0
2018-02-12,,54.15,,53.62,0.14,53.56,994.0,16114.0
2018-02-13,53.88,53.98,53.19,53.9,0.34,53.9,570.0,16273.0
2018-02-14,53.4,54.71,53.33,54.6,0.71,54.61,352.0,16355.0
2018-02-15,,54.67,53.86,54.56,0.07,54.54,883.0,16465.0
2018-02-16,54.86,55.07,54.43,55.07,0.47,55.01,851.0,16569.0
2018-02-20,,55.94,,55.56,0.66,55.67,2151.0,16352.0
2018-02-21,,,55.38,55.38,0.11,55.51,1998.0,23165.0
2018-02-22,,55.6,55.45,55.6,0.47,55.98,558.0,23550.0
2018-02-23,,56.27,,56.27,0.8,56.78,1605.0,23855.0
2018-02-26,,,,,0.45,57.23,1735.0,24092.0
2018-02-27,,,56.96,56.96,0.58,56.65,584.0,24156.0
2018-02-28,56.9,56.9,55.54,55.54,1.55,55.1,1575.0,24186.0
2018-03-01,54.6,54.63,54.53,54.63,0.34,54.76,609.0,24452.0
2018-03-02,54.65,54.79,54.65,54.79,0.39,55.15,368.0,24524.0
2018-03-05,55.36,55.78,55.36,55.78,0.85,56.0,413.0,24585.0
2018-03-06,,,,,0.04,56.04,258.0,24620.0
2018-03-07,55.2,55.21,55.01,55.29,0.92,55.12,746.0,24669.0
2018-03-08,,,55.09,55.09,0.24,54.88,1388.0,24527.0
2018-03-09,,55.67,,55.67,1.21,56.09,344.0,25258.0
2018-03-12,,,55.83,55.83,0.08,56.01,215.0,25256.0
2018-03-13,,56.08,55.9,55.9,0.2,55.81,226.0,25522.0
2018-03-14,,,55.79,55.79,0.27,56.08,222.0,25529.0
2018-03-15,,,,,0.03,56.05,184.0,25616.0
2018-03-16,56.4,56.41,56.4,56.41,0.39,56.44,1861.0,25646.0
2018-03-19,,,56.23,56.23,0.31,56.13,181.0,25822.0
2018-03-20,56.97,57.01,56.97,57.01,0.68,56.81,1270.0,25881.0
2018-03-21,,57.52,,57.52,1.11,57.64,961.0,15540.0
2018-03-22,,,57.59,57.59,0.23,57.41,826.0,15455.0
2018-03-23,57.99,57.99,57.99,57.99,0.83,58.24,1195.0,15379.0
2018-03-26,,,,,0.17,58.07,885.0,15727.0
2018-03-27,,58.15,58.21,58.15,0.15,58.22,339.0,15894.0
2018-03-28,,,57.64,57.64,0.44,57.78,529.0,15945.0
2018-03-29,,,,,0.13,57.91,229.0,15930.0
2018-04-02,,,57.05,57.05,1.27,56.64,284.0,15984.0
2018-04-03,,56.77,,56.77,0.6,57.24,566.0,16025.0
2018-04-04,56.95,56.96,56.73,56.96,,57.24,1664.0,16089.0
2018-04-05,57.39,57.54,57.38,57.54,0.37,57.61,669.0,17223.0
2018-04-06,,,56.95,56.95,0.99,56.62,1524.0,17285.0
2018-04-09,,56.99,,56.99,0.76,57.38,1236.0,17475.0
2018-04-10,,57.71,,57.71,0.76,58.14,2084.0,17793.0
2018-04-11,58.27,58.56,58.27,58.56,0.77,58.91,2289.0,18192.0
2018-04-12,58.7,58.7,58.69,58.69,0.18,58.73,1341.0,18612.0
2018-04-13,,58.75,,58.75,0.21,58.94,1857.0,18764.0
2018-04-16,,,58.76,58.76,0.33,58.61,1440.0,18987.0
2018-04-17,,,,,0.26,58.87,700.0,19033.0
2018-04-18,59.1,59.32,59.07,59.32,0.77,59.64,2713.0,19028.0
2018-04-19,,59.84,,59.84,0.26,59.9,3169.0,19769.0
2018-04-20,,,59.82,59.82,0.11,60.01,1225.0,20288.0
2018-04-23,59.33,59.52,59.32,59.52,0.32,59.93,2398.0,20892.0
2018-04-24,59.61,59.61,59.17,59.17,0.68,59.25,5065.0,22044.0
2018-04-25,,,,,0.22,59.47,851.0,24961.0
2018-04-26,,,,,0.12,59.59,1350.0,25187.0
2018-04-27,,,,,0.16,59.43,802.0,25664.0
2018-04-30,59.59,59.86,59.33,59.86,0.42,59.85,1255.0,25763.0
2018-05-01,,,59.74,59.74,0.7,59.15,783.0,26208.0
2018-05-02,,,,,0.18,59.33,816.0,26300.0
2018-05-03,,,,,0.42,59.75,3670.0,26165.0
2018-05-04,,60.5,,60.5,1.22,60.97,2790.0,27989.0
2018-05-07,61.4,61.4,61.39,61.4,0.86,61.83,497.0,26320.0
2018-05-08,60.86,61.3,60.06,61.3,1.07,60.76,2427.0,26269.0
2018-05-09,,61.85,,61.85,1.58,62.34,1621.0,25472.0
2018-05-10,,62.42,,62.42,0.49,62.83,729.0,26398.0
2018-05-11,,,,,0.01,62.82,794.0,26417.0
2018-05-14,,,,,0.34,63.16,126.0,26182.0
2018-05-15,,63.38,,63.38,0.25,63.41,1935.0,26233.0
2018-05-16,63.4,63.6,63.34,63.45,0.15,63.56,3507.0,27066.0
2018-05-17,,,,,0.23,63.79,1344.0,26269.0
2018-05-18,,,,,0.04,63.83,1374.0,26192.0
2018-05-21,,64.31,,64.31,0.88,64.71,705.0,26541.0
2018-05-22,,,,,0.13,64.58,1799.0,26880.0
2018-05-23,64.2,64.22,63.46,64.07,0.07,64.18,34162.0,170396.0
2018-05-24,64.05,64.09,63.22,63.47,0.64,63.54,27469.0,172805.0
2018-05-25,63.5,63.57,61.29,61.39,1.93,61.61,50822.0,175133.0
2018-05-29,61.29,61.53,59.92,60.89,0.66,60.95,34343.0,176336.0
2018-05-30,60.87,61.95,60.57,61.68,0.75,61.7,27466.0,176789.0
2018-05-31,61.73,61.77,60.5,61.4,0.48,61.22,43573.0,180137.0
2018-06-01,61.5,61.58,60.68,61.17,0.03,61.19,38204.0,183859.0
2018-06-04,61.01,61.34,60.54,60.77,0.53,60.66,24910.0,184656.0
2018-06-05,60.9,61.07,60.35,60.95,0.27,60.93,39114.0,183464.0
2018-06-06,60.95,61.15,60.14,60.85,0.2,60.73,27209.0,181033.0
2018-06-07,60.97,61.57,60.64,61.57,0.72,61.45,25682.0,180936.0
2018-06-08,61.56,61.76,61.06,61.38,0.04,61.49,23216.0,181189.0
2018-06-11,61.4,61.81,60.72,61.69,0.28,61.77,17232.0,183487.0
2018-06-12,61.77,62.08,61.37,61.55,0.01,61.76,21890.0,185458.0
2018-06-13,61.24,62.58,61.14,62.38,0.7,62.46,19994.0,188037.0
2018-06-14,62.34,62.72,61.8,61.86,0.43,62.03,18924.0,189336.0
2018-06-15,61.82,61.94,59.64,59.69,1.76,60.27,25105.0,188111.0
2018-06-18,59.74,61.13,59.4,60.9,0.68,60.95,25823.0,186915.0
2018-06-19,60.65,60.94,59.81,60.56,0.41,60.54,15564.0,188595.0
2018-06-20,60.46,61.11,60.1,60.25,0.05,60.59,25796.0,188278.0
2018-06-21,,,60.02,60.02,0.67,59.63,1876.0,22873.0
2018-06-22,,60.99,,60.99,1.77,61.4,2147.0,23131.0
2018-06-25,60.85,61.12,60.85,61.12,0.05,61.35,960.0,23178.0
2018-06-26,,62.22,,62.22,1.29,62.64,234.0,23235.0
2018-06-27,,63.16,,63.16,0.61,63.25,1328.0,23338.0
2018-06-28,,,,,0.2,63.05,484.0,24012.0
2018-06-29,,63.1,,63.1,0.19,63.24,1608.0,24091.0
