,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
43,BAJAJ-AUTO,BOSCHLTD,0.5712,-0.00,0.61,3032.84,-1.34,112.8519600364658
44,EICHERMOT,BAJAJ-AUTO,0.0009,1.49,0.82,24958.64,-2.97,103.19713546189023
45,BAJAJ-AUTO,EXIDEIND,0.0000,-4.30,0.49,3960.76,-0.78,147.37985822992056
46,HEROMOTOCO,BAJAJ-AUTO,0.0000,0.35,0.82,2586.71,-2.93,88.18580073297537
47,MRF,BAJAJ-AUTO,0.0000,-8.16,0.82,94884.78,-2.15,149.19330708011424
48,BAJAJ-AUTO,M&M,0.0104,0.11,0.23,2846.24,-1.25,105.90857504325663
49,BAJAJ-AUTO,MARUTI,0.0019,0.05,0.74,2497.94,-1.03,92.94833392249159
50,BAJAJ-AUTO,MOTHERSUMI,0.0000,3.41,0.56,1828.13,-0.09,68.02470743641743
51,BAJAJ-AUTO,TVSMOTOR,0.0000,2.57,0.52,1339.54,-0.87,49.84427617257996
52,BAJAJ-AUTO,TATAMTRDVR,0.0000,2.55,0.29,2438.22,-0.27,90.7261530447078
53,BAJAJ-AUTO,TATAMOTORS,0.0000,1.76,0.31,2328.39,-0.21,86.63937933729
54,BOSCHLTD,BHARATFORG,0.0000,7.26,0.23,14393.31,0.98,72.2044637079176
55,EICHERMOT,BHARATFORG,0.0000,2.72,0.23,27228.04,-3.03,112.58048243981906
56,EXIDEIND,BHARATFORG,0.0000,-0.06,0.23,278.03,0.91,104.73912224524392
57,HEROMOTOCO,BHARATFORG,0.0000,0.66,0.23,3096.68,-3.34,105.57163555782834
58,MRF,BHARATFORG,0.0000,-10.75,0.23,79149.86,-2.19,124.45230276476428
59,BHARATFORG,M&M,0.0000,0.38,0.23,385.47,-0.66,64.12743303942771
60,MARUTI,BHARATFORG,0.0000,-2.17,0.23,10309.53,-3.28,140.30484693009618
61,MOTHERSUMI,BHARATFORG,0.0066,0.03,0.23,312.50,-2.14,121.69003115264798
62,TVSMOTOR,BHARATFORG,0.0169,-0.05,0.23,669.11,-1.18,119.47326131595395
63,TATAMTRDVR,BHARATFORG,0.0000,0.12,0.23,114.47,-2.00,98.21535821535822
64,TATAMOTORS,BHARATFORG,0.0000,0.18,0.23,222.81,-1.82,99.60214573088959
65,EICHERMOT,BOSCHLTD,0.0000,0.27,0.61,23909.61,-3.31,98.85968394155151
66,BOSCHLTD,EXIDEIND,0.0000,-26.77,0.49,26302.50,0.43,131.94726624226828
67,HEROMOTOCO,BOSCHLTD,0.0000,0.05,0.61,2596.29,-3.54,88.5124009204807
68,MRF,BOSCHLTD,0.0000,-1.39,0.61,98681.70,-1.90,155.16344319170798
69,BOSCHLTD,M&M,0.0000,4.76,0.23,15102.06,0.54,75.75992896594279
70,MARUTI,BOSCHLTD,0.0000,-0.25,0.61,13726.33,-2.82,186.8048911601195
71,BOSCHLTD,MOTHERSUMI,0.0000,14.77,0.56,15167.81,0.54,76.08976577823931
