,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,BANKNIFTY,AXISBANK,0.0000,22.27,0.76,13526.07,-2.52,53.846141597183106
1,BANKNIFTY,BANKBARODA,0.0151,-9.87,0.50,27005.70,-0.75,107.50740947895788
2,BANKNIFTY,HDFCBANK,0.0000,8.01,0.82,10240.09,-2.00,40.764932911621685
3,BANKNIFTY,ICICIBANK,0.0000,26.52,0.81,17554.51,-0.50,69.88302079829297
4,BANKNIFTY,IDFCBANK,0.0000,-93.35,0.39,30305.97,-1.81,120.64550544688763
5,BANKNIFTY,INDUSINDBK,0.0000,6.78,0.74,13629.98,0.05,54.259798525867
6,BANKNIFTY,KOTAKBANK,0.0000,6.94,0.48,17780.09,-0.73,70.78103571478333
7,BANKNIFTY,PNB,0.0000,-11.39,0.19,26973.36,-1.04,107.37866667197456
8,BANKNIFTY,RBLBANK,0.0000,22.65,0.87,13633.92,-0.12,54.27548333290207
9,BANKNIFTY,SBIN,0.0000,12.96,0.62,21902.47,-0.19,87.19188211713048
10,BANKNIFTY,YESBANK,0.0000,-1.08,0.08,26188.71,-0.82,104.2550413318551
11,AXISBANK,BANKBARODA,0.2892,0.14,0.50,518.88,1.99,84.61149612719119
12,HDFCBANK,AXISBANK,0.0000,1.57,0.76,1065.71,-0.17,53.12479748760001
13,ICICIBANK,AXISBANK,0.0000,0.39,0.76,88.28,-1.79,28.89216167566683
14,AXISBANK,IDFCBANK,0.0000,-1.39,0.39,611.01,1.36,99.63473298002447
15,AXISBANK,INDUSINDBK,0.0000,0.10,0.74,368.01,2.10,60.009783938035056
16,AXISBANK,KOTAKBANK,0.0000,0.10,0.48,423.78,1.87,69.1039543416225
17,AXISBANK,PNB,0.0012,-0.18,0.19,563.12,1.54,91.82551977170812
18,RBLBANK,AXISBANK,0.0000,0.45,0.76,285.63,-1.60,55.79800742332487
19,AXISBANK,SBIN,0.0000,0.62,0.62,365.68,2.25,59.62984101100693
20,AXISBANK,YESBANK,0.0000,-0.03,0.08,556.74,1.65,90.78516102731349
21,HDFCBANK,BANKBARODA,0.0000,-4.03,0.50,2505.03,-0.87,124.87375688542161
22,ICICIBANK,BANKBARODA,0.0000,0.61,0.50,212.22,1.79,69.45508100147275
23,BANKBARODA,IDFCBANK,0.0000,1.57,0.39,67.57,-2.06,67.90954773869346
24,INDUSINDBK,BANKBARODA,0.0000,-4.50,0.50,2422.66,-2.57,143.34842164433005
25,BANKBARODA,KOTAKBANK,0.0000,-0.08,0.48,237.04,-3.51,238.23115577889448
26,BANKBARODA,PNB,0.0000,0.35,0.19,103.54,-2.66,104.06030150753769
27,RBLBANK,BANKBARODA,0.0003,-0.41,0.50,586.47,-1.01,114.56729830044931
28,SBIN,BANKBARODA,0.0000,1.15,0.50,112.63,2.24,42.421845574387945
29,BANKBARODA,YESBANK,0.0245,0.00,0.08,145.06,-2.77,145.7889447236181
30,HDFCBANK,ICICIBANK,0.4727,0.25,0.81,1834.68,0.71,91.45734154183594
31,HDFCBANK,IDFCBANK,0.0000,-14.82,0.39,2666.45,-1.69,132.9204157423793
32,HDFCBANK,INDUSINDBK,0.0000,0.90,0.74,330.62,2.93,16.481144537773236
33,HDFCBANK,KOTAKBANK,0.0000,0.94,0.48,862.39,1.57,42.98945689289898
34,HDFCBANK,PNB,0.0000,-2.27,0.19,2195.42,-0.56,109.43994416888911
35,RBLBANK,HDFCBANK,0.0000,0.14,0.82,266.10,-0.93,51.98280914241064
36,HDFCBANK,SBIN,0.0068,-0.78,0.62,2130.17,0.63,106.18728346751078
37,HDFCBANK,YESBANK,0.0000,-0.14,0.08,1992.95,0.35,99.34697539941676
38,ICICIBANK,IDFCBANK,0.0003,0.57,0.39,272.46,0.60,89.17034855179183
39,ICICIBANK,INDUSINDBK,0.0315,-0.02,0.74,334.97,0.13,109.62853870070364
40,ICICIBANK,KOTAKBANK,0.0180,-0.02,0.48,325.37,0.22,106.48666339387988
41,ICICIBANK,PNB,0.0000,0.17,0.19,280.64,0.75,91.84748813614793
42,RBLBANK,ICICIBANK,0.0047,0.26,0.81,448.12,-0.45,87.54053526079312
43,ICICIBANK,SBIN,0.0000,0.55,0.62,146.41,0.83,47.91687121584029
44,ICICIBANK,YESBANK,0.0191,-0.01,0.08,304.53,0.09,99.66617574864996
45,INDUSINDBK,IDFCBANK,0.0000,-14.49,0.39,2497.34,-3.51,147.76722582172127
46,KOTAKBANK,IDFCBANK,0.0000,-15.69,0.39,1918.48,-3.40,168.05185704274703
47,IDFCBANK,PNB,0.0000,0.16,0.19,31.42,-1.09,86.55647382920111
48,RBLBANK,IDFCBANK,0.0000,-1.47,0.39,600.74,-1.10,117.35495213908968
49,SBIN,IDFCBANK,0.0000,1.31,0.39,214.86,0.13,80.92655367231639
50,IDFCBANK,YESBANK,0.0000,0.01,0.08,47.09,-1.82,129.7245179063361
51,INDUSINDBK,KOTAKBANK,0.0000,0.94,0.48,702.21,-1.77,41.54965829413331
52,INDUSINDBK,PNB,0.0000,-2.59,0.19,2082.02,-2.75,123.19280494659921
53,RBLBANK,INDUSINDBK,0.0000,0.13,0.74,300.06,-0.18,58.61691736667318
54,INDUSINDBK,SBIN,0.0000,-1.66,0.62,2225.24,-0.75,131.6671104405195
55,INDUSINDBK,YESBANK,0.0000,-0.11,0.08,1824.78,-0.95,107.97195349250022
56,KOTAKBANK,PNB,0.0000,-2.66,0.19,1451.51,-1.92,127.1469866853539
57,RBLBANK,KOTAKBANK,0.0000,0.14,0.48,369.70,-0.60,72.22113694080876
58,SBIN,KOTAKBANK,0.0000,-0.06,0.48,351.44,-0.60,132.36911487758945
59,KOTAKBANK,YESBANK,0.0000,-0.11,0.08,1186.24,-0.20,103.91030133146462
60,RBLBANK,PNB,0.0000,-0.28,0.19,560.97,-1.00,109.58585661261965
61,SBIN,PNB,0.0000,0.44,0.19,226.82,0.65,85.43126177024482
62,PNB,YESBANK,0.0000,0.02,0.08,113.74,-1.50,190.51926298157454
63,RBLBANK,SBIN,0.0003,0.27,0.62,451.11,-0.29,88.12463371752295
64,RBLBANK,YESBANK,0.8875,0.00,0.08,525.72,-0.41,102.69974604414925
65,SBIN,YESBANK,0.3798,0.00,0.08,280.11,-0.58,105.50282485875707
