Date,BANKNIFTY,AXISBANK,BANKBARODA,HDFCBANK,ICICIBANK,IDFCBANK,INDUSINDBK,KOTAKBANK,PNB,RBLBANK,SBIN,YESBANK
2017-06-27,23216.25,492.85,154.85,1667.65,287.9,55.7,1490.15,974.75,137.0,508.95,279.65,1415.5
2017-06-28,23235.85,492.0,155.6,1666.45,290.35,55.3,1490.65,972.2,136.5,505.35,276.4,1449.7
2017-06-29,23227.3,512.1,155.5,1663.05,293.25,54.9,1479.55,948.35,138.05,501.8,272.45,1438.5
2017-06-30,23211.2,517.35,161.65,1652.05,290.15,54.7,1478.95,955.75,137.3,507.75,273.65,1463.5
2017-07-03,23272.8,517.25,161.85,1658.6,290.05,54.95,1490.95,948.85,139.25,517.7,274.85,1492.75
2017-07-04,23214.2,508.4,159.35,1653.35,289.5,56.65,1497.8,958.8,136.55,521.8,273.0,1485.05
2017-07-05,23352.6,513.9,160.8,1648.75,292.85,62.35,1516.35,959.85,136.6,524.25,274.9,1505.95
2017-07-06,23466.65,509.5,162.4,1658.15,293.75,63.3,1519.55,958.1,143.3,524.85,281.0,1504.05
2017-07-07,23449.15,503.15,160.55,1667.2,289.7,64.7,1526.3,964.7,144.2,527.0,280.1,1505.75
2017-07-10,23675.05,509.95,166.6,1676.35,291.45,65.2,1560.35,968.0,153.25,532.6,285.55,1512.9
2017-07-11,23584.6,506.8,162.65,1680.4,289.65,62.0,1560.7,958.75,149.4,532.05,283.55,1514.8
2017-07-12,23695.45,506.75,163.5,1681.25,292.35,63.85,1577.0,956.65,152.35,533.75,287.65,1515.45
2017-07-13,23888.65,511.9,163.4,1683.55,297.9,62.75,1579.9,962.1,152.25,546.35,288.75,1582.0
2017-07-14,23937.7,512.95,165.0,1679.95,298.25,62.75,1574.5,977.2,153.65,540.75,291.6,1564.6
2017-07-17,24015.05,510.5,164.35,1682.35,303.5,61.65,1581.05,979.7,152.9,529.45,293.0,1547.45
2017-07-18,24022.05,516.55,163.85,1683.55,303.9,62.0,1570.1,977.1,154.85,521.45,291.0,1557.8
2017-07-19,24152.65,520.2,164.45,1692.3,302.25,61.95,1574.55,994.2,158.3,537.6,293.3,1570.15
2017-07-20,24213.35,540.0,161.9,1710.9,300.6,61.35,1560.0,980.0,156.75,539.45,290.95,1571.6
2017-07-21,24257.05,540.8,161.75,1703.05,302.05,60.35,1566.65,999.45,158.25,532.35,290.65,1577.65
2017-07-24,24420.85,534.8,164.2,1735.1,303.05,60.5,1554.5,992.95,161.3,524.25,294.55,1593.25
2017-07-25,24520.7,544.95,165.0,1739.65,304.15,60.5,1542.5,987.95,162.95,529.1,296.1,1617.85
2017-07-26,24670.7,528.85,163.35,1747.55,310.35,60.35,1580.2,986.55,158.9,528.3,295.8,1711.95
2017-07-27,24922.4,524.65,160.95,1789.65,307.2,59.15,1606.7,998.15,154.15,538.2,298.35,1785.85
2017-07-28,24811.3,515.1,161.55,1778.5,296.15,60.55,1628.35,1012.7,158.85,534.45,299.1,1841.85
2017-07-31,25103.65,519.8,166.05,1784.4,302.6,59.45,1645.75,1021.65,162.3,534.75,312.5,1809.5
2017-08-01,25122.8,516.55,163.5,1797.2,302.6,59.1,1665.7,1015.3,157.5,530.45,309.0,1827.25
2017-08-02,25055.2,516.9,163.4,1791.65,301.85,58.35,1658.75,1010.9,158.95,527.4,307.7,1829.0
2017-08-03,24675.05,506.0,158.2,1779.95,295.7,58.05,1645.2,996.4,149.3,517.35,300.55,1785.45
2017-08-04,24827.45,508.1,158.95,1790.25,296.25,57.3,1664.7,996.2,151.05,515.05,305.25,1807.95
2017-08-07,24906.35,505.8,160.05,1788.55,300.15,57.55,1650.5,997.9,152.1,519.45,311.2,1799.85
2017-08-08,24599.5,499.45,156.55,1777.9,295.5,56.65,1638.65,987.7,148.8,511.8,303.65,1763.55
2017-08-09,24374.6,486.95,155.2,1764.45,290.6,56.3,1637.25,992.4,148.3,497.2,302.3,1741.55
2017-08-10,24217.35,485.5,148.45,1760.45,288.75,54.1,1629.4,996.8,143.15,490.35,296.7,1730.1
