Date,AMARAJABAT,APOLLOTYRE,ASHOKLEY,BAJAJ-AUTO,BHARATFORG,BOSCHLTD,EICHERMOT,EXIDEIND,HEROMOTOCO,MRF,M&M,MARUTI,MOTHERSUMI,TVSMOTOR,TATAMTRDVR,TATAMOTORS
2017-06-27,839.3,243.25,91.1,2779.3,1090.2,23247.5,26661.05,212.75,3695.2,68585.55,1370.3,7183.35,470.05,534.05,276.55,442.3
2017-06-28,839.4,244.3,92.2,2777.05,1059.1,23309.05,27224.85,216.8,3688.45,68915.8,1356.05,7225.05,464.65,534.85,274.35,442.5
2017-06-29,837.4,242.9,93.45,2801.3,1075.1,23263.6,27340.05,218.0,3716.35,68638.95,1355.65,7224.35,457.2,545.45,268.3,435.6
2017-06-30,839.6,240.7,93.85,2791.2,1092.65,23327.25,27039.4,220.5,3701.35,68325.9,1348.6,7217.6,462.0,549.2,263.3,432.55
2017-07-03,841.5,254.6,100.3,2789.35,1108.1,23507.8,27766.8,223.5,3776.1,70859.5,1366.45,7354.0,459.85,552.35,266.05,430.25
2017-07-04,856.4,251.2,99.35,2769.65,1098.45,23511.4,27850.95,226.25,3703.35,70350.3,1355.15,7376.15,458.4,551.45,263.0,426.9
2017-07-05,848.3,254.55,101.6,2771.25,1110.7,23723.2,28067.1,228.3,3709.75,70607.4,1385.0,7377.65,305.45,547.3,264.85,431.75
2017-07-06,846.5,256.4,102.2,2728.6,1108.0,23785.9,27689.1,228.45,3725.35,70270.65,1376.05,7474.05,314.1,555.45,266.45,437.1
2017-07-07,859.1,258.75,103.9,2708.25,1120.85,23585.3,27852.25,229.95,3681.65,69809.3,1376.0,7432.8,310.95,573.45,265.0,436.85
2017-07-10,866.35,257.25,105.15,2730.65,1120.5,23890.0,27931.3,229.35,3731.0,69600.25,1367.4,7430.45,312.5,571.15,268.15,446.95
2017-07-11,850.35,249.6,105.1,2792.75,1102.85,23857.75,28130.9,224.15,3748.3,69120.05,1390.15,7457.0,313.65,566.95,271.55,456.95
2017-07-12,851.95,252.25,106.4,2785.85,1120.25,24187.3,28258.5,226.35,3718.75,69976.6,1376.7,7476.65,314.4,564.2,274.35,461.0
2017-07-13,852.15,251.5,106.25,2789.75,1120.8,24253.05,28055.95,226.35,3750.95,69662.05,1370.4,7567.55,321.7,571.8,276.5,459.05
2017-07-14,844.55,251.0,105.4,2809.8,1120.1,24363.05,27907.15,222.8,3758.05,69516.25,1375.55,7557.25,316.9,569.5,272.65,451.3
2017-07-17,840.15,253.35,108.25,2821.25,1144.0,24602.6,28059.55,221.5,3764.35,70072.7,1384.6,7522.3,318.25,571.9,272.15,454.15
2017-07-18,843.1,252.85,105.45,2831.75,1143.15,24363.9,28598.5,221.2,3783.95,69930.45,1380.15,7549.35,317.0,571.4,271.8,456.15
2017-07-19,834.2,255.9,106.85,2823.7,1148.95,24345.95,29215.0,218.25,3770.65,70221.5,1382.4,7561.5,326.05,573.65,274.55,460.6
2017-07-20,833.75,253.7,105.9,2818.6,1134.45,24048.3,29252.65,218.15,3729.9,69159.05,1393.45,7490.95,321.6,572.25,272.85,460.15
2017-07-21,839.1,252.4,103.2,2815.8,1135.5,23971.45,28903.15,216.65,3682.0,68878.45,1386.05,7543.0,323.75,572.2,274.8,464.6
2017-07-24,843.25,253.7,104.0,2826.75,1130.45,24041.7,28843.75,215.3,3692.3,68908.9,1388.95,7554.55,324.95,577.3,273.35,464.0
2017-07-25,846.05,264.55,104.95,2847.7,1122.55,24246.85,28407.45,216.7,3709.05,70334.3,1389.8,7504.85,323.2,570.3,268.85,456.1
2017-07-26,847.65,266.9,106.15,2841.35,1138.55,24280.25,29002.45,217.25,3717.45,69989.85,1413.5,7565.25,322.0,570.6,270.5,457.3
2017-07-27,846.95,261.9,105.0,2840.3,1138.9,23982.6,29102.25,214.9,3703.55,68706.5,1398.2,7599.6,320.3,575.25,262.3,445.4
2017-07-28,840.5,263.2,109.4,2828.15,1151.1,23804.4,29388.4,216.45,3630.3,69119.7,1392.2,7630.45,324.9,582.95,261.95,445.85
2017-07-31,834.4,266.5,109.5,2808.55,1148.7,24178.1,30081.2,217.5,3655.75,69198.75,1403.3,7750.05,325.0,582.1,260.5,444.6
2017-08-01,847.45,266.95,111.05,2823.4,1150.1,24666.5,31504.8,223.8,3727.85,69393.1,1429.25,7856.1,329.5,596.4,262.6,446.9
2017-08-02,842.7,277.75,109.35,2802.9,1156.35,25029.75,31153.8,221.95,3802.6,70810.4,1414.6,7795.5,333.15,590.55,260.45,440.35
2017-08-03,817.65,270.85,108.9,2834.25,1162.45,24849.55,30726.05,222.15,3838.35,69150.4,1416.5,7737.4,331.05,586.7,253.6,431.45
2017-08-04,805.8,262.25,109.2,2874.65,1155.45,24560.2,31637.25,215.8,3956.55,66361.15,1418.05,7770.3,336.8,599.3,255.0,435.6
2017-08-07,821.25,285.5,111.2,2889.25,1161.55,24353.85,31969.85,215.7,3952.7,67821.2,1400.75,7838.65,339.55,602.9,250.35,430.0
2017-08-08,800.95,280.45,112.1,2911.6,1188.65,24189.4,32120.85,214.25,3913.4,66722.25,1400.0,7755.9,336.65,595.3,248.45,430.0
