,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Current_STD_Error
0,AXISBANK,BANKBARODA,0.00,2.86,1.33,193.44,1.40
1,HDFCBANK,AXISBANK,0.00,-0.70,1.55,2529.28,-2.56
2,AXISBANK,ICICIBANK,0.00,1.77,1.48,44.04,0.38
3,AXISBANK,IDFCBANK,0.00,12.56,1.49,57.00,0.71
4,INDUSINDBK,AXISBANK,0.30,-0.13,1.55,2009.06,-1.00
5,KOTAKBANK,AXISBANK,0.00,-0.85,1.55,1810.88,-1.90
6,PNB,AXISBANK,0.00,0.05,1.55,53.12,-0.25
7,RBLBANK,AXISBANK,0.00,0.38,1.55,362.52,-0.09
8,SBIN,AXISBANK,0.00,0.30,1.55,111.40,-1.17
9,YESBANK,AXISBANK,0.15,-0.09,1.55,418.45,-1.88
10,HDFCBANK,BANKBARODA,0.03,-1.07,1.33,2266.00,-2.47
11,ICICIBANK,BANKBARODA,0.00,1.71,1.33,71.82,1.55
12,IDFCBANK,BANKBARODA,0.00,0.21,1.33,13.42,1.02
13,INDUSINDBK,BANKBARODA,0.03,1.00,1.33,1794.09,-1.10
14,KOTAKBANK,BANKBARODA,0.00,-2.67,1.33,1677.42,-2.54
15,PNB,BANKBARODA,0.00,0.24,1.33,48.63,0.92
16,RBLBANK,BANKBARODA,0.00,0.98,1.33,449.95,0.76
17,SBIN,BANKBARODA,0.00,1.28,1.33,110.99,0.34
18,YESBANK,BANKBARODA,0.36,0.21,1.33,337.30,-1.98
19,HDFCBANK,ICICIBANK,0.00,-1.20,1.48,2488.31,-2.53
20,HDFCBANK,IDFCBANK,0.00,-8.99,1.49,2499.22,-2.70
21,HDFCBANK,INDUSINDBK,0.00,0.43,5.56,1281.94,-2.04
22,HDFCBANK,KOTAKBANK,0.00,0.74,3.59,1145.96,-1.74
23,HDFCBANK,PNB,0.01,-4.47,2.86,2486.03,-2.35
24,HDFCBANK,RBLBANK,0.00,-0.97,3.22,2689.08,-2.34
25,HDFCBANK,SBIN,0.01,-0.99,2.07,2403.99,-2.51
26,HDFCBANK,YESBANK,0.00,1.41,2.14,1604.21,-1.33
27,IDFCBANK,ICICIBANK,0.00,0.13,1.48,1.65,-0.41
28,INDUSINDBK,ICICIBANK,0.68,0.10,1.48,1902.95,-1.14
29,KOTAKBANK,ICICIBANK,0.00,-1.55,1.48,1786.45,-2.01
30,PNB,ICICIBANK,0.00,0.10,1.48,50.68,-0.29
31,RBLBANK,ICICIBANK,0.00,0.61,1.48,397.06,0.10
32,SBIN,ICICIBANK,0.00,0.60,1.48,102.81,-1.51
33,YESBANK,ICICIBANK,0.27,-0.13,1.48,404.62,-1.91
34,INDUSINDBK,IDFCBANK,0.97,0.05,1.49,1930.18,-1.10
35,KOTAKBANK,IDFCBANK,0.00,-10.49,1.49,1753.22,-1.91
36,PNB,IDFCBANK,0.00,0.69,1.49,53.00,-0.09
37,RBLBANK,IDFCBANK,0.00,4.78,1.49,382.97,0.20
38,SBIN,IDFCBANK,0.00,4.03,1.49,117.08,-0.89
39,YESBANK,IDFCBANK,0.29,-0.89,1.49,403.76,-1.93
40,INDUSINDBK,KOTAKBANK,0.44,0.10,3.59,1799.48,-0.94
41,INDUSINDBK,PNB,0.05,3.26,2.86,1664.63,-1.23
42,INDUSINDBK,RBLBANK,0.01,-0.66,3.22,2317.60,-0.97
43,INDUSINDBK,SBIN,0.02,0.82,2.07,1696.52,-1.15
44,INDUSINDBK,YESBANK,0.00,1.13,2.14,1517.88,0.01
45,KOTAKBANK,PNB,0.00,-8.61,2.86,2016.77,-1.82
46,KOTAKBANK,RBLBANK,0.00,-1.17,3.22,1993.74,-1.51
47,KOTAKBANK,SBIN,0.00,-1.98,2.07,1879.09,-2.40
48,KOTAKBANK,YESBANK,0.01,0.71,2.14,1049.54,-0.93
49,RBLBANK,PNB,0.00,3.17,2.86,324.26,0.45
50,PNB,SBIN,0.00,0.18,2.07,30.98,0.68
51,PNB,YESBANK,0.85,-0.00,2.14,83.71,0.25
52,RBLBANK,SBIN,0.00,0.76,2.07,365.65,0.70
53,RBLBANK,YESBANK,0.26,-0.16,2.14,644.88,0.24
54,YESBANK,SBIN,0.41,0.14,2.07,325.72,-2.00
