,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Current_STD_Error
1,HDFCBANK,AXISBANK,0.0,-0.7,1.55,2529.28,-2.56
14,KOTAKBANK,BANKBARODA,0.0,-2.67,1.33,1677.42,-2.54
19,HDFCBANK,ICICIBANK,0.0,-1.2,1.48,2488.31,-2.53
20,HDFCBANK,IDFCBANK,0.0,-8.99,1.49,2499.22,-2.7
21,HDFCBANK,INDUSINDBK,0.0,0.43,5.56,1281.94,-2.04
23,HDFCBANK,PNB,0.01,-4.47,2.86,2486.03,-2.35
24,HDFCBANK,RBLBANK,0.0,-0.97,3.22,2689.08,-2.34
25,HDFCBANK,SBIN,0.01,-0.99,2.07,2403.99,-2.51
29,KOTAKBANK,ICICIBANK,0.0,-1.55,1.48,1786.45,-2.01
47,KOTAKBANK,SBIN,0.0,-1.98,2.07,1879.09,-2.4
