Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2017-06-30,MARUTI,2017-09-28,0.0,0.0,0.0,7343.3,0.0,7335.15,0,0.0,0,0,7217.6
2017-07-03,MARUTI,2017-09-28,7375.0,7375.0,7375.0,7375.0,7375.0,7375.0,1,1106000.0,150,150,7354.0
2017-07-04,MARUTI,2017-09-28,7420.0,7420.0,7420.0,7420.0,7420.0,7490.7,1,1113000.0,300,150,7376.15
2017-07-05,MARUTI,2017-09-28,0.0,0.0,0.0,7420.0,7420.0,7490.7,0,0.0,300,0,7377.65
2017-07-06,MARUTI,2017-09-28,7465.0,7465.0,7465.0,7465.0,7465.0,7587.25,1,1120000.0,450,150,7474.05
2017-07-07,MARUTI,2017-09-28,0.0,0.0,0.0,7465.0,7465.0,7544.2,0,0.0,450,0,7432.8
2017-07-10,MARUTI,2017-09-28,0.0,0.0,0.0,7465.0,7465.0,7537.75,0,0.0,450,0,7430.45
2017-07-11,MARUTI,2017-09-28,7428.0,7428.0,7428.0,7428.0,7428.0,7563.3,1,1114000.0,450,0,7457.0
2017-07-12,MARUTI,2017-09-28,7465.0,7465.0,7465.0,7465.0,7465.0,7581.75,1,1120000.0,600,150,7476.65
2017-07-13,MARUTI,2017-09-28,7473.95,7563.0,7473.95,7551.05,7551.05,7672.55,9,10140000.0,1650,1050,7567.55
2017-07-14,MARUTI,2017-09-28,7562.4,7562.4,7541.0,7549.0,7549.0,7549.0,7,7927000.0,2700,1050,7557.25
2017-07-17,MARUTI,2017-09-28,7539.0,7550.0,7539.0,7550.0,7550.0,7621.2,2,2263000.0,3000,300,7522.3
2017-07-18,MARUTI,2017-09-28,7600.0,7600.0,7566.05,7586.2,7586.2,7645.75,3,3413000.0,3300,300,7549.35
2017-07-19,MARUTI,2017-09-28,7590.0,7590.0,7561.55,7540.0,7570.5,7540.0,8,9085000.0,4350,1050,7561.5
2017-07-20,MARUTI,2017-09-28,7562.0,7562.0,7500.0,7505.75,7510.0,7505.75,19,21420000.0,6000,1650,7490.95
2017-07-21,MARUTI,2017-09-28,7496.0,7540.0,7479.75,7540.0,7540.0,7540.0,18,20283000.0,7350,1350,7543.0
2017-07-24,MARUTI,2017-09-28,7514.7,7576.0,7514.7,7552.0,7552.0,7552.0,46,51983000.0,12900,5550,7554.55
2017-07-25,MARUTI,2017-09-28,7538.75,7550.0,7511.0,7520.5,7521.0,7520.5,34,38412000.0,17100,4200,7504.85
2017-07-26,MARUTI,2017-09-28,7518.7,7580.0,7518.7,7569.75,7575.0,7569.75,63,71431000.0,24150,7050,7565.25
2017-07-27,MARUTI,2017-09-28,7613.35,7697.0,7550.0,7595.0,7603.0,7595.0,139,158794000.0,35250,11100,7599.6
2017-07-28,MARUTI,2017-09-28,7603.0,7650.9,7580.0,7620.45,7630.0,7620.45,59,67486000.0,34950,-300,7630.45
2017-07-31,MARUTI,2017-09-28,7670.0,7737.0,7665.85,7717.25,7720.0,7717.25,54,62445000.0,37800,2850,7750.05
2017-08-01,MARUTI,2017-09-28,7732.95,7899.95,7728.0,7837.35,7840.0,7837.35,97,113931000.0,40650,2850,7856.1
2017-08-02,MARUTI,2017-09-28,7827.95,7830.0,7784.3,7805.85,7786.65,7805.85,66,77309000.0,42150,1500,7795.5
2017-08-03,MARUTI,2017-09-28,7800.0,7800.0,7719.0,7747.8,7741.0,7747.8,82,95281000.0,41400,-750,7737.4
2017-08-04,MARUTI,2017-09-28,7760.0,7804.9,7755.0,7786.6,7790.2,7786.6,49,57169000.0,42150,750,7770.3
2017-08-07,MARUTI,2017-09-28,7789.75,7865.0,7789.75,7826.9,7825.0,7826.9,109,128093000.0,42750,600,7838.65
2017-08-08,MARUTI,2017-09-28,7860.0,7860.0,7708.1,7756.3,7760.6,7756.3,57,66348000.0,43950,1200,7755.9
2017-08-09,MARUTI,2017-09-28,7710.0,7777.0,7623.55,7648.0,7631.0,7648.0,113,130553000.0,44400,450,7661.6
2017-08-10,MARUTI,2017-09-28,7587.55,7612.15,7523.0,7577.95,7604.5,7577.95,164,186252000.0,43950,-450,7578.75
