Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2017-06-30,MARUTI,2017-08-31,7161.5,7211.75,7152.0,7203.8,7200.0,7203.8,45,48453000.0,41700,1500,7217.6
2017-07-03,MARUTI,2017-08-31,7214.75,7350.0,7203.25,7347.15,7344.65,7347.15,109,119682000.0,43500,1800,7354.0
2017-07-04,MARUTI,2017-08-31,7354.65,7389.95,7330.0,7362.15,7360.0,7362.15,93,102666000.0,44700,1200,7376.15
2017-07-05,MARUTI,2017-08-31,7360.0,7374.0,7332.35,7370.85,7372.45,7370.85,27,29801000.0,46500,1800,7377.65
2017-07-06,MARUTI,2017-08-31,7390.15,7471.45,7390.15,7448.4,7443.2,7448.4,107,119370000.0,45900,-600,7474.05
2017-07-07,MARUTI,2017-08-31,7438.55,7452.25,7410.0,7418.9,7415.25,7418.9,105,116965000.0,54600,8700,7432.8
2017-07-10,MARUTI,2017-08-31,7416.75,7450.25,7401.0,7418.3,7428.5,7418.3,39,43450000.0,56850,2250,7430.45
2017-07-11,MARUTI,2017-08-31,7438.35,7470.0,7382.95,7436.75,7433.0,7436.75,87,96955000.0,59850,3000,7457.0
2017-07-12,MARUTI,2017-08-31,7440.95,7460.0,7417.3,7450.35,7450.0,7450.35,72,80379000.0,61950,2100,7476.65
2017-07-13,MARUTI,2017-08-31,7468.0,7538.65,7444.9,7533.1,7527.0,7533.1,227,255718000.0,69300,7350,7567.55
2017-07-14,MARUTI,2017-08-31,7503.4,7550.0,7495.0,7524.8,7530.0,7524.8,151,170274000.0,80850,11550,7557.25
2017-07-17,MARUTI,2017-08-31,7535.75,7550.0,7502.35,7515.85,7502.35,7515.85,214,241425000.0,97950,17100,7522.3
2017-07-18,MARUTI,2017-08-31,7525.75,7578.0,7515.3,7542.05,7535.0,7542.05,548,620354000.0,148500,50550,7549.35
2017-07-19,MARUTI,2017-08-31,7535.0,7565.0,7530.0,7548.3,7549.9,7548.3,743,841213000.0,236550,88050,7561.5
2017-07-20,MARUTI,2017-08-31,7559.0,7559.0,7468.0,7478.05,7479.55,7478.05,1076,1209922000.0,315150,78600,7490.95
2017-07-21,MARUTI,2017-08-31,7480.0,7518.0,7428.0,7511.2,7508.35,7511.2,1087,1219708000.0,359550,44400,7543.0
2017-07-24,MARUTI,2017-08-31,7520.0,7536.0,7475.0,7518.2,7513.75,7518.2,1152,1297494000.0,447450,87900,7554.55
2017-07-25,MARUTI,2017-08-31,7549.4,7549.4,7480.1,7491.45,7488.95,7491.45,3491,3928979000.0,822150,374700,7504.85
2017-07-26,MARUTI,2017-08-31,7533.25,7561.0,7484.95,7548.1,7559.0,7548.1,4508,5085790000.0,1114050,291900,7565.25
2017-07-27,MARUTI,2017-08-31,7583.55,7659.9,7512.55,7568.9,7565.0,7568.9,18589,21178536000.0,1628100,514050,7599.6
2017-07-28,MARUTI,2017-08-31,7576.85,7628.9,7544.45,7594.3,7596.0,7594.3,6920,7885173000.0,1708050,79950,7630.45
2017-07-31,MARUTI,2017-08-31,7599.45,7707.15,7590.1,7698.65,7705.5,7698.65,7311,8419569000.0,1699200,-8850,7750.05
2017-08-01,MARUTI,2017-08-31,7706.1,7866.05,7692.0,7806.85,7812.0,7806.85,17284,20231055000.0,1759050,59850,7856.1
2017-08-02,MARUTI,2017-08-31,7824.8,7827.35,7745.6,7768.6,7758.9,7768.6,5088,5936266000.0,1782300,23250,7795.5
2017-08-03,MARUTI,2017-08-31,7753.05,7783.0,7681.25,7709.55,7705.0,7709.55,4345,5031553000.0,1788600,6300,7737.4
2017-08-04,MARUTI,2017-08-31,7704.3,7774.0,7697.65,7747.35,7754.5,7747.35,4518,5248023000.0,1814700,26100,7770.3
2017-08-07,MARUTI,2017-08-31,7749.85,7836.85,7730.6,7792.6,7786.0,7792.6,6293,7361753000.0,1794300,-20400,7838.65
2017-08-08,MARUTI,2017-08-31,7767.35,7829.0,7670.05,7723.75,7723.0,7723.75,6081,7064848000.0,1840350,46050,7755.9
2017-08-09,MARUTI,2017-08-31,7715.95,7748.0,7590.0,7616.45,7600.0,7616.45,6333,7295293000.0,1836150,-4200,7661.6
2017-08-10,MARUTI,2017-08-31,7576.65,7591.05,7485.05,7541.85,7562.0,7541.85,6487,7340217000.0,1755000,-81150,7578.75
