Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2017-06-30,SBIN,2017-09-28,276.5,278.6,276.5,278.6,278.6,278.6,3,2496000.0,6000,6000,273.65
2017-07-03,SBIN,2017-09-28,278.6,278.85,276.65,278.1,278.1,279.2,20,16677000.0,18000,12000,274.85
2017-07-04,SBIN,2017-09-28,277.9,279.05,275.75,276.2,276.2,276.2,12,9969000.0,33000,15000,273.0
2017-07-05,SBIN,2017-09-28,277.25,278.2,277.15,278.1,278.1,278.1,6,4999000.0,45000,12000,274.9
2017-07-06,SBIN,2017-09-28,281.5,286.05,281.5,283.45,283.45,283.45,12,10232000.0,54000,9000,281.0
2017-07-07,SBIN,2017-09-28,284.7,285.0,283.5,283.5,283.5,284.3,16,13650000.0,66000,12000,280.1
2017-07-10,SBIN,2017-09-28,286.35,290.0,286.3,290.0,290.0,289.7,21,18146000.0,72000,6000,285.55
2017-07-11,SBIN,2017-09-28,291.95,293.0,286.7,287.0,287.0,287.0,29,25221000.0,123000,51000,283.55
2017-07-12,SBIN,2017-09-28,288.6,291.0,288.6,290.8,290.6,290.8,10,8700000.0,105000,-18000,287.65
2017-07-13,SBIN,2017-09-28,292.75,292.75,290.0,291.9,291.7,291.9,21,18368000.0,123000,18000,288.75
2017-07-14,SBIN,2017-09-28,291.2,296.5,291.0,294.75,295.05,294.75,31,27397000.0,129000,6000,291.6
2017-07-17,SBIN,2017-09-28,294.95,297.0,292.85,296.4,296.0,296.4,38,33610000.0,174000,45000,293.0
2017-07-18,SBIN,2017-09-28,296.4,299.55,293.5,294.3,293.5,294.3,39,34731000.0,207000,33000,291.0
2017-07-19,SBIN,2017-09-28,295.5,296.5,295.0,296.35,296.5,296.35,16,14195000.0,228000,21000,293.3
2017-07-20,SBIN,2017-09-28,296.35,296.9,294.0,294.25,294.4,294.25,36,31868000.0,285000,57000,290.95
2017-07-21,SBIN,2017-09-28,294.4,294.85,292.0,294.0,294.0,294.0,22,19363000.0,264000,-21000,290.65
2017-07-24,SBIN,2017-09-28,296.0,299.2,294.75,297.6,297.6,297.6,89,79278000.0,294000,30000,294.55
2017-07-25,SBIN,2017-09-28,299.25,300.0,297.5,298.95,298.95,298.95,45,40332000.0,342000,48000,296.1
2017-07-26,SBIN,2017-09-28,299.5,301.95,298.65,298.85,298.85,298.85,75,67470000.0,426000,84000,295.8
2017-07-27,SBIN,2017-09-28,300.2,303.15,300.2,301.6,302.0,301.6,116,105042000.0,564000,138000,298.35
2017-07-28,SBIN,2017-09-28,299.8,304.0,298.65,302.4,302.8,302.4,151,136876000.0,753000,189000,299.1
2017-07-31,SBIN,2017-09-28,303.8,315.7,300.45,315.0,315.45,315.0,375,350031000.0,930000,177000,312.5
2017-08-01,SBIN,2017-09-28,316.75,316.75,311.25,312.0,312.3,312.0,200,187969000.0,939000,9000,309.0
2017-08-02,SBIN,2017-09-28,313.0,314.0,309.2,311.15,309.5,311.15,249,232816000.0,978000,39000,307.7
2017-08-03,SBIN,2017-09-28,310.15,310.2,302.8,303.85,304.25,303.85,237,217064000.0,1089000,111000,300.55
2017-08-04,SBIN,2017-09-28,302.0,309.35,301.1,308.75,308.55,308.75,282,258612000.0,1062000,-27000,305.25
2017-08-07,SBIN,2017-09-28,310.5,314.95,308.05,314.2,314.0,314.2,198,185373000.0,1104000,42000,311.2
2017-08-08,SBIN,2017-09-28,314.0,314.0,304.3,307.15,308.3,307.15,261,241281000.0,1194000,90000,303.65
2017-08-09,SBIN,2017-09-28,307.1,310.05,303.6,305.25,304.7,305.25,258,237448000.0,1278000,84000,302.3
2017-08-10,SBIN,2017-09-28,303.7,305.0,294.05,298.95,300.5,298.95,397,357616000.0,1299000,21000,296.7
