,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,HCLTECH,INFIBEAM,0.0000,0.90,0.50,822.66,3.60,75.38348758361587
1,HCLTECH,INFY,0.0000,-0.17,0.51,1182.77,0.67,108.38174654082287
2,HCLTECH,KPIT,0.1586,0.27,0.85,905.02,2.05,82.93044992211125
3,HCLTECH,MINDTREE,0.0000,0.27,0.91,706.25,1.60,64.71639329240355
4,OFSS,HCLTECH,0.0000,1.16,1.37,2871.60,-0.68,71.00978004179083
5,HCLTECH,TCS,0.2448,-0.01,0.33,1002.03,1.78,91.8198478878402
6,HCLTECH,TATAELXSI,0.0302,0.08,0.78,874.78,1.95,80.15944286630625
7,TECHM,HCLTECH,0.0000,0.38,1.37,311.66,0.69,41.546357395187634
8,HCLTECH,WIPRO,0.0000,2.64,1.19,230.14,-0.16,21.088609914780537
9,INFY,INFIBEAM,0.1254,-0.88,0.50,1338.17,-2.67,183.68840082361015
10,KPIT,INFIBEAM,0.0000,0.52,0.50,179.86,0.03,81.73596909793228
11,MINDTREE,INFIBEAM,0.0000,1.24,0.50,776.31,2.34,72.32589556062794
12,OFSS,INFIBEAM,0.0000,1.84,0.50,3683.51,1.58,91.086932331013
13,INFIBEAM,TCS,0.0652,-0.01,0.33,192.38,-3.28,250.82138200782268
14,TATAELXSI,INFIBEAM,0.0000,1.96,0.50,922.23,0.91,77.66801414855988
15,TECHM,INFIBEAM,0.0000,0.63,0.50,573.17,3.39,76.40738518962873
16,WIPRO,INFIBEAM,0.0000,0.30,0.50,230.57,3.98,70.4030534351145
17,KPIT,INFY,0.0160,0.03,0.51,236.51,-1.36,107.48011815496477
18,MINDTREE,INFY,0.0005,-0.14,0.51,1152.43,0.22,107.36758745982206
19,OFSS,INFY,0.0016,-0.20,0.51,4236.78,-0.34,104.76835767009979
20,INFY,TCS,0.1661,-0.04,0.33,1275.94,-2.30,175.1461908030199
21,TATAELXSI,INFY,0.0003,0.21,0.51,1011.13,0.16,85.15496041771938
22,TECHM,INFY,0.0000,-0.11,0.51,812.78,0.47,108.34899686729321
23,WIPRO,INFY,0.0000,-0.08,0.51,372.31,0.72,113.6824427480916
24,MINDTREE,KPIT,0.0000,2.21,0.85,395.05,2.66,36.80532910979643
25,OFSS,KPIT,0.2059,0.59,0.85,3843.39,0.47,95.04049258769273
26,KPIT,TCS,0.0000,-0.03,0.33,332.90,-2.60,151.28379913655988
27,KPIT,TATAELXSI,0.0000,0.18,0.78,41.94,-3.25,19.05930470347648
28,TECHM,KPIT,0.0000,0.61,0.85,518.47,2.49,69.11551023128708
29,WIPRO,KPIT,0.5627,0.04,0.85,273.05,2.23,83.37404580152672
30,OFSS,MINDTREE,0.0000,0.70,0.91,3311.48,-0.12,81.8872636902039
31,MINDTREE,TCS,0.0025,-0.04,0.33,1082.52,0.78,100.85433456002237
32,MINDTREE,TATAELXSI,0.0000,0.42,0.78,460.13,1.54,42.86858899706527
33,TECHM,MINDTREE,0.0000,0.34,0.91,344.33,1.41,45.90148636939279
34,WIPRO,MINDTREE,0.0001,0.07,0.91,210.48,1.96,64.26870229007633
35,OFSS,TCS,0.0654,0.04,0.33,3914.69,0.34,96.80362022280197
36,OFSS,TATAELXSI,0.1211,0.14,0.78,3822.90,0.34,94.53380976520482
37,OFSS,TECHM,0.0000,1.46,1.39,3008.27,-0.42,74.38939650589153
38,OFSS,WIPRO,0.0000,2.72,1.19,3232.79,-0.58,79.94139393414855
39,TATAELXSI,TCS,0.0000,-0.14,0.33,1603.02,-1.07,135.00252652854977
40,TECHM,TCS,0.0012,-0.02,0.33,726.78,1.52,96.88462307538492
41,WIPRO,TCS,0.4698,-0.00,0.33,288.06,2.11,87.95725190839694
42,TECHM,TATAELXSI,0.0001,0.10,0.78,555.41,1.86,74.03985869492769
43,WIPRO,TATAELXSI,0.8514,0.00,0.78,280.18,2.15,85.55114503816795
44,TECHM,WIPRO,0.0000,1.17,1.19,351.56,0.44,46.86529360794508
