,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,BANKNIFTY,AXISBANK,0.0000,15.03,1.03,17992.50,-1.72,71.76933294508554
1,BANKNIFTY,BANKBARODA,0.0200,16.56,0.86,24103.18,-0.67,96.14390165098385
2,BANKNIFTY,HDFCBANK,0.0000,10.50,2.01,4988.47,-1.90,19.89824450835464
3,BANKNIFTY,ICICIBANK,0.0000,28.94,1.18,17748.00,-1.56,70.79405980877466
4,BANKNIFTY,IDFCBANK,0.0006,-82.51,0.94,29917.17,-1.62,119.33501928607612
5,BANKNIFTY,INDUSINDBK,0.0000,9.90,2.00,7614.85,1.56,30.374472973565908
6,BANKNIFTY,KOTAKBANK,0.0000,8.97,1.20,15119.53,0.13,60.30949465295035
7,BANKNIFTY,PNB,0.0000,-44.28,0.83,30106.19,-2.05,120.08899118065887
8,BANKNIFTY,RBLBANK,0.0000,23.56,1.16,13537.60,-1.46,53.999417628311235
9,BANKNIFTY,SBIN,0.0000,44.85,1.12,14285.34,-2.22,56.982038221133706
10,BANKNIFTY,YESBANK,0.0000,18.79,0.73,20027.47,1.24,79.8865172976358
11,AXISBANK,BANKBARODA,0.0141,0.72,0.86,457.80,0.87,80.0
12,HDFCBANK,AXISBANK,0.0107,0.41,1.03,1805.13,-0.12,88.87231371390591
13,ICICIBANK,AXISBANK,0.0000,0.42,1.03,61.12,-0.05,20.125123477115576
14,AXISBANK,IDFCBANK,0.5887,0.55,0.94,531.48,0.43,92.87549148099608
15,INDUSINDBK,AXISBANK,0.9468,-0.01,1.03,1896.64,-3.07,115.7405260267285
16,KOTAKBANK,AXISBANK,0.5832,0.09,1.03,1199.51,-1.70,109.22012292283178
17,AXISBANK,PNB,0.0002,-1.64,0.83,694.56,-0.37,121.37352555701179
18,RBLBANK,AXISBANK,0.0000,0.61,1.03,205.54,-0.94,39.064905445215246
19,SBIN,AXISBANK,0.0000,0.35,1.03,77.04,-0.22,28.354803091645202
20,AXISBANK,YESBANK,0.7259,0.04,0.73,543.33,0.46,94.9462647444299
21,HDFCBANK,BANKBARODA,0.0350,-1.17,0.86,2192.20,-0.46,107.92900573566696
22,ICICIBANK,BANKBARODA,0.0000,0.59,0.86,217.85,1.25,71.73197234112611
23,IDFCBANK,BANKBARODA,0.0000,0.20,0.86,15.95,0.20,42.53333333333333
24,INDUSINDBK,BANKBARODA,0.0024,1.56,0.86,1680.99,-2.56,102.58070421675718
25,KOTAKBANK,BANKBARODA,0.0050,-1.59,0.86,1465.98,-2.31,133.48326883678578
26,BANKBARODA,PNB,0.0000,1.12,0.83,39.65,-0.95,38.383349467570184
27,RBLBANK,BANKBARODA,0.8587,0.05,0.86,537.21,-0.39,102.10206214957712
