Date,AXISBANK,BANKBARODA,HDFCBANK,ICICIBANK,IDFCBANK,INDUSINDBK,KOTAKBANK,PNB,RBLBANK,SBIN,YESBANK
2018-06-29,514.05,114.75,2170.6,278.6,39.1,2004.3,1364.1,76.75,552.3,261.8,335.45
2018-07-02,514.05,114.75,2080.0,274.4,38.5,1905.3,1364.1,79.55,552.3,261.8,341.9
2018-07-03,524.05,114.75,2082.75,274.4,38.5,1905.3,1364.1,77.25,552.3,258.85,341.9
2018-07-04,524.05,115.55,2105.9,274.4,39.0,1950.1,1364.1,77.05,552.3,261.0,339.9
2018-07-05,524.05,113.6,2124.0,275.25,37.85,1936.8,1364.1,76.5,552.3,261.0,339.9
2018-07-06,524.05,115.3,2119.0,272.0,37.75,1936.8,1364.1,78.6,552.3,261.2,339.9
2018-07-09,524.05,115.3,2128.8,273.85,38.9,1927.5,1364.1,78.85,552.3,264.35,367.35
2018-07-10,524.05,121.05,2144.65,276.0,38.9,1918.45,1364.1,79.0,552.3,267.8,374.3
2018-07-11,524.05,117.4,2146.0,268.7,38.9,1899.95,1364.1,76.2,552.3,261.8,375.8
2018-07-12,524.05,119.4,2162.1,274.0,38.8,1920.0,1364.1,78.1,552.3,266.3,378.95
2018-07-13,524.05,119.8,2192.0,269.7,37.6,1920.0,1411.0,74.0,581.65,260.0,381.05
2018-07-16,524.05,113.6,2177.5,261.55,35.6,1907.95,1411.0,74.9,581.65,254.0,381.0
2018-07-17,524.05,121.0,2178.05,267.8,37.05,1907.95,1411.0,79.8,581.65,262.35,386.35
2018-07-18,530.9,118.55,2185.75,264.7,36.6,1878.5,1415.0,76.05,581.65,262.25,388.25
2018-07-19,533.75,123.8,2198.0,262.75,36.5,1878.5,1359.0,76.05,581.65,262.0,395.1
2018-07-20,537.0,123.8,2199.0,267.1,36.5,1884.0,1350.0,76.4,581.65,263.8,391.85
2018-07-23,545.9,127.5,2168.0,277.2,38.1,1921.0,1347.7,79.9,574.2,269.2,391.55
2018-07-24,550.15,133.6,2166.0,276.0,38.5,1935.95,1324.35,80.3,575.1,269.7,388.6
2018-07-25,536.0,132.85,2178.25,275.9,38.7,1950.75,1326.0,80.35,579.45,274.3,387.05
2018-07-26,546.75,140.05,2198.25,286.95,38.8,1954.45,1316.75,82.05,573.0,289.2,373.5
2018-07-27,556.25,139.45,2200.4,294.4,39.65,1967.15,1318.85,83.05,575.1,289.45,374.05
2018-07-30,572.2,153.0,2174.3,308.25,41.8,1952.95,1309.6,86.9,567.65,298.75,372.6
2018-07-31,554.95,154.85,2181.75,305.1,40.3,1979.85,1317.6,86.0,578.0,296.15,371.45
2018-08-01,549.85,151.25,2165.6,300.2,40.15,1990.4,1322.35,88.65,573.0,297.65,369.9
2018-08-02,551.0,148.85,2141.4,299.55,40.4,2011.7,1291.85,86.2,577.25,296.55,365.65
2018-08-03,579.05,151.3,2135.0,306.65,41.5,2006.2,1316.35,89.25,572.55,301.45,376.5
2018-08-06,599.6,152.0,2125.45,315.55,41.8,1989.15,1294.85,91.15,570.95,310.45,381.05
2018-08-07,596.75,147.7,2141.85,314.25,41.8,1985.7,1292.25,83.5,570.05,306.25,384.2
2018-08-08,601.2,150.1,2144.95,319.55,41.35,1998.7,1297.5,80.9,574.4,311.05,385.9
2018-08-09,624.9,155.85,2126.8,333.25,43.25,1977.25,1283.65,84.0,573.4,318.35,384.25
2018-08-10,618.75,149.45,2127.05,328.85,43.75,1982.1,1292.05,83.65,573.05,304.8,386.0
2018-08-13,610.35,146.55,2102.2,326.05,44.95,1988.1,1294.7,80.9,566.8,296.25,372.95
2018-08-14,623.35,147.65,2101.25,333.05,44.8,1994.1,1298.35,80.3,568.0,297.35,385.0
2018-08-16,628.5,144.1,2088.9,334.7,45.7,1978.95,1256.25,82.75,577.15,295.25,381.25
2018-08-17,632.1,147.45,2089.25,340.3,46.9,1989.65,1268.4,84.2,577.9,304.25,395.6
2018-08-20,629.6,152.2,2108.05,339.6,48.2,1993.8,1280.95,85.05,596.9,310.1,397.25
2018-08-21,641.0,152.0,2102.8,339.95,47.4,1976.75,1269.4,84.5,601.75,309.2,394.2
