Date,AXISBANK,BANKBARODA,HDFCBANK,ICICIBANK,IDFCBANK,INDUSINDBK,KOTAKBANK,PNB,RBLBANK,SBIN,YESBANK
2018-08-23,636.15,150.95,2093.2,337.85,47.7,1962.75,1257.65,85.45,600.3,304.75,391.5
2018-08-24,643.95,148.55,2083.5,332.95,47.25,1934.75,1262.95,86.45,614.7,302.7,377.35
2018-08-27,654.3,151.1,2087.85,341.0,47.65,1950.65,1278.25,85.9,639.15,309.2,385.15
2018-08-28,664.95,144.9,2102.4,341.2,47.7,1938.4,1288.25,83.5,638.75,306.8,373.1
2018-08-29,660.95,148.6,2088.2,341.55,48.55,1915.2,1290.2,84.75,643.8,311.55,368.35
2018-08-30,653.05,151.35,2076.25,345.65,48.85,1885.8,1281.7,85.75,632.1,309.5,364.75
2018-08-31,654.4,154.1,2077.55,343.4,47.95,1911.65,1291.35,88.9,631.75,310.6,346.35
2018-09-03,636.65,152.65,2088.9,336.4,48.2,1907.7,1279.4,86.85,629.1,308.05,341.7
2018-09-04,645.1,146.05,2066.85,330.55,45.3,1861.15,1266.1,83.5,612.5,298.3,336.05
2018-09-05,641.75,145.2,2056.75,331.65,45.15,1861.8,1247.25,83.6,597.9,298.65,345.5
2018-09-06,642.1,146.75,2061.45,330.0,45.2,1879.8,1263.1,83.85,595.1,298.15,340.85
2018-09-07,648.3,148.55,2065.6,335.95,46.0,1880.0,1252.3,84.9,612.55,293.5,325.45
2018-09-10,653.95,147.0,2053.4,333.45,44.95,1838.5,1230.8,83.1,600.3,286.55,325.45
2018-09-11,654.05,141.15,2011.45,328.2,44.0,1832.15,1213.6,82.0,603.8,283.95,317.6
2018-09-12,639.3,134.4,2025.45,324.95,43.8,1836.9,1236.15,81.7,601.85,286.9,315.8
2018-09-14,639.65,135.1,2035.6,329.3,45.0,1871.8,1242.35,83.3,614.35,291.55,323.45
2018-09-17,627.45,135.6,2001.4,326.55,44.4,1879.4,1231.65,83.35,598.35,286.5,318.9
2018-09-18,610.4,113.55,1997.35,320.05,44.05,1868.1,1220.2,79.4,597.5,275.15,323.65
2018-09-19,611.3,116.5,1970.8,322.2,43.5,1813.25,1228.75,79.55,591.15,272.75,320.2
