,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Current_STD_Error
0,AXISBANK,BANKBARODA,0.00,2.54,1.27,240.26,2.08
1,HDFCBANK,AXISBANK,0.00,-0.73,1.55,2545.66,-3.09
2,AXISBANK,ICICIBANK,0.00,1.77,1.48,44.33,-0.24
3,AXISBANK,IDFCBANK,0.00,12.57,1.49,56.67,0.44
4,INDUSINDBK,AXISBANK,0.24,-0.16,1.55,2021.35,-2.25
5,KOTAKBANK,AXISBANK,0.00,-0.87,1.55,1819.88,-2.25
6,PNB,AXISBANK,0.00,0.05,1.55,53.64,-1.18
7,RBLBANK,AXISBANK,0.00,0.38,1.55,362.41,-0.17
8,SBIN,AXISBANK,0.00,0.29,1.55,114.21,-1.83
9,YESBANK,AXISBANK,0.12,-0.10,1.55,424.26,-1.74
10,HDFCBANK,BANKBARODA,0.34,-0.49,1.27,2182.09,-2.77
11,ICICIBANK,BANKBARODA,0.00,1.52,1.27,99.88,2.61
12,IDFCBANK,BANKBARODA,0.00,0.19,1.27,16.77,1.82
13,INDUSINDBK,BANKBARODA,0.01,1.25,1.27,1758.60,-1.92
14,KOTAKBANK,BANKBARODA,0.00,-2.14,1.27,1599.87,-2.93
15,PNB,BANKBARODA,0.00,0.23,1.27,50.16,1.17
16,RBLBANK,BANKBARODA,0.00,0.86,1.27,466.97,1.11
17,SBIN,BANKBARODA,0.00,1.22,1.27,119.38,1.77
18,YESBANK,BANKBARODA,0.12,0.35,1.27,316.48,-1.54
19,HDFCBANK,ICICIBANK,0.00,-1.27,1.48,2506.05,-2.92
20,HDFCBANK,IDFCBANK,0.00,-9.41,1.49,2512.26,-3.12
21,INDUSINDBK,HDFCBANK,0.00,0.45,5.14,977.23,-1.17
22,HDFCBANK,KOTAKBANK,0.00,0.82,3.41,1043.65,-2.20
23,HDFCBANK,PNB,0.06,-3.60,2.83,2409.94,-2.82
24,HDFCBANK,RBLBANK,0.00,-1.04,3.21,2722.27,-2.76
25,HDFCBANK,SBIN,0.04,-0.80,2.05,2343.71,-2.87
26,HDFCBANK,YESBANK,0.00,1.59,2.01,1535.16,-1.83
27,IDFCBANK,ICICIBANK,0.00,0.13,1.48,1.70,-0.72
28,INDUSINDBK,ICICIBANK,0.87,0.04,1.48,1917.20,-2.30
29,KOTAKBANK,ICICIBANK,0.00,-1.59,1.48,1795.80,-2.09
30,PNB,ICICIBANK,0.00,0.10,1.48,51.29,-1.45
31,RBLBANK,ICICIBANK,0.00,0.61,1.48,396.96,-0.16
32,SBIN,ICICIBANK,0.00,0.59,1.48,106.10,-2.48
33,YESBANK,ICICIBANK,0.20,-0.15,1.48,410.97,-1.73
34,INDUSINDBK,IDFCBANK,0.89,-0.25,1.49,1939.63,-2.29
35,KOTAKBANK,IDFCBANK,0.00,-10.74,1.49,1760.95,-2.08
36,PNB,IDFCBANK,0.00,0.68,1.49,53.42,-1.12
37,RBLBANK,IDFCBANK,0.00,4.78,1.49,382.66,0.02
38,SBIN,IDFCBANK,0.00,3.96,1.49,119.26,-1.69
39,YESBANK,IDFCBANK,0.23,-1.04,1.49,408.47,-1.77
40,INDUSINDBK,KOTAKBANK,0.15,0.19,3.41,1681.50,-2.04
41,INDUSINDBK,PNB,0.03,3.75,2.83,1621.89,-2.20
42,INDUSINDBK,RBLBANK,0.01,-0.70,3.21,2338.18,-2.35
43,INDUSINDBK,SBIN,0.01,0.93,2.05,1663.14,-2.17
44,INDUSINDBK,YESBANK,0.00,1.24,2.01,1477.67,-1.51
45,KOTAKBANK,PNB,0.00,-7.97,2.83,1960.52,-2.35
46,KOTAKBANK,RBLBANK,0.00,-1.21,3.21,2014.40,-1.65
47,KOTAKBANK,SBIN,0.00,-1.84,2.05,1834.02,-2.69
48,KOTAKBANK,YESBANK,0.00,0.84,2.01,998.97,-0.85
49,RBLBANK,PNB,0.00,3.06,2.83,333.67,0.63
50,PNB,SBIN,0.00,0.18,2.05,30.89,0.02
51,PNB,YESBANK,0.90,0.00,2.01,81.02,-0.60
52,RBLBANK,SBIN,0.00,0.74,2.05,373.59,0.81
53,RBLBANK,YESBANK,0.21,-0.17,2.01,646.95,-0.06
54,SBIN,YESBANK,0.27,0.12,2.01,244.73,-0.48
