Time,Open,High,Low,Last,Change,Volume,"Open Interest"
09/07/18,26003,26038,25833,25951,-74,205059,0
09/06/18,25990,26100,25894,26025,52,201868,106696
09/05/18,26000,26026,25841,25973,-12,173923,105352
09/04/18,26021,26080,25817,25985,-3,180653,104845
08/31/18,25974,26049,25896,25988,-22,133440,105258
08/30/18,26155,26168,25946,26010,-137,141399,104905
08/29/18,26092,26185,26050,26147,62,104664,103830
08/28/18,26079,26156,26044,26085,8,110164,103928
08/27/18,25809,26089,25805,26077,285,108051,103486
08/24/18,25682,25828,25653,25792,121,111236,101592
08/23/18,25731,25767,25607,25671,-46,127109,101114
08/22/18,25733,25836,25677,25717,-90,120095,101366
08/21/18,25754,25885,25721,25807,49,106828,101335
08/20/18,25703,25791,25663,25758,84,102528,100311
08/17/18,25578,25731,25506,25674,82,148777,100283
08/16/18,25209,25608,25147,25592,405,170510,101625
08/15/18,25318,25318,24955,25187,-107,222573,94340
08/14/18,25224,25334,25192,25294,79,122398,97055
08/13/18,25333,25371,25141,25215,-116,166859,96849
08/10/18,25478,25490,25215,25331,-162,174863,95012
08/09/18,25505,25603,25459,25493,-43,96582,96592
08/08/18,25620,25632,25501,25536,-64,97164,97460
08/07/18,25473,25661,25460,25600,132,108087,99427
08/06/18,25424,25508,25346,25468,58,96912,96502
08/03/18,25327,25437,25260,25410,105,115235,97006
08/02/18,25313,25332,25087,25305,16,155369,96075
08/01/18,25472,25472,25247,25289,-106,142699,93279
07/31/18,25304,25486,25272,25395,110,148713,92570
07/30/18,25422,25475,25264,25285,-129,152238,94557
07/27/18,25505,25572,25348,25414,-111,194279,95193
07/26/18,25437,25568,25392,25525,122,156245,92820
07/25/18,25216,25451,25088,25403,189,183826,91037
07/24/18,25027,25268,25022,25214,181,183688,89150
07/23/18,25088,25088,24952,25033,3,114420,88855
07/20/18,25057,25110,24912,25030,-29,141062,90100
07/19/18,25164,25209,25034,25059,-102,141010,85577
07/18/18,25118,25197,25081,25161,55,108762,85785
07/17/18,25056,25141,24971,25106,65,139246,85814
07/16/18,25025,25090,24962,25041,37,108198,85615
07/13/18,24903,25028,24869,25004,110,140813,84409
07/12/18,24710,24927,24680,24894,205,168031,83127
07/11/18,24752,24805,24611,24689,-238,220425,81870
07/10/18,24780,24937,24745,24927,153,160488,84162
07/09/18,24457,24791,24453,24774,318,142170,83282
07/06/18,24319,24507,24241,24456,113,168009,82768
07/05/18,24160,24364,24114,24343,180,203143,82096
07/03/18,24298,24445,24128,24163,-123,134117,83311
07/02/18,24274,24324,24026,24286,21,199515,84600
06/29/18,24247,24496,24207,24265,45,207549,84518
06/28/18,24144,24295,23978,24220,85,263092,86700
06/27/18,24279,24564,24079,24135,-168,311825,88372
06/26/18,24283,24375,24216,24303,24,197417,86243
06/25/18,24599,24615,24077,24279,-320,310488,87817
06/22/18,24457,24664,24445,24599,127,156310,85338
06/21/18,24673,24795,24403,24472,-198,237197,86838
06/20/18,24715,24858,24632,24670,-45,181063,86037
06/19/18,25001,25017,24569,24715,-301,268359,86132
06/18/18,25074,25148,24839,25016,-93,163171,84489
06/15/18,25218,25219,24908,25109,-101,240917,86546
06/14/18,25207,25353,25149,25210,2,178514,83894
06/13/18,25340,25380,25204,25208,-107,145830,77968
06/12/18,25341,25404,25258,25315,-33,140449,69146
06/11/18,25300,25418,25257,25348,27,145524,55318
06/08/18,25278,25344,25093,25321,37,154649,34933
06/07/18,25175,25341,25137,25284,128,21424,14844
06/06/18,24837,25178,24834,25156,317,8112,5570
06/05/18,24826,24877,24729,24839,21,1066,3701
06/04/18,24639,24885,24608,24818,167,995,3579
06/01/18,24468,24700,24450,24651,212,643,3148
05/31/18,24635,24724,24370,24439,-252,534,3038
05/30/18,24405,24736,24350,24691,291,789,3015
05/29/18,24865,24880,24263,24400,-353,976,2772
05/25/18,24819,24930,24700,24753,-73,428,2823
05/24/18,24880,24886,24612,24826,-57,171,2724
05/23/18,24858,24900,24650,24883,15,426,2713
05/22/18,25020,25085,24825,24868,-156,239,2690
05/21/18,24850,25097,24850,25024,280,249,2606
05/18/18,24762,24819,24693,24744,19,81,2570
05/17/18,24765,24859,24657,24725,-30,326,2564
05/16/18,24677,24788,24636,24755,81,87,2582
05/15/18,24879,24897,24620,24674,-225,416,2572
05/14/18,24860,24972,24853,24899,62,86,2500
05/11/18,24700,24858,24700,24837,131,167,2484
05/10/18,24522,24777,24490,24706,191,291,2464
05/09/18,24314,24546,24288,24515,196,189,2425
05/08/18,24310,24363,24147,24319,6,101,2379
05/07/18,24270,24428,24226,24313,73,156,2379
05/04/18,23913,24282,23736,24240,317,221,2358
05/03/18,23760,23950,23490,23923,86,305,2323
05/02/18,24101,24139,23818,23837,-247,168,2307
05/01/18,24102,24189,23770,24084,-59,233,2308
04/30/18,24334,24463,24118,24143,-148,930,2327
04/27/18,24275,24320,24161,24291,-39,675,2325
04/26/18,24140,24369,24038,24330,236,294,2376
04/25/18,24016,24122,23811,24094,91,287,2349
04/24/18,24483,24614,23818,24003,-430,358,2324
04/23/18,24539,24581,24314,24433,-22,299,2395
04/20/18,24650,24678,24358,24455,-202,338,2400
04/19/18,24783,24799,24537,24657,-96,271,2406
04/18/18,24728,24825,24704,24753,25,183,2415
04/17/18,24582,24847,24581,24728,143,529,2408
04/16/18,24409,24660,24405,24585,226,493,2388
04/13/18,24470,24645,24236,24359,-121,801,2371
04/12/18,24209,24572,24175,24480,293,504,2341
04/11/18,24365,24378,24095,24187,-187,318,2309
04/10/18,24010,24500,23986,24374,334,666,2298
04/09/18,24019,24378,23943,24040,85,275,2256
04/06/18,24390,24522,23730,23955,-541,292,2217
04/05/18,24290,24612,24274,24496,203,1846,2227
04/04/18,23998,24305,23400,24293,281,326,651
04/03/18,23625,24022,23582,24012,429,192,626
04/02/18,24140,24140,23352,23583,-595,210,619
03/29/18,23950,24318,23839,24178,288,241,645
03/28/18,23872,24093,23753,23890,0,204,635
03/27/18,24231,24454,23736,23890,-337,420,648
03/26/18,23597,24258,23597,24227,577,235,490
03/23/18,24009,24136,23545,23650,-358,1002,509
03/22/18,24776,24842,23983,24008,-765,200,293
03/21/18,24830,25044,24713,24773,-39,71,248
03/20/18,24723,24854,24661,24812,73,51,232
03/19/18,24933,24955,24512,24739,-274,294,241
03/16/18,24990,25096,24898,25013,47,56,182
03/15/18,24762,25091,24750,24966,134,40,172
03/14/18,25054,25196,24775,24832,-271,41,168
03/13/18,25313,25432,25041,25103,-181,24,175
03/12/18,25380,25575,25268,25284,-127,56,178
03/09/18,24966,25411,24962,25411,445,19,161
03/08/18,24843,25005,24821,24966,96,9,147
03/07/18,24637,24884,24470,24870,-52,40,143
03/06/18,24980,25096,24816,24922,-30,5,138
03/05/18,24926,24989,24417,24952,344,12,138
03/02/18,24720,24742,24323,24608,-98,29,139
03/01/18,25135,25247,24532,24706,-412,47,146
02/28/18,25480,25648,25117,25118,-379,29,139
02/27/18,25768,25868,25491,25497,-323,33,123
02/26/18,25463,25823,25383,25820,445,27,128
02/23/18,25129,25375,25090,25375,299,12,119
02/22/18,24838,25178,24666,25076,238,4,121
02/21/18,24976,25275,24821,24838,-171,6,121
02/20/18,25150,25374,24961,25009,-283,3,116
"Downloaded from Barchart.com as of 09-07-2018 03:46pm CDT"
