Time,Open,High,Low,Last,Change,Volume
09/07/18,45.14,46.46,44.87,44.9535,0.3035,29847544
09/06/18,48.2,48.45,44.06,44.65,-4.89,94413400
09/05/18,51.39,51.6,49.07,49.54,-2.39,39125000
09/04/18,52.13,52.3,50.715,51.93,-0.59,28975000
08/31/18,52.7,53.23,52.22,52.52,-0.23999999999999,29937200
08/30/18,51.56,53.68,51.4,52.76,0.93,32416600
08/29/18,52.09,52.16,51.3,51.83,-0.51000000000001,31450700
08/28/18,52.42,52.56,51.47,52.34,0.27,26198800
08/27/18,51.35,52.45,51.17,52.07,1.37,29134000
08/24/18,49.92,50.82,49.92,50.7,1,24785500
08/23/18,50.05,50.24,49.4,49.7,-0.54,26831900
08/22/18,50.38,50.65,49.87,50.24,0.3,26740300
08/21/18,48.9,50.37,48.87,49.94,1.87,38572900
08/20/18,47.4,48.61,46.47,48.07,0.96,33022900
08/17/18,46.21,47.36,45.62,47.11,0.009999999999998,34464200
08/16/18,48.2,48.31,46.96,47.1,-0.39,33663000
08/15/18,49.83,49.86,47.14,47.49,-3.13,57746200
08/14/18,51.73,51.77,50.01,50.62,-0.72000000000001,32050100
08/13/18,51.61,52.06,51.275,51.34,-0.029999999999994,24609500
08/10/18,51.25,51.95,51.02,51.37,-0.89,31340700
08/09/18,52.65,52.85,51.93,52.26,-1.13,34538400
08/08/18,52.84,53.53,52.46,53.39,0.35,18074600
08/07/18,52.94,53.44,52.7,53.04,0.37,21918600
08/06/18,52.22,52.81,51.5,52.67,-0.14,28776800
08/03/18,53.3,53.4,52.26,52.81,-0.59,22958900
08/02/18,51.7,53.55,51.38,53.4,1.11,28707900
08/01/18,52.66,53.58,52.17,52.29,-0.5,28199900
07/31/18,53.78,54.22,52.77,52.79,-0.22,29301700
07/30/18,54.19,54.25,52.42,53.01,-0.95,25747800
07/27/18,54.46,54.63,53.11,53.96,0.2,30109700
07/26/18,53.6,54.74,53.45,53.76,0.37,28862400
07/25/18,52.63,54.22,52.3,53.39,0.22,40098700
07/24/18,55,55.4,52.94,53.17,-1.12,39011400
07/23/18,53.51,54.58,52.22,54.29,-0.73,42781400
07/20/18,56.08,56.14,54.83,55.02,-1.2,32624500
07/19/18,57.25,57.555,55.67,56.22,-1.23,39392100
07/18/18,57.25,58.15,56.92,57.45,0.49,33729600
07/17/18,55.83,57.13,55.5,56.96,0.81,24729100
07/16/18,56.6,57.18,56.06,56.15,-0.2,25735100
07/13/18,55.51,56.59,55.32,56.35,0.9,28815900
07/12/18,54.65,55.66,54.35,55.45,1.27,29647700
07/11/18,54.39,55,53.765,54.18,-1.56,38699200
07/10/18,54.66,55.9,54.35,55.74,1.43,34852800
07/09/18,53.8,54.5,53.11,54.31,1.08,32579700
07/06/18,52.54,53.41,51.98,53.23,0.38999999999999,31840900
07/05/18,52.85,53.31,51.94,52.84,1.36,51136400
07/03/18,54.55,54.79,50.1,51.48,-3,52190100
07/02/18,51.52,54.53,51.32,54.48,2.04,38934100
06/29/18,53.69,53.85,52.4,52.44,-0.7,32582200
06/28/18,52,53.305,51.79,53.14,0.88,36878900
06/27/18,55,55.35,52.16,52.26,-2.33,53007500
06/26/18,54.41,54.77,53.61,54.59,1.43,42277100
06/25/18,55.54,55.64,52.41,53.16,-3.94,72196200
06/22/18,60.2,60.41,57.02,57.1,-2.34,63497500
06/21/18,61.46,61.83,59.09,59.44,0.48999999999999,70419904
06/20/18,60.13,61.12,58.8,58.95,-0.3,57497500
06/19/18,57.64,59.46,57.11,59.25,0.8,43486600
06/18/18,57.6,58.6,56.87,58.45,0.22000000000001,36975600
06/15/18,58.53,59.1,57.3,58.23,-0.95,45854000
06/14/18,60.55,60.57,58.67,59.18,-0.87,43421900
06/13/18,60.3,61.27,60.02,60.05,-0.5,33281300
06/12/18,61.84,61.85,59.94,60.55,-0.84,43633300
06/11/18,61.71,62.55,61.07,61.39,0,42251400
06/08/18,58.63,61.6,58.22,61.39,1.76,57144800
06/07/18,59.85,60.27,58.56,59.63,0.21,42264700
06/06/18,59.26,59.59,58.3,59.42,0.010000000000005,36748900
06/05/18,59.8,60.14,58.83,59.41,0.31,41711200
06/04/18,57.43,59.16,56.62,59.1,0.36,64350500
06/01/18,58.81,59.34,56.88,58.74,1.15,74761504
05/31/18,60.25,60.25,57.165,57.59,-4.98,101882096
05/30/18,63.7,64.66,60.92,62.57,-0.049999999999997,84737600
05/29/18,61.36,63.98,61.35,62.62,1.27,75591904
05/25/18,60.85,62.1,60.61,61.35,-0.14,54715900
05/24/18,60.18,61.99,59.56,61.49,1.52,74724896
05/23/18,59.05,60,58.15,59.97,0.94,64066800
05/22/18,59.05,60.5,58.3,59.03,3.55,111262704
05/21/18,56.17,56.47,54.53,55.48,2.09,70858096
05/18/18,53.6,54.65,52.85,53.39,-1.31,46088800
05/17/18,56.01,56.44,53.93,54.7,-1.8,54832100
05/16/18,55.59,56.91,55.48,56.5,2.49,59011900
05/15/18,53.8,54.17,52.69,54.01,1.01,43307300
05/14/18,52.99,53.71,52.86,53,1.18,33376200
05/11/18,52.38,52.8,51.68,51.82,-0.84,27646300
05/10/18,51.8,52.68,51.6,52.66,1.65,37146200
05/09/18,49.06,51.03,48.99,51.01,2.44,36489100
05/08/18,48.53,48.86,47.88,48.57,0.090000000000003,25205500
05/07/18,48.26,49.11,48.11,48.48,0.9,33996900
05/04/18,46.32,47.7,46.14,47.58,0.96,28632100
05/03/18,45.74,46.865,45.33,46.62,0.73,30489600
05/02/18,45.91,46.74,45.68,45.89,-0.9,31640800
05/01/18,45.59,46.865,45.41,46.79,0.81,34154900
04/30/18,47.06,47.69,45.315,45.98,-1.54,54743700
04/27/18,51.11,51.39,47.19,47.52,-2.62,50049800
04/26/18,49.28,50.18,48.83,50.14,2.54,39041300
04/25/18,47.56,48.341,46.075,47.6,0.49,43781100
04/24/18,49.66,50.26,46.44,47.11,-1.91,61915300
04/23/18,50.81,50.88,48.81,49.02,-1.6,43692900
04/20/18,51.5,52.07,50.15,50.62,-0.8,38510700
04/19/18,52.9,54.1,50.98,51.42,-2.59,52634900
04/18/18,51.455,54.27,50.678,54.01,1.75,55393600
04/17/18,51.85,52.7,51.74,52.26,0.61,33325200
04/16/18,52.25,52.48,51.32,51.65,-0.58,30879400
04/13/18,53.4,53.49,51.58,52.23,-0.36000000000001,43598800
04/12/18,51.12,52.92,51.1,52.59,2.11,46656300
04/11/18,50.28,51.8,50.11,50.48,0,38942200
04/10/18,49.25,50.746,48.635,50.48,2.52,50491000
04/09/18,49.13,49.83,47.92,47.96,-0.5,50532800
04/06/18,47.72,50.48,47.26,48.46,-1.38,79392096
04/05/18,52.06,52.2,49.19,49.84,-3.55,89203400
04/04/18,49.62,53.5,49.26,53.39,1.84,60272700
04/03/18,50.8,51.77,50.32,51.55,1.49,52436300
04/02/18,51.54,51.72,49.56,50.06,-2.08,59875500
03/29/18,52.16,52.68,51.14,52.14,0.65,61458700
03/28/18,51.93,53.35,50.7,51.49,-0.91,62987500
03/27/18,55.06,55.47,51.68,52.4,-3.16,67785000
03/26/18,56.26,56.71,52.72,55.56,1.35,70260704
03/23/18,57.69,58.8,53.68,54.21,-4.71,118369400
03/22/18,60.07,60.3,58.11,58.92,-2.15,74274704
03/21/18,61.35,61.72,60.6,61.07,-0.079999999999998,51220100
03/20/18,60.1,61.25,59.8,61.15,1.01,53890400
03/19/18,60.36,60.99,58.75,60.14,-0.44,71373296
03/16/18,60,60.69,59.21,60.58,1.74,69323104
03/15/18,59.77,60.15,58.23,58.84,-0.94,50963600
03/14/18,59.32,60.06,57.56,59.78,0.35,80306896
03/13/18,62.17,63.42,58.52,59.43,0.060000000000002,142315808
03/12/18,56.5,61.17,56.35,59.37,4.78,138651600
03/09/18,55.76,55.83,53.62,54.59,-0.63,65504500
03/08/18,54.58,55.47,54.3,55.22,1.25,51685900
03/07/18,53.34,55,53.125,53.97,0.23,61669900
03/06/18,53.4,54.64,53.21,53.74,1.71,73096304
03/05/18,48.8,52.36,48.72,52.03,2.92,70984000
03/02/18,46.36,49.25,45.95,49.11,1.49,52492900
03/01/18,48.77,48.81,46.77,47.62,-1.19,61278800
02/28/18,48.8,49.46,48.35,48.81,0.23,45031400
02/27/18,47.66,48.99,47.42,48.58,0.6,44731100
02/26/18,46.97,48.23,46.7,47.98,1.45,41966100
02/23/18,45.18,46.8,45.02,46.53,2.28,48476600
02/22/18,44.78,44.83,44.04,44.25,-0.29,24359500
02/21/18,45.37,45.55,44.52,44.54,-0.36,31618700
02/20/18,44.02,45.27,43.9,44.9,0.69,36215800
02/16/18,43.29,45.11,43.13,44.21,0.71,49404500
02/15/18,43.72,43.92,42.26,43.5,0.049999999999997,35072300
02/14/18,41.93,43.63,41.93,43.45,0.82,36765900
02/13/18,42.05,42.92,41.98,42.63,0.44,30296700
02/12/18,41.01,42.68,40.88,42.19,1.78,47941000
02/09/18,41.05,41.19,37.52,40.41,0.41,65189200
02/08/18,42.52,43.03,40,40,-2.01,53794000
02/07/18,43.26,43.56,41.74,42.01,-1.87,51354700
02/06/18,40.55,43.93,40.55,43.88,4.48,66972800
02/05/18,40.14,41.53,39.01,39.4,-1.42,45796800
02/02/18,42,42.21,40.61,40.82,-1.67,40657300
02/01/18,43.04,44.09,42.1,42.49,-1.23,35713500
01/31/18,42.98,43.96,42.77,43.72,2.05,45114600
01/30/18,41.99,42.795,41.47,41.67,-1.62,38861900
01/29/18,43.25,43.42,42.38,43.29,-0.38,29455000
01/26/18,43.22,43.805,43.03,43.67,0.66,27177400
01/25/18,44.23,44.72,42.86,43.01,-0.07,40519200
01/24/18,43.76,43.95,42.74,43.08,-0.87,31305700
01/23/18,43.25,44.66,42.73,43.95,1.07,41334100
01/22/18,42.47,42.88,41.68,42.88,0.13,37879300
01/19/18,43.95,44.2,42.65,42.75,-1.24,41469100
01/18/18,44.21,44.65,43.91,43.99,-0.27,25152000
01/17/18,43.21,44.38,42.98,44.26,1.34,38077000
01/16/18,43.14,43.86,42.42,42.92,0.11,38174700
01/12/18,42.82,43.35,42.675,42.81,-0.009999999999998,28458400
01/11/18,43.52,44,42.62,42.82,-0.49,39402200
01/10/18,41.95,43.37,41.39,43.31,0.34,53347900
01/09/18,45.27,45.55,42.77,42.97,-2.58,62982800
01/08/18,45.31,46.09,44.91,45.55,-0.25,32217300
01/05/18,46.13,46.655,45.375,45.8,-1.08,47381000
01/04/18,45.99,46.98,45.01,46.88,1.9,52229500
01/03/18,44.5,45.05,44.05,44.98,1.31,43376600
01/02/18,41.54,43.715,41.19,43.67,2.55,37097000
12/29/17,41.82,41.84,40.77,41.12,-0.69,44642100
12/28/17,42.83,43.05,41.75,41.81,-0.66999999999999,28999600
12/27/17,42.22,43.07,42.03,42.48,0.23,24175000
12/26/17,43.19,43.2,41.52,42.25,-1.87,41966200
12/22/17,44.18,44.935,43.94,44.12,-0.3,30372500
12/21/17,45.55,45.58,44.35,44.42,-1.33,50486000
12/20/17,46.65,46.8,44.86,45.75,1.77,84338200
12/19/17,44.09,44.34,43.3,43.98,0.27,51048200
12/18/17,43.37,43.73,42.99,43.71,1.31,35075400
12/15/17,42.3,42.56,41.885,42.4,0.16,58721600
12/14/17,42.29,42.73,41.88,42.24,0.19,24582800
12/13/17,42.22,43.1,41.97,42.05,0.19,28565500
12/12/17,42.69,42.85,41.71,41.86,-1.15,28492200
12/11/17,43.42,43.75,42.33,43.01,-0.2,32823900
12/08/17,44.04,44.58,42.87,43.21,0.009999999999998,44717700
12/07/17,42.18,43.23,41.91,43.2,1.62,43188900
12/06/17,40.82,41.74,40.3,41.58,0.37,39735300
12/05/17,39.77,42.05,39.42,41.21,1.31,56540600
12/04/17,41.95,42.29,39.07,39.9,-2.09,73640400
12/01/17,41.73,42.55,40.01,41.99,-0.4,73138496
11/30/17,44.16,44.535,41.86,42.39,-1.35,63895600
11/29/17,47.5,47.6,43.27,43.74,-4.19,81370096
11/28/17,48.45,48.86,47.82,47.93,-0.12,30633200
11/27/17,47.96,48.39,47.09,48.05,-1.63,44469600
11/24/17,49.32,49.88,49.03,49.68,0.54,14203300
11/22/17,49.85,49.89,48.62,49.14,-0.26,28711800
11/21/17,48.36,49.63,48.15,49.4,1.76,35756500
11/20/17,46.51,47.86,46.4,47.64,1.48,26974900
11/17/17,46.54,46.55,45.73,46.16,-0.020000000000003,22613300
11/16/17,45.73,46.29,45.29,46.18,0.82,24192600
11/15/17,45.19,45.74,44.62,45.36,-0.44,22434400
11/14/17,45.58,46,44.8,45.8,0.2,29899200
11/13/17,44.5,45.87,44.19,45.6,0.82,30522300
11/10/17,43.76,44.845,43.71,44.78,1.28,33840700
11/09/17,43.69,43.69,42.58,43.5,-0.59,32501000
11/08/17,43.85,44.14,43.45,44.09,0.14,19519500
11/07/17,43.58,44.24,43.33,43.95,0.7,32422800
11/06/17,43.85,44.01,42.45,43.25,-0.46,28840900
11/03/17,44.77,45,43.35,43.71,-0.63,27694500
11/02/17,44.08,44.75,43.72,44.34,-0.039999999999999,25812900
11/01/17,44.79,45.33,43.78,44.38,0.07,38842900
10/31/17,42.25,44.57,42.2,44.31,2.66,61972200
10/30/17,40.73,41.86,40.68,41.65,0.8,29119500
10/27/17,40.59,40.94,40.04,40.85,0.25,31094600
10/26/17,41.17,41.18,40.31,40.6,-0.46,27453400
10/25/17,41.31,41.59,40.31,41.06,-0.54,31061000
10/24/17,41.74,42.01,41.43,41.6,0.039999999999999,26299300
10/23/17,41.85,42.19,41.4,41.56,0.060000000000002,26844100
10/20/17,42,42.17,41.44,41.5,0.19,36293700
10/19/17,41.18,41.5,39.8,41.31,-0.34,47675900
10/18/17,41.04,41.95,40.81,41.65,1.26,43528000
10/17/17,41.14,41.4,40.25,40.39,-1.1,41233700
10/16/17,40.88,41.57,40.515,41.49,1.09,33696700
10/13/17,40.78,41.17,40.32,40.4,-0.18,35371100
10/12/17,41.21,41.75,40.29,40.58,-1.03,66789700
10/11/17,40.84,42.07,40.8,41.61,-0.37,53023600
10/10/17,41.45,42,40.455,41.98,1.02,48214100
10/09/17,39.72,40.99,39.62,40.96,1.29,27279200
10/06/17,39,39.67,38.81,39.67,0.3,25150300
10/05/17,39.8,39.86,39.25,39.37,-0.19,22501000
10/04/17,40.14,40.43,38.91,39.56,-0.81,37908400
10/03/17,39.93,40.54,39.85,40.37,0.36,27322300
10/02/17,39.6,40.37,39.36,40.01,0.68,54244800
09/29/17,37.98,39.36,37.81,39.33,1.37,48711400
09/28/17,37.15,38.46,36.82,37.96,0.87,52569800
09/27/17,36.26,37.15,35.92,37.09,2.91,84593800
09/26/17,35.23,35.37,34.09,34.18,-0.69,55112500
09/25/17,36.04,36.15,34.54,34.87,-1.2,35607200
09/22/17,35.6,36.22,35.6,36.07,0.16,21559700
09/21/17,35.93,36.25,35.4,35.91,-0.060000000000002,22464900
09/20/17,36.03,36.6,35.34,35.97,0.019999999999996,42243000
09/19/17,35.5,36.1,35.5,35.95,0.52,26392100
09/18/17,35.13,35.8,35.02,35.43,0.78,41330100
09/15/17,34.64,35,34.38,34.65,0.07,37417200
09/14/17,34.43,34.85,34.3,34.58,-0.010000000000005,23007000
09/13/17,34.56,34.8,34.02,34.59,0.3,41588000
