Time,Open,High,Low,Close,Change,Volume,Open Interest
09/05/18,69.43,69.59,68.56,68.72,-1.15,537722,0
09/04/18,69.89,71.4,69.08,69.87,0.070000000000007,785981,408792
08/31/18,70.06,70.36,69.64,69.8,-0.45,419739,412237
08/30/18,69.71,70.5,69.55,70.25,0.73999999999999,445584,413062
08/29/18,68.54,69.76,68.37,69.51,0.98,497095,412879
08/28/18,68.93,69.2,68.21,68.53,-0.34,426833,404963
08/27/18,68.57,68.97,68.34,68.87,0.15000000000001,332612,404447
08/24/18,67.9,69.31,67.78,68.72,0.89,517796,412703
08/23/18,68.07,68.12,67.32,67.83,-0.030000000000001,450690,410828
08/22/18,66.08,68.15,65.98,67.86,2.02,581899,415834
08/21/18,65.44,66.49,65.31,65.84,0.42,437164,413948
08/20/18,65.21,65.62,64.85,65.42,0.21000000000001,496524,405245
08/17/18,64.85,65.76,64.69,65.21,0.33,309208,394495
08/16/18,64.35,64.95,63.89,64.88,0.42,233783,386033
08/15/18,65.92,66.22,63.93,64.46,-1.87,291030,373594
08/14/18,66.75,67.72,65.9,66.33,-0.23999999999999,170899,371051
08/13/18,67.07,67.19,65.09,66.57,-0.37,204723,350548
08/10/18,66.06,67.17,65.49,66.94,0.8,174039,328115
08/09/18,65.95,66.75,65.87,66.14,-0.11,163998,305654
08/08/18,68.26,68.55,65.64,66.25,-2.08,226327,286884
08/07/18,67.89,68.86,67.77,68.33,0.39,145594,290023
08/06/18,67.55,68.73,67.38,67.94,0.59,119008,279436
08/03/18,67.69,67.94,66.68,67.35,-0.31,80141,267125
08/02/18,66.63,68.05,65.82,67.66,1.16,106913,262673
08/01/18,67.34,67.47,66.19,66.5,-1.13,123656,255517
07/31/18,68.83,68.95,66.97,67.63,-1.32,106270,249560
07/30/18,67.86,69.19,67.81,68.95,1.22,95958,246544
07/27/18,68.43,68.63,67.38,67.73,-0.7,96056,240152
07/26/18,68.05,68.64,67.73,68.43,0.42,78387,240725
07/25/18,67.43,68.23,66.97,68.01,0.82000000000001,108406,243326
07/24/18,66.68,67.64,66.44,67.19,0.44,80643,241280
07/23/18,66.59,67.64,66.26,66.75,0.11,104679,245882
07/20/18,66.23,67.08,66.02,66.64,0.11,80631,242432
07/19/18,66.48,67.21,65.32,66.53,0.15000000000001,121256,240557
07/18/18,65.51,66.6,65.2,66.38,0.53999999999999,89622,240524
07/17/18,65.69,66.33,65.25,65.84,0.18000000000001,105869,242709
