Time,Open,High,Low,Last,Change,Volume,"Open Interest"
02/06/18,1363.2,1369.8,1344.3,1351,-7.2,2278,35682
02/05/18,1356,1364.7,1354.8,1358.2,-1,374,34752
02/02/18,1374.6,1374.6,1352.7,1359.2,-10.4,930,34722
02/01/18,1371.7,1375.8,1362.4,1369.6,4.5,402,34367
01/31/18,1363.3,1371.9,1357.8,1365.1,3.3,669,34385
01/30/18,1367,1373.3,1359.6,1361.8,-5.1000000000001,939,34372
01/29/18,1375.5,1378.2,1362.9,1366.9,-12.4,1254,34281
01/26/18,1373.2,1382.4,1372.6,1379.3,-11.1,885,33911
01/25/18,1386.6,1392.3,1369.4,1390.4,6.8000000000002,2079,33636
01/24/18,1368,1387.1,1366.3,1383.6,20.4,9280,33382
01/23/18,1362.6,1367.7,1357.6,1363.2,4.3,3159,27805
01/22/18,1360.8,1361.8,1355,1358.9,-0.69999999999982,1997,28017
01/19/18,1353.7,1361.6,1353.7,1359.6,6.6999999999998,525,28230
01/18/18,1355,1357.5,1351,1352.9,-12.3,470,28164
01/17/18,1367,1367,1353.6,1365.2,2.2,776,28199
01/16/18,1363.5,1370.3,1358.2,1363,2,1374,28064
01/12/18,1351.9,1365.5,1350.8,1361,13.7,1669,27959
01/11/18,1344.3,1348.9,1343.1,1347.3,3.2,1371,27733
01/10/18,1335.6,1350.6,1333.3,1344.1,6,2417,27308
01/09/18,1342.7,1344.7,1333.8,1338.1,-6.7,2800,27054
01/08/18,1346,1346.9,1340,1344.8,-1.7,1710,26503
01/05/18,1347.2,1347.9,1339.8,1346.5,0.90000000000009,1272,26211
01/04/18,1336.6,1350,1331.5,1345.6,2.8,1976,26103
01/03/18,1345.7,1345.7,1333.5,1342.8,2.7,1640,25845
01/02/18,1333.2,1342.5,1330.2,1340.1,7.1999999999998,1370,25831
12/29/17,1319.7,1333.5,1319.7,1332.9,12.5,382,26045
12/28/17,1318.1,1320.4,1315.2,1320.4,6.3000000000002,2422,26031
12/27/17,1309.8,1315.2,1309.6,1314.1,3.8,183,25504
12/26/17,1302,1310.7,1302,1310.3,8.8,99,25449
12/22/17,1294.5,1303,1293.9,1301.5,8.3,457,25479
12/21/17,1292.4,1294.9,1289.8,1293.2,1,716,25512
12/20/17,1289.7,1293.5,1288.1,1292.2,5.6000000000001,472,26031
12/19/17,1287,1288.8,1285,1286.6,-1.1000000000001,744,25828
12/18/17,1279.7,1288.3,1279.7,1287.7,8.1000000000001,354,25823
12/15/17,1278.4,1286.1,1278.3,1279.6,0.19999999999982,644,25877
12/14/17,1278.9,1282.1,1275,1279.4,8.6000000000001,1474,25771
12/13/17,1267.4,1280.5,1265.9,1270.8,6.8,7995,25750
12/12/17,1266.8,1268.6,1260.8,1264,-5.0999999999999,3561,17977
12/11/17,1272.9,1275,1265,1269.1,-1.4000000000001,465,15771
12/08/17,1272.4,1276.1,1269,1270.5,-4.5999999999999,639,15563
12/07/17,1286,1286,1267.9,1275.1,-13.2,1617,15196
12/06/17,1290.6,1293.4,1288.1,1288.3,1.0999999999999,420,14912
12/05/17,1301.1,1301.6,1286,1287.2,-12.9,2431,14828
12/04/17,1300,1302.4,1297.4,1300.1,-4.7,175,13664
