,AAPL,AMD,MU,NVDA,PEP,COKE
155,171.51,12.95,43.67,243.33,121.76,206.94
156,171.11,12.41,43.01,236.35,120.9,204.43
157,174.22,12.71,43.08,235.8,121.14,205.51
158,177.04,12.94,43.95,238.91,121.3,206.36
159,177.0,12.65,42.88,233.69,121.51,205.99
160,178.46,12.59,42.75,230.11,120.17,207.27
161,179.26,12.47,43.99,224.44,119.05,202.96
162,179.1,12.18,44.26,224.72,119.18,204.25
163,176.19,11.91,42.92,220.11,117.86,201.69
164,177.09,12.02,42.81,222.98,117.38,200.51
165,175.28,12.14,42.82,224.08,116.88,203.96
166,174.29,11.96,43.31,223.68,117.48,205.18
167,174.33,11.82,42.97,221.94,118.08,205.5
168,174.35,12.28,45.55,222.0,117.99,208.95
169,175.0,11.88,45.8,215.4,118.67,202.0
170,173.03,12.12,46.88,213.59,118.33,205.51
171,172.23,11.55,44.98,212.47,117.75,209.0
172,172.26,10.98,43.67,199.35,118.06,211.28
173,169.23,10.28,41.12,193.5,119.92,215.26
174,171.08,10.55,41.81,197.4,119.35,216.83
175,170.6,10.53,42.48,197.17,119.3,219.52
176,170.57,10.46,42.25,197.44,118.89,218.66
177,175.01,10.54,44.12,195.27,118.6,221.97
178,175.01,10.89,44.42,195.89,118.26,224.06
179,174.35,10.98,45.75,196.8,119.02,222.57
180,174.54,10.95,43.98,196.11,118.61,222.34
181,176.42,10.98,43.71,197.9,118.05,224.61
182,173.97,10.29,42.4,191.56,119.22,226.39
183,172.22,10.13,42.24,186.47,118.02,216.8
184,172.27,10.11,42.05,186.18,117.8,218.54
185,171.7,9.9,41.86,190.84,117.4,223.23
186,172.67,10.16,43.01,194.66,117.39,227.52
187,169.37,9.94,43.21,191.49,116.57,224.97
188,169.32,10.04,43.2,191.99,116.73,225.2
189,169.01,10.0,41.58,189.26,118.9,218.88
190,169.64,9.91,41.21,187.74,117.59,211.6
191,169.8,10.03,39.9,186.66,117.46,212.69
192,171.05,10.73,41.99,197.68,116.78,216.93
193,171.85,10.89,42.39,200.71,116.52,215.71
194,169.48,10.83,43.74,196.42,116.84,211.44
195,173.07,11.17,47.93,210.71,116.77,207.05
196,174.09,11.55,48.05,214.14,115.85,205.51
197,174.97,11.38,49.68,216.96,115.9,204.55
198,174.96,11.37,49.14,214.93,115.08,204.55
199,173.14,11.4,49.4,216.05,116.05,207.42
200,169.98,11.34,47.64,214.08,114.91,204.26
201,170.15,11.38,46.16,211.36,114.68,202.74
202,171.1,11.25,46.18,211.61,115.23,204.42
203,169.08,11.07,45.36,209.98,115.1,199.88
204,171.34,11.12,45.8,214.18,115.76,204.15
205,173.97,11.09,45.6,212.63,114.04,202.12
206,174.67,11.26,44.78,216.14,112.75,195.87
207,175.88,11.12,43.5,205.32,111.48,198.005
208,176.24,11.71,44.09,209.16,112.0,206.26
209,174.81,12.05,43.95,212.03,110.47,223.93
210,174.25,11.93,43.25,209.63,109.26,224.26
211,172.5,11.12,43.71,208.69,110.22,224.19
212,168.11,10.85,44.34,205.94,110.05,224.42
213,166.89,10.8,44.38,207.2,110.13,224.7
214,169.04,10.985,44.31,206.81,110.23,225.56
215,166.72,10.89,41.65,203.84,109.65,221.02
216,163.05,11.84,40.85,201.86,110.6,222.57
217,157.41,12.005,40.6,195.69,110.73,223.86
218,156.41,12.33,41.06,193.66,110.07,223.39
219,157.1,14.25,41.6,198.68,110.75,223.8
220,156.17,14.1,41.56,196.62,111.69,224.22
221,156.25,13.81,41.5,196.9,111.61,224.84
222,155.98,13.95,41.31,197.8,112.67,225.74
223,159.76,14.07,41.65,197.58,111.95,226.28
224,160.47,14.16,40.39,197.75,112.19,225.9
225,159.88,14.26,41.49,197.93,113.57,227.1
226,156.99,14.22,40.4,194.59,112.62,225.3
227,156.0,14.2,40.58,191.03,112.45,225.51
228,156.55,13.88,41.61,190.94,111.51,226.37
229,155.9,13.7,41.98,188.93,110.78,223.32
230,155.84,13.47,40.96,185.39,110.01,220.6
231,155.3,13.23,39.67,181.3,110.4,218.91
232,155.39,13.34,39.37,180.77,110.45,221.53
233,153.48,13.31,39.56,180.87,109.34,220.45
234,154.48,13.42,40.37,179.37,109.13,219.0
235,153.81,12.71,40.01,179.0,109.12,217.96
236,154.12,12.75,39.33,178.77,111.43,215.75
237,153.28,12.74,37.96,175.68,111.64,215.01
238,154.23,12.74,37.09,175.73,111.1,213.05
239,153.14,12.45,34.18,171.96,111.81,210.25
240,150.55,12.61,34.87,171.0,111.94,210.62
241,151.89,13.3,36.07,179.0,111.85,209.3
242,153.39,13.41,35.91,180.76,112.8,208.77
243,156.07,13.74,35.97,185.84,113.58,209.58
244,158.73,13.12,35.95,187.35,114.49,211.39
245,158.67,13.08,35.43,187.55,114.99,210.89
246,159.88,12.52,34.65,180.11,114.85,208.89
247,158.28,12.26,34.58,169.4,114.19,208.99
248,159.65,12.22,34.59,170.37,114.45,211.18
249,160.86,12.3,34.29,169.61,115.0,212.89
250,161.5,12.55,33.44,169.0,115.69,215.06
251,158.63,12.25,32.45,163.69,115.04,212.29
252,161.26,12.63,32.79,166.58,116.99,212.47
253,161.91,12.86,32.25,165.81,116.35,212.5
254,162.08,12.92,32.07,165.91,115.87,210.75
255,164.05,13.19,32.6,170.46,115.84,212.95
256,164.0,13.0,31.97,169.44,115.73,213.59
257,163.35,12.67,31.61,165.68,115.15,211.67
258,162.91,12.15,31.48,164.7,115.84,209.58
259,161.47,12.23,31.08,164.97,115.54,205.96
260,159.86,12.43,30.29,163.81,115.85,202.64
261,159.27,12.5,30.22,165.19,116.22,208.19
262,159.98,12.48,30.45,165.8,117.29,208.73
263,159.78,12.17,30.45,162.55,117.92,210.07
264,157.21,12.05,29.56,159.15,118.26,205.18
265,157.5,12.37,30.38,161.5,117.6,204.67
266,157.86,12.34,29.62,161.47,118.39,208.22
267,160.95,12.63,30.69,165.15,119.1,213.36
268,161.6,13.02,29.68,166.98,118.97,212.2
269,159.85,12.76,29.24,168.4,117.84,210.54
270,157.48,12.23,28.01,155.96,116.51,208.81
271,155.32,12.12,27.49,164.74,116.38,210.97
272,161.06,12.83,28.58,172.11,116.63,206.835
273,160.08,13.11,28.84,170.3,116.71,242.45
274,158.81,13.43,28.59,172.35,116.96,242.52
275,156.39,13.12,27.92,167.21,116.37,238.8
276,155.57,13.24,27.83,166.48,116.3,238.4
277,157.14,13.37,28.63,164.39,115.61,238.5
278,150.05,13.71,28.34,164.49,115.92,240.08
279,148.73,13.61,28.12,162.51,116.61,240.09
280,149.5,13.95,29.28,164.39,116.61,240.54
281,150.56,14.12,30.24,161.74,117.34,244.04
282,153.46,14.76,29.81,167.26,117.19,241.87
283,152.74,14.11,29.9,165.35,116.45,238.09
284,152.09,14.16,31.67,166.15,116.13,238.33
285,150.27,13.88,32.01,168.1,116.63,240.86
286,150.34,13.8,32.0,167.5,115.51,241.8
287,151.02,13.55,31.82,165.1,115.34,236.4
288,150.08,13.48,31.9,165.96,115.01,234.15
289,149.56,13.8,31.72,164.25,114.93,236.82
290,149.04,13.92,31.79,164.95,114.93,235.55
291,147.77,13.53,31.13,160.63,114.02,229.84
292,145.74,14.29,31.45,162.51,114.77,232.31
293,145.53,13.89,31.37,155.88,113.74,227.49
294,145.06,13.81,30.5,153.7,114.27,226.56
295,144.18,13.36,30.2,146.76,115.51,226.96
296,142.73,13.02,30.1,143.48,115.13,224.54
297,144.09,13.19,30.51,143.05,115.3,224.88
298,143.5,12.15,29.14,139.33,115.44,224.26
299,144.02,12.48,29.86,144.56,115.49,228.87
300,143.68,12.6,31.47,146.68,115.18,230.75
301,145.83,13.23,32.24,151.75,116.38,233.11
302,143.73,13.4,31.66,146.58,115.94,227.37
303,145.82,14.08,32.5,152.15,117.12,233.82
304,146.28,14.17,31.73,153.83,116.96,235.66
305,145.63,14.38,31.89,158.37,116.15,233.05
306,145.87,13.98,32.01,159.47,117.42,234.79
307,145.01,12.64,30.83,157.09,117.95,235.38
308,146.34,11.93,31.2,157.32,117.29,235.89
309,142.27,11.44,29.86,151.62,116.86,234.16
310,144.29,11.5,30.56,152.37,117.21,238.87
311,145.16,11.77,31.06,151.72,117.37,236.22
312,146.59,11.96,31.54,151.4,116.32,231.69
313,145.42,12.09,31.2,149.97,116.23,228.64
314,148.98,12.28,30.6,149.6,115.94,227.06
315,154.99,12.9,32.45,159.94,115.89,228.85
316,155.37,12.38,32.5,149.12,117.05,230.11
317,154.45,12.03,31.57,147.34,117.7,226.41
318,153.93,11.24,31.21,148.01,117.88,225.91
319,155.45,10.9,31.21,143.64,117.67,231.75
320,153.18,10.93,30.76,144.36,117.23,231.21
321,152.76,11.19,30.77,144.35,116.87,227.74
322,153.67,11.12,30.7,144.87,118.01,227.41
323,153.61,11.0,29.76,141.84,117.91,225.67
324,153.87,10.98,29.43,138.26,117.53,223.06
325,153.34,10.89,28.99,138.57,116.06,225.25
326,153.8,10.89,28.29,137.03,115.05,215.11
327,153.99,11.04,28.06,138.9,114.7,214.42
328,153.06,11.41,27.82,136.0,113.69,204.42
329,152.54,11.27,27.48,133.07,114.03,201.56
330,150.25,11.2,27.0,127.72,113.74,199.82
331,155.47,12.75,29.02,136.81,113.79,200.11
332,155.7,11.42,28.83,134.31,113.94,199.3
333,156.1,11.26,28.93,127.89,112.91,199.93
334,153.95,11.07,29.03,126.5,113.04,203.67
335,153.26,10.79,29.32,121.29,112.84,204.57
336,153.99,10.18,28.81,102.94,112.72,203.15
337,153.01,10.04,28.06,102.77,113.22,205.0
338,148.96,10.19,28.2,103.86,113.22,205.74
339,146.53,10.1,27.79,103.85,112.96,205.15
340,147.06,10.39,28.0,104.25,111.79,204.19
341,147.51,10.32,27.77,103.48,112.29,207.0
342,146.58,13.62,28.29,106.64,112.28,209.65
343,143.65,13.3,27.67,104.3,113.28,211.86
344,143.79,13.62,27.63,105.64,112.64,209.92
345,143.68,13.41,26.79,104.02,113.33,208.35
346,144.53,13.49,26.99,104.74,114.16,207.29
347,143.64,13.13,26.57,102.95,114.32,209.1
348,142.27,13.0,27.32,101.68,113.43,204.9
349,142.44,13.11,27.96,101.26,113.59,209.82
350,140.68,12.84,27.26,99.68,113.62,208.23
351,141.2,12.95,27.14,99.29,114.28,207.39
352,141.83,12.79,27.13,99.23,113.32,207.45
353,141.05,12.31,26.74,95.49,112.68,202.18
354,141.8,12.76,26.69,97.31,113.61,202.51
355,141.63,13.1,27.18,98.12,111.73,203.91
356,143.17,13.1,27.64,97.77,112.02,204.34
357,143.34,13.52,28.52,100.33,111.61,199.21
358,143.66,13.27,28.62,100.76,111.58,198.67
359,144.02,14.17,28.26,100.03,111.94,199.67
360,144.77,14.16,28.59,100.78,112.08,202.02
361,143.7,14.64,28.64,108.38,111.86,199.31
362,143.66,14.55,28.9,108.93,111.86,206.02
363,143.93,14.05,28.97,109.4,112.18,203.75
364,144.12,13.71,28.5,107.34,112.43,202.26
365,143.8,13.69,28.69,107.69,112.45,202.0
366,140.88,13.7,28.76,108.25,111.83,199.38
367,140.64,13.7,28.43,107.47,112.12,197.28
368,140.92,13.79,26.47,107.09,111.78,198.52
369,141.42,14.1,26.06,108.07,112.02,195.83
370,139.84,13.82,25.52,105.91,111.77,195.0
371,141.46,14.4,26.21,109.45,111.15,195.23
372,139.99,13.49,25.8,106.07,111.39,194.03
373,140.69,13.65,26.04,103.81,111.14,192.38
374,140.46,13.98,26.12,102.55,111.11,189.04
375,138.99,14.1,25.58,101.78,109.34,186.5
376,139.2,14.28,25.7,101.85,109.41,171.22
377,139.14,13.91,25.18,99.12,109.59,171.74
378,138.68,13.33,25.15,98.54,109.02,173.0
379,139.0,13.22,25.38,98.56,109.3,174.35
380,139.52,13.05,25.64,98.74,109.32,174.55
381,139.34,13.04,25.71,97.67,109.63,173.41
382,139.78,13.03,25.57,98.43,110.56,174.29
383,138.96,13.9,24.7,99.0,110.11,174.02
384,139.79,14.96,24.55,102.79,109.73,174.51
385,136.99,14.46,23.44,101.48,110.38,172.07
386,136.93,15.2,23.76,104.41,109.27,176.4
387,136.66,14.12,23.24,101.46,109.83,177.32
388,136.53,14.32,23.48,100.49,109.54,180.84
389,137.11,14.28,23.75,110.76,109.41,180.57
390,136.7,14.0,23.77,111.07,109.36,181.09
391,135.72,13.13,23.35,107.23,108.15,177.06
392,135.35,12.97,22.98,107.25,108.12,175.09
393,135.51,13.3,23.02,109.0,106.73,174.44
394,135.02,13.26,23.12,108.78,106.92,174.28
395,133.29,13.49,23.9,108.38,106.52,176.5
396,132.12,13.58,24.05,113.62,106.1,177.0
397,132.42,13.42,24.45,116.38,105.97,176.4
398,132.04,13.56,24.21,118.61,105.69,172.99
399,131.53,13.29,24.6,119.13,105.61,172.34
400,130.29,13.63,24.34,117.31,104.57,171.29
401,129.08,12.24,24.6,114.38,105.11,171.16
402,128.53,12.28,24.79,115.39,104.03,169.32
403,128.75,12.06,24.75,113.95,103.01,168.22
404,121.35,10.37,24.11,109.18,103.78,168.84
405,121.63,10.61,24.18,110.02,103.69,164.5
406,121.95,10.67,23.97,111.77,103.48,165.91
407,121.94,10.52,23.52,109.65,104.14,166.49
408,121.88,10.35,23.56,107.79,104.61,169.35
409,119.97,10.44,22.85,107.33,104.71,169.6
410,120.08,9.91,21.89,105.09,104.01,167.69
411,120.0,9.75,21.96,104.01,103.24,166.64
412,119.78,9.77,21.71,105.16,102.36,166.41
413,119.99,9.88,22.32,102.95,102.74,168.0
414,120.0,9.82,21.74,101.11,102.19,166.71
415,119.04,10.58,22.18,103.43,101.55,170.1
416,119.25,10.76,22.31,103.44,101.84,169.3
417,119.75,11.2,22.79,105.16,101.81,170.92
418,119.11,11.44,22.48,106.47,101.97,171.73
419,118.99,11.49,22.34,107.28,103.46,173.17
420,117.91,11.32,22.04,103.1,104.56,177.21
421,116.61,11.24,22.11,101.74,104.71,179.3
422,116.02,11.43,22.36,104.39,104.85,179.96
423,116.15,11.43,22.55,102.01,104.65,179.7
424,115.82,11.34,21.92,106.74,104.63,178.85
425,116.73,11.59,22.27,111.43,104.99,179.05
