,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Current_STD_Error
0,AAPL,Unnamed: 0,0.00,-0.18447673370838105,0.08957759133407915,202.67739206412816,0.61
1,AMD,Unnamed: 0,0.00,-0.014520235893473695,0.08957759133407915,16.050343346693396,-1.04
2,MU,Unnamed: 0,0.00,-0.0875387972571649,0.08957759133407914,58.567548292585194,0.67
3,NVDA,Unnamed: 0,0.00,-0.4375788154622501,0.08957759133407914,281.01522124248487,-0.03
4,PEP,Unnamed: 0,0.00,-0.006936867469879599,0.08957759133407915,112.37216977955917,-0.62
5,COKE,Unnamed: 0,0.01,0.026503036434314606,0.08957759133407915,178.536034509018,-1.43
6,AAPL,AMD,0.00,5.751478231088601,0.16989456986119592,85.22417735298149,-0.22
7,AAPL,MU,0.00,1.9058689913532791,0.13326583241501355,86.66314350928305,-0.37
8,AAPL,NVDA,0.00,0.4008242633136804,0.1279549389952123,87.77762571727459,0.26
9,PEP,AAPL,0.00,0.0594469464025595,0.25767146317402495,101.32701576333153,-0.51
10,COKE,AAPL,0.38,-0.04575527276406995,0.25767146317402495,192.30709490407344,-1.27
11,AMD,MU,0.00,0.12877273983726756,0.13326583241501355,7.699781030481941,-1.33
12,AMD,NVDA,0.00,0.030131789075860976,0.1279549389952123,7.250386345955309,-1.12
13,PEP,AMD,0.00,0.4179411439915695,0.1698945698611959,105.44787331587077,-0.46
14,COKE,AMD,0.97,0.015048751154762563,0.1698945698611959,184.94816230094006,-1.21
15,MU,NVDA,0.00,0.19563659129177288,0.1279549389952123,3.109528332320962,0.55
16,PEP,MU,0.05,0.037555111642961186,0.13326583241501352,109.26397376149336,-0.79
17,COKE,MU,0.00,-0.41181957563930954,0.13326583241501358,200.2780560709825,-1.48
18,PEP,NVDA,0.00,0.015013714514485615,0.1279549389952123,108.06165864342077,-0.64
19,COKE,NVDA,0.09,-0.03727529673326729,0.1279549389952123,191.54880717209468,-1.34
20,PEP,COKE,0.00,0.12159452943914359,0.2631339773515485,88.1334512387636,-0.11
