,cbx18,clv18,clx18
0,76.5,67.77,67.52
1,77.27,68.72,68.42
2,78.17,69.87,69.56
3,78.15,69.8,69.37
4,77.64,70.25,69.81
5,78.02,69.51,69.17
6,77.46,68.53,68.22
7,76.29,68.87,68.54
8,76.5,68.72,68.36
9,76.13,67.83,67.53
10,75.09,67.86,67.51
11,75.07,65.84,65.49
12,72.91,65.42,65.1
13,72.57,65.21,64.94
14,72.07,64.88,64.66
15,71.75,64.46,64.24
16,71.1,66.33,66.0
17,72.78,66.57,66.21
18,72.92,66.94,66.54
19,73.11,66.14,65.78
20,72.39,66.25,65.87
21,72.64,68.33,67.96
22,74.99,67.94,67.48
23,74.07,67.35,66.93
24,73.53,67.66,67.18
25,73.68,66.5,66.11
26,72.67,67.63,67.27
27,74.39,68.95,68.51
28,75.75,67.73,67.36
29,74.98,68.43,68.0
30,75.38,68.01,67.59
31,74.7,67.19,66.77
32,74.05,66.75,66.43
33,73.58,66.64,66.18
34,73.22,66.53,65.99
35,72.74,66.38,65.89
36,73.01,65.84,65.27
37,72.3,65.66,65.11
38,71.85,68.55,68.01
39,75.23,68.07,67.44
40,74.46,67.1,66.33
41,73.31,70.62,69.88
42,78.4,69.85,69.22
43,77.66,69.14,68.5
44,76.72,68.46,67.96
45,76.83,68.84,68.06
46,77.57,69.3,68.51
47,77.09,70.92,70.16
48,76.69,70.34,69.51
49,78.53,69.96,69.22
50,77.05,68.16,67.59
51,76.9,66.18,65.79
52,75.56,66.79,66.34
53,73.94,64.19,63.84
54,74.63,64.72,64.45
55,72.15,64.13,63.94
56,73.56,64.81,64.56
57,73.83,63.94,63.74
58,74.21,65.79,65.54
59,72.38,65.84,65.67
60,74.9,65.58,65.37
61,75.83,65.36,65.17
62,75.03,65.06,64.91
63,75.53,65.3,65.14
64,75.58,64.27,64.13
65,76.28,64.95,64.73
66,74.28,64.26,64.1
67,74.6,65.23,65.01
68,74.66,66.11,65.8
69,75.92,67.18,66.8
70,76.53,65.87,65.53
71,76.64,67.06,66.72
72,74.58,69.69,69.23
73,74.31,70.82,70.34
74,75.4,71.03,70.52
75,77.7,70.96,70.42
76,78.61,70.08,69.57
77,78.36,70.35,69.86
78,78.01,70.45,69.99
79,77.39,70.23,69.78
80,78.02,70.04,69.63
81,77.86,69.66,69.24
82,76.99,70.13,69.67
83,76.51,69.73,69.22
84,75.62,67.67,67.18
85,75.84,69.21,68.69
86,75.4,68.05,67.52
87,73.04,66.64,66.12
88,74.33,66.23,65.69
89,73.0,65.79,65.26
90,71.6,67.09,66.54
91,71.4,66.52,65.97
92,71.24,66.64,66.11
93,72.54,66.41,65.87
94,71.66,66.05,65.51
95,71.74,66.83,66.25
96,71.22,66.43,65.85
97,71.0,66.26,65.67
98,71.85,66.2,65.59
99,71.22,64.65,64.15
100,70.98,64.35,63.84
101,70.61,65.23,64.67
102,69.0,64.8,64.25
103,68.82,64.77,64.24
104,69.74,63.6,63.08
105,69.22,62.08,61.68
106,69.41,60.87,60.5
107,68.31,62.12,61.69
108,66.38,61.74,61.29
109,65.09,61.78,61.33
110,66.3,61.24,60.77
111,65.91,62.92,62.4
112,66.01,62.54,62.05
113,65.44,63.3,62.78
114,67.09,63.33,62.79
115,66.67,63.56,63.01
116,67.34,62.3,61.81
117,67.3,62.82,62.28
118,67.62,61.29,60.79
119,66.41,60.19,59.75
120,67.01,60.55,60.11
121,65.18,59.62,59.24
122,64.03,59.49,59.12
123,64.36,59.27,58.91
124,63.46,59.63,59.24
125,63.34,59.95,59.52
126,63.17,58.41,58.01
127,63.33,58.97,58.53
128,63.63,60.18,59.7
129,62.0,60.04,59.58
130,62.6,58.87,58.43
131,63.88,58.42,57.98
132,63.65,59.04,58.56
133,62.46,60.64,60.17
134,61.98,61.38,60.89
135,62.7,61.06,60.56
136,64.53,60.17,59.7
137,65.22,59.3,58.87
138,64.89,59.21,58.75
139,64.0,58.58,58.13
140,63.21,58.12,57.67
141,63.12,58.05,57.65
142,63.23,56.74,56.37
143,62.41,56.59,56.2
144,61.88,56.57,56.17
145,61.91,58.45,58.03
146,60.65,58.87,58.44
147,60.47,60.17,59.71
148,60.53,60.88,60.4
149,62.47,61.77,61.24
150,62.99,62.63,62.1
151,64.21,61.97,61.47
152,65.04,61.78,61.29
153,65.88,62.63,62.12
154,66.96,63.12,62.61
155,66.28,62.74,62.27
156,65.99,62.55,62.07
157,66.77,62.12,61.68
158,67.4,61.42,61.03
159,67.28,61.14,60.77
160,67.15,61.63,61.24
161,66.9,61.6,61.2
162,66.2,61.38,60.98
163,65.92,61.73,61.3
164,66.5,61.25,60.85
165,66.45,61.1,60.7
166,66.29,60.79,60.42
167,67.16,59.99,59.66
168,66.55,59.58,59.24
169,66.04,59.68,59.31
170,66.07,59.45,59.1
171,65.79,58.74,58.42
172,64.97,58.72,58.38
173,64.67,58.3,57.97
174,64.87,58.2,57.88
175,64.68,58.35,58.03
176,63.91,57.25,56.97
177,64.02,56.94,56.65
178,63.6,56.71,56.42
179,63.51,56.32,56.07
180,63.86,55.93,55.67
181,62.48,55.61,55.31
182,62.17,55.5,55.21
183,61.86,54.89,54.62
184,61.43,55.67,55.38
185,60.94,56.55,56.24
186,60.46,56.18,55.89
187,60.49,55.54,55.29
188,59.73,54.92,54.68
189,60.68,56.02,55.73
190,61.79,55.66,55.37
191,61.18,56.26,55.93
192,60.39,55.55,55.25
193,59.63,55.53,55.26
194,60.88,56.15,55.87
195,60.44,56.15,55.88
196,61.18,56.34,56.02
197,60.22,55.79,55.46
198,60.33,55.26,54.93
