Date,ACC,ADANIPORTS,AMBUJACEM,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHEL,BPCL,BHARTIARTL,BOSCHLTD,AUROPHARMA,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ITC,ICICIBANK,IDEA,INDUSINDBK,INFY,KOTAKBANK,LT,LUPIN,M&M,MARUIT,NTPC,ONGC,POWERGRID,INFRATEL,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATAPOWER,TATASTEEL,TECHM,ULTRATECH,EICHERMOT,WIPRO,YESBANK,ZEEL,TATAMTRDVR
2018-02-19,1633.7,393.85,257.55,1120.35,540.55,3030.6,143.85,93.2,456.85,414.35,19427.45,582.95,600.4,305.4,2152.0,463.8,1089.7,914.2,1878.2,3465.7,247.55,1335.9,1814.05,264.1,319.75,82.5,1630.45,1131.75,1056.2,1295.5,814.4,724.65,,162.9,185.3,194.15,329.85,927.0,268.5,561.4,2923.6,368.75,86.1,648.85,572.45,4116.6,27089.5,289.95,312.05,567.95,204.3
2018-02-20,1640.35,394.9,263.7,1126.4,531.7,3049.85,144.8,93.05,453.05,418.1,19398.05,574.8,603.45,310.4,2163.65,465.15,1118.65,907.45,1863.2,3477.45,248.8,1331.8,1811.75,263.25,317.25,84.0,1622.7,1136.95,1045.8,1290.6,815.8,709.0,,164.2,187.0,195.0,334.0,921.1,269.65,559.5,2944.75,369.3,86.4,651.3,574.2,4140.6,26916.4,291.45,308.7,570.75,205.35
2018-02-21,1645.25,395.6,261.7,1127.2,535.8,3012.6,145.9,91.7,447.55,419.65,19160.05,571.0,597.25,310.55,2165.9,466.1,1110.6,942.9,1857.4,3490.75,240.65,1330.6,1824.8,268.2,319.2,83.1,1594.25,1147.4,1055.05,1282.8,813.95,708.4,,162.3,190.15,193.95,338.05,929.35,273.3,525.75,3042.3,364.45,86.35,640.95,595.2,4131.55,27365.75,292.2,312.35,573.1,204.05
2018-02-22,1632.35,404.0,256.9,1118.1,530.25,2974.3,143.4,91.25,427.45,416.1,18889.7,586.85,589.65,311.55,2123.45,466.15,1110.4,941.0,1853.2,3481.2,239.9,1326.45,1819.25,267.1,318.35,81.2,1623.5,1160.75,1072.5,1292.0,800.05,721.95,,160.75,186.1,190.25,333.85,924.35,272.6,541.45,3050.2,358.5,84.9,637.55,602.6,4099.9,26868.5,292.65,316.1,567.05,201.95
2018-02-23,1651.45,406.5,260.2,1101.8,536.65,2986.4,145.55,92.9,429.9,425.55,18920.6,601.9,595.65,310.95,2167.05,458.4,1136.7,955.6,1880.55,3494.7,246.55,1323.15,1824.2,269.05,322.75,82.15,1643.5,1155.65,1080.85,1301.7,807.5,718.65,,163.55,189.8,193.25,340.4,934.25,276.05,569.65,3075.8,360.2,85.75,677.75,621.45,4116.4,26724.4,295.0,323.45,569.95,203.75
2018-02-26,1661.05,415.05,262.95,1104.8,552.3,3008.7,143.75,93.35,433.0,423.15,19119.15,615.05,590.1,314.05,2193.8,463.2,1180.6,946.05,1911.55,3537.85,246.2,1333.3,1843.25,266.55,327.05,82.35,1691.3,1138.6,1105.15,1344.25,821.3,735.4,,162.95,190.35,196.15,344.45,938.7,274.45,555.95,3031.7,372.05,85.9,680.2,612.45,4140.8,27185.95,291.6,326.15,585.45,209.05
2018-02-27,1632.8,410.45,251.4,1110.35,538.4,3034.7,141.45,91.35,426.95,430.5,19017.85,614.4,586.5,309.0,2236.0,457.05,1171.95,949.9,1902.55,3585.5,244.3,1346.35,1828.65,266.4,322.15,84.3,1685.2,1150.2,1093.05,1338.1,826.3,739.8,,165.55,188.5,197.75,344.8,950.5,267.6,544.8,3042.35,372.55,85.65,671.75,610.55,4176.1,27154.65,291.75,327.15,576.5,208.8
2018-02-28,1623.05,408.35,252.35,1117.75,528.75,3020.6,141.95,89.9,429.55,428.55,18687.3,613.9,589.65,309.15,2237.25,457.5,1152.7,940.3,1884.2,3596.7,245.4,1317.75,1808.7,265.05,313.25,83.9,1680.75,1172.6,1090.55,1318.15,819.95,728.35,,163.25,188.3,197.7,346.7,954.55,268.0,535.35,3035.05,369.9,84.5,671.6,612.65,4155.6,27437.75,292.8,322.3,565.35,206.9
2018-03-01,1633.8,406.1,253.15,1118.9,525.75,3020.9,138.3,90.7,441.9,427.75,18707.5,624.1,581.7,312.9,2231.5,454.25,1166.6,942.8,1874.35,3576.9,240.8,1324.25,1814.15,264.0,304.95,83.05,1700.35,1160.75,1095.7,1315.2,803.9,732.55,,163.0,189.7,197.4,345.2,948.4,262.15,535.4,3037.7,370.75,84.3,675.05,611.9,4153.3,27742.35,292.5,321.05,555.4,207.45
2018-03-05,1606.15,403.95,246.1,1105.95,524.55,2943.55,138.8,90.4,434.3,421.45,18348.0,600.75,579.25,305.8,2180.8,443.6,1141.75,932.1,1869.95,3556.45,229.6,1299.75,1789.6,260.25,303.35,82.55,1689.2,1155.9,1100.0,1300.7,790.15,739.6,,163.3,185.55,196.95,339.15,924.1,263.5,548.55,3105.85,352.05,82.15,655.9,630.85,4095.4,27548.35,290.95,312.95,551.85,199.7
