Time,Open,High,Low,Last,Change,Volume,"Open Interest"
02/08/18,58.45,58.5,57.34,58.03,-0.41,6010,71845
02/07/18,60.1,60.17,58.2,58.44,-1.27,7000,73011
02/06/18,59.9,60.17,59.55,59.71,-0.69,7807,73010
02/05/18,60.63,60.94,59.97,60.4,-0.84,9844,73080
02/02/18,62.34,62.34,60.77,61.24,-0.86,17824,74096
02/01/18,61.29,62.27,61.29,62.1,0.63,5103,72278
01/31/18,60.76,61.52,60.66,61.47,0.18,5433,71230
01/30/18,61.79,61.82,60.97,61.29,-0.83,6214,71629
01/29/18,62.57,62.57,61.78,62.12,-0.49,7538,71400
01/26/18,62.14,62.71,62.06,62.61,0.34,16885,70359
01/25/18,62.39,62.66,61.97,62.27,0.2,9954,69637
01/24/18,61.61,62.31,61.38,62.07,0.39,20301,70875
01/23/18,61.33,61.83,61.19,61.68,0.65,4159,68179
01/22/18,60.86,61.37,60.62,61.03,0.26,2333,66675
01/19/18,60.61,61.07,60.47,60.77,-0.47,1778,66516
01/18/18,61.37,61.44,60.86,61.24,0.039999999999999,3868,66827
01/17/18,60.97,61.33,60.66,61.2,0.22000000000001,2522,66115
01/16/18,61.38,61.86,60.72,60.98,-0.32,4885,65924
01/12/18,60.83,61.3,60.4,61.3,0.45,6993,65067
01/11/18,60.58,61.18,60.49,60.85,0.15,8636,65127
01/10/18,60.7,60.75,60.39,60.7,0.28,4141,64157
01/09/18,59.92,60.67,59.67,60.42,0.76000000000001,4887,63687
01/08/18,59.34,59.69,59.32,59.66,0.41999999999999,4326,63035
01/05/18,59.23,59.39,58.88,59.24,-0.07,3030,62825
01/04/18,59.26,59.31,58.98,59.31,0.21,6894,62641
01/03/18,58.37,59.2,58.33,59.1,0.68,13703,61639
01/02/18,58.58,58.58,58.23,58.42,0.039999999999999,1138,59749
12/29/17,58.34,58.58,58.14,58.38,0.41,5757,59497
12/28/17,57.94,58.05,57.72,57.97,0.089999999999996,5267,59053
12/27/17,57.75,57.96,57.6,57.88,-0.15,5743,58768
12/26/17,56.96,58.08,56.96,58.03,1.06,3924,56891
12/22/17,56.48,56.98,56.35,56.97,0.32,1181,54457
12/21/17,56.39,56.65,56.12,56.65,0.23,2420,54338
12/20/17,56.25,56.42,55.98,56.42,0.35,4394,53855
12/19/17,56,56.08,55.77,56.07,0.4,2628,54188
12/18/17,55.61,55.91,55.25,55.67,0.36,5322,54356
12/15/17,55.33,55.45,54.95,55.31,0.1,8752,55430
12/14/17,54.75,55.28,54.49,55.21,0.59,3216,55326
12/13/17,55.65,55.76,54.59,54.62,-0.76000000000001,8123,56234
12/12/17,56.15,56.5,55.21,55.38,-0.86,3393,54785
12/11/17,55.7,56.26,55.69,56.24,0.35,2866,53565
12/08/17,55.2,55.98,55.2,55.89,0.6,2489,53339
12/07/17,54.77,55.32,54.65,55.29,0.61,5229,52825
12/06/17,55.52,55.78,54.63,54.68,-1.05,2114,50667
12/05/17,55.48,55.88,55.23,55.73,0.36,3766,49951
12/04/17,55.59,55.7,55.31,55.37,-0.56,3470,49035
12/01/17,55.43,56.31,55.43,55.93,0.68,7133,50067
11/30/17,55.38,55.73,54.87,55.25,-0.009999999999998,5024,48603
11/29/17,55.38,56,54.86,55.26,-0.61,4186,48691
11/28/17,55.95,55.96,55.6,55.87,-0.010000000000005,3049,48272
11/27/17,55.76,56.03,55.41,55.88,-0.14,5776,47997
11/24/17,55.31,56.02,55.31,56.02,0.56,7487,47021
11/22/17,54.94,55.57,54.94,55.46,0.53,10263,46806
11/21/17,54.87,55.2,54.72,54.93,0.089999999999996,3984,47937
