,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Current_STD_Error
0,nqu18,esu18,nan,,,,nan
1,ymu18,esu18,nan,,,,nan
2,ymu18,nqu18,nan,,,,nan
