Price/Date,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-10-03,2017-10-04,2017-10-05,2017-10-06,2017-10-09,2017-10-10
8062.05,,,,,-,,,,,
8035.0,,,,,A,,,,,
8019.3,,,,,A,,,,,
8018.7,,,,,A,,,,,
8013.05,,,,,A,,,,,
8001.75,,,,K,,,,,,
8001.1,,,,,A,,,,,
8000.0,,,,K,,,,,,
7998.0,,,,K,,,,,,
7997.95,,,,K,,,,,,
7995.45,,,,K,,,,,,
7995.0,,,,AK,,,,,,
7994.95,,,,K,,,,,,
7993.85,,,,K,,,,,,
7993.8,,,,K,,,,,,
7993.7,,,,A,,,,,,
7993.05,,,,K,,,,,,
7993.0,,,,K,,,,,,
7992.75,,,,M,,,,,,
7992.55,,,,J,,,,,,
7992.0,,,,KM,,,,,,
7990.0,,,,K,,,,,,
7989.0,,,,J,,,,,,
7988.0,,,,K,,,,,,
7987.9,,,,M,,,,,,
7987.75,,,,B,,,,,,
7987.5,,,,M,,,,,,
7987.0,,,,K,,,,,,
7986.6,,,,,A,,,,,
7986.15,,,,A,,,,,,
7986.1,,,,K,,,,,,
7986.05,,,,M,,,,,,
7985.0,,,,AM,,,,,,
7984.5,,,,J,,,,,,
7984.1,,,,L,,,,,,
7984.0,,,,JL,,,,,,
7983.35,,,,J,,,,,,
7983.1,,,,,A,,,,,
7983.0,,,,J,,,,,,
7982.85,,,,J,,,,,,
7982.8,,,,J,,,,,,
7982.5,,,,J,,,,,,
7982.05,,,,J,,,,,,
7982.0,,,,J,,,,,,
7981.8,,,,J,,,,,,
7981.35,,,,N,,,,,,
7981.25,,,,L,,,,,,
7981.0,,,,J,,,,,,
7980.55,,,,J,,,,,,
7980.1,,,,J,,,,,,
7980.05,,,,IL,,,,,,
7980.0,,,,IL,,,,,,
7979.9,,,,I,,,,,,
7979.75,,,,M,,,,,,
7979.65,,,,M,,,,,,
7979.6,,,,J,,,,,,
7979.55,,,,J,,,,,,
7979.45,,,,L,,,,,,
7979.25,,,,M,,,,,,
7979.0,,,,I,,,,,,
7978.9,,,,,A,,,,,
7978.6,,,,M,,,,,,
7978.0,,,,,A,,,,,
7977.6,,,,A,,,,,,
7977.2,,,,M,,,,,,
7977.15,,,,J,,,,,,
7977.0,,,,L,,,,,,
7976.7,,,,I,,,,,,
7976.6,,,,M,,,,,,
7976.4,,,,M,,,,,,
7976.05,,,,L,,,,,,
7975.8,,,,J,,,,,,
7975.0,,A,,,,,,,,
7974.9,,,,J,,,,,,
7974.3,,,,J,,,,,,
7974.15,,,,M,,,,,,
7974.0,,,,LM,,,,,,
7973.95,,,,J,,,,,,
7973.9,,,,G,,,,,,
7973.75,,,,J,,,,,,
7973.55,,,,L,,,,,,
7973.45,,,,J,,,,,,
7973.2,,,,A,,,,,,
7973.0,,,,B,,,,,,
7972.8,,,,J,,,,,,
7972.25,,,,B,,,,,,
7972.1,,,,M,,,,,,
7972.05,,,,B,,,,,,
7971.8,,,,BL,,,,,,
7971.4,,,,B,,,,,,
7971.0,,,,B,,,,,,
7970.85,,,,J,,,,,,
7970.6,,,,M,,,,,,
7970.4,,A,,,,,,,,
7970.0,,AB,,ABG,,,,,,
7969.5,,,,G,,,,,,
7969.3,,,,B,,,,,,
7969.15,,,,G,,,,,,
7968.85,,,,B,,,,,,
7968.8,,,,B,,,,,,
7968.5,,,,G,,,,,,
7968.45,,,,I,,,,,,
7968.0,,,,B,,,,,,
7967.75,,,,G,,,,,,
7967.6,,,,G,,,,,,
7967.45,,,,B,,,,,,
7967.3,,,,I,,,,,,
7967.1,,,,G,,,,,,
7966.65,,,,B,,,,,,
7966.45,,,,I,,,,,,
7966.25,,,,G,,,,,,
7966.2,,,,G,,,,,,
7966.1,,,,G,,,,,,
7966.05,,,,G,,,,,,
7965.9,,,,I,,,,,,
7965.7,,,,I,,,,,,
7965.6,,,,I,,,,,,
7965.55,,,,G,,,,,,
7965.5,,,,I,,,,,,
7965.35,,,,GL,,,,,,
7965.25,,,,I,,,,,,
7965.05,,,,G,,,,,,
7965.0,,,,GIL,,,,,,
7964.95,,A,,,,,,,,
7964.85,,,,B,,,,,,
7964.8,,A,,,,,,,,
7964.6,,,,M,,,,,,
7964.55,,,,I,,,,,,
7964.5,,,,M,,,,,,
7964.2,,,,I,,,,,,
7964.1,,,,I,,,,,,
7964.0,,A,,,,,,,,
7963.95,,,,BI,,,,,,
7963.65,,,,I,,,,,,
7963.5,,,,A,,,,,,
7963.25,,,,I,,,,,,
7963.1,,,,I,,,,,,
7963.05,,,,I,,,,,,
7963.0,,,,DGHI*,,,,,,
7962.8,,,,GH,,,,,,
7962.7,A,,,,,,,,,
7962.55,,,,G,,,,,,
7962.5,,,,FG,,,,,,
7962.45,,,,D,,,,,,
7962.2,,,,F,,,,,,
7962.15,,,,H,,,,,,
7962.1,,,,G,,,,,,
7962.05,,,,I,,,,,,
7962.0,,,,H,,,,,,
7961.7,,,,I,,,,,,
7961.5,,,,D,,,,,,
7961.45,,,,B,,,,,,
7961.25,,,,L,,,,,,
7961.1,,,,FGI,,,,,,
7961.0,,A,,GM,,,,,,
7960.9,,,,A,,,,,,
7960.8,,,,F,,,,,,
7960.75,,,,F,,,,,,
7960.65,,,,F,,,,,,
7960.6,,,,H,,,,,,
7960.5,,B,,,,,,,,
7960.45,,,,F,,,,,,
7960.3,,,,H,,,,,,
7960.25,,,,H,,,,,,
7960.2,,,,H,,,,,,
7960.1,,,,AH,,,,,,
7960.05,,,,HI,,,,,,
7960.0,,C,,BFH,,,,,,
7959.9,,,,H,,,,,,
7959.85,,,,FGH,,,,,,
7959.65,,,,F,,,,,,
7959.25,,,,F,,,,,,
7959.15,,,,D,,,,,,
7959.0,,,,F,,,,,,
7958.85,A,,,E,,,,,,
7958.65,,,,H,,,,,,
7958.5,,,,A,,,,,,
7958.3,,,,B,,,,,,
7958.2,,,,E,,,,,,
7958.1,,C,,BFH,,,,,,
7958.05,,,,B,,,,,,
7958.0,,C,,BDF,,,,,,
7957.95,,AC,,,,,,,,
7957.8,,,,F,,,,,,
7957.7,,,,E,,,,,,
7957.65,A,,,,,,,,,
7957.55,,C,,,,,,,,
7957.45,,,,F,,,,,,
7957.3,,B,,B,,,,,,
7957.25,,,,B,,,,,,
7957.0,,C,,H,,,,,,
7956.9,,C,,,,,,,,
7956.6,,,,F,,,,,,
7956.25,,,,F,,,,,,
