Price/Date,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-10-03,2017-10-04,2017-10-05,2017-10-06,2017-10-09,2017-10-10
7956.0,,,,AFG,,,,,,
7955.95,,,,F,,,,,,
7955.75,,B,,,,,,,,
7955.55,,,,E,,,,,,
7955.5,,A,,,,,,,,
7955.4,,,,H,,,,,,
7955.35,,,,B,,,,,,
7955.3,A,,,H,,,,,,
7955.15,,,,F,,,,,,
7955.05,,,,F,,,,,,
7955.0,,B,,BF,,,,,,
7954.75,,C,,,,,,,,
7954.65,,,,AE,,,,,,
7954.5,,,,B,,,,,,
7954.2,,C,,,,,,,,
7954.0,,B,,L,,,,,,
7953.95,,,,E,,,,,,
7953.4,,,,E,,,,,,
7953.35,,,,E,,,,,,
7953.1,,,,D,,,,,,
7953.05,,,,C,,,,,,
7953.0,,B,,E,,,,,,
7952.85,,,,C,,,,,,
7952.7,,,,E,,,,,,
7952.6,,,,D,,,,,,
7952.45,,,,E,,,,,,
7952.4,,,,E,,,,,,
7952.35,,,,E,,,,,,
7952.15,,,,E,,,,,,
7952.0,,B,,DE,,,,,B,
7951.95,,,,D,,,,,,
7951.9,,,,E,,,,,B,
7951.45,,,,E,,,,,,
7951.25,,,,,,,,,B,
7951.05,A,,,,,,,,,
7951.0,,,,E,,,,,,
7950.6,,,,E,,,,,,
7950.35,,,,E,,,,,,
7950.25,,,,,,,,,B,
7950.15,,B,,E,,,,,,
7950.05,,,,BC,,,,,,
7950.0,,B,,DE,,,,,B,
7949.95,,C,,AF,,,,,,
7949.9,,,,,,,,,B,
7949.85,,,,,,,,,C,
7949.7,,,,D,,,,,,
7949.5,,,,,,,,,B,
7949.4,,,,E,,,,,,
7949.15,,,,,,,,,B,
7949.1,,B,,,,,,,,
7949.05,,B,,,,,,,,
7949.0,,B,,,,,,,B,
7948.95,,,,,,,,,C,
7948.9,,,,,,,,,B,
7948.35,,,,E,,,,,,
7948.3,,C,,,,,,,,
7948.0,,B,,,,,,,B,
7947.95,,,,F,,,,,,
7947.85,,B,,,,,,,B,
7947.7,,B,,,,,,,,
7947.45,,,,,,,,,B,
7947.4,,C,,E,,,,,,
7947.15,,,,,,,,,B,
7947.0,,AB,,D,,,,,,
7946.75,,,,,,,,,C,
7946.7,,,,,,,,,BC,
7946.6,,,,C,,,,,,
7946.5,,,,,,,,,C,
7946.45,,,,D,,,,,,
7946.4,,,,,,,,,B,
7946.2,,,,F,,,,,,
7946.1,,,,,,,,,C,
7946.0,,,,CD,,,,,B,
7945.85,,,,,,,,,B,
7945.8,,,,D,,,,,,
7945.7,,,,E,,,,,,
7945.55,,,,C,,,,,,
7945.5,,,,,,,,,B,
7945.4,K,,,,,,,,,
7945.2,,B,,,A,,,,,
7945.15,,,,D,,,,,,
7945.0,L,A,,CD,,,,,,
7944.75,,,,E,,,,,,
7944.5,,,,,,,,,B,
7944.1,,,,D,,,,,,
7944.0,,,,C,,,,,,
7943.9,,,,D,,,,,,
7943.8,,B,,F,,,,,,
7943.65,,,,,,,,,C,
7943.25,,,,C,,,,,,
7943.1,,,,,,,,,B,
7943.05,,,,,,,,,B,
7943.0,,,,,,,,,BC,
7942.95,,,,C,,,,,,
7942.85,,B,,,,,,,,
7942.75,,,,C,,,,,,
7942.65,K,,,,,,,,,
7942.6,,,,D,,,,,,
7942.4,,,,CD,,,,,,
7942.3,,,,D,,,,,,
7942.0,,,,,,,,,ABD,
7941.95,K,,,,,,,,,
7941.75,,,,D,,,,,,
7941.65,,B,,,,,,,,
7941.5,,,,C,,,,,,
7941.4,,,,C,,,,,,
7941.25,,,,,,,,,B,
7941.15,,,,D,,,,,,
7941.05,,,,,,,,,A,
7941.0,CL,,,AD,,,,,,
7940.35,K,,,,,,,,,
7940.25,,C,,,,,,,,
7940.05,,,,D,,,,,,
7940.0,C,BC,,CD,A,,,,D,
7939.9,,B,,,,,,,,
7939.55,C,,,,,,,,,
7939.4,B,,,,,,,,,
7939.25,,,,C,,,,,,
7939.0,K,,,C,,,,,C,
7938.9,C,,,,,,,,,
7938.7,,,,,,,,,D,
7938.65,,,,,,,,,D,
7938.5,,,,,,,,,D,
7938.25,,,,,,,,,C,
7938.15,,,,,,,,,D,
7938.1,,,,,,,,,A,
7938.0,B,C,,C,,,,,AD,
7937.95,,A,,,,,,,,
7937.85,B,,,,,,,,,
7937.8,,,,,,,,,D,
7937.7,,B,,,,,,,,
7937.6,,,,C,,,,,,
7937.55,C,,,,,,,,,
7937.5,C,,,,,,,,,
7937.0,,C,,C,,,,,D,
7936.95,,,,,,,,,D,
7936.6,,,,C,,,,,,
7936.55,,,,,,,,,C,
7936.45,,,,C,,,,,,
7936.25,,,,C,,,,,,
7936.05,K,,,,,,,,,
7936.0,A,,,,,,,,,
7935.9,B,,,,,,,,,
7935.6,,,,C,,,,,C,
7935.5,B,,,,,,,,D,
7935.35,,,,,,,,,C,
7935.15,B,,,,,,,,,
7935.1,B,,,C,,,,,,
7935.05,B,,,,,,,,,
7935.0,K,C,,,,,,,C,
7934.3,,,,C,,,,,,
7934.2,K,,,,,,,,C,
7934.05,,,,,,,,,CD,
7934.0,,,,,,,,,C,
7933.9,K,,,,,,,,,A
7933.6,,,,,,,,,D,
7933.55,,,,,,,,,D,
7933.45,,,,C<<,,,,,C,
7933.4,L,,,,,,,,D,
7933.3,,,,,,,,,D,
7933.2,,,,,,,,,CD,
7933.15,,,,,,,,,D,
7933.1,,,,,,,,,C,
7933.0,,AC,,,,,,,CD,
7932.95,,,,,,,,,D,
7932.85,,A,,,,,,,,
7932.15,K,,,,,,,,,
7932.1,,C,,,,,,,,
7932.05,,,,,,,,,C,
7932.0,B,,,,,,,,,
7931.95,L,,,,,,,,,
7931.9,B,,,,,,,,,
7931.85,,,,,,,,,,A
7931.7,,,,,,,,,D,
7931.65,K,,,,,,,,,
7931.6,,,,,,,,,C,
7931.55,,,,,,,,,D,
7931.15,,,,,,,,,C,
7931.0,AK,,,,,,,,D,
7930.9,B,,,,,,,,,
7930.3,,,,,,,,,C,
7930.1,K,C,,,,,,,,
7930.05,,,,,,,,,D,
7930.0,KL,AC,,,A,B,,,CD,
7929.75,L,,,,,,,,,
7929.7,,,,,,,,,,B
7929.6,,,,,,,,,E,
7929.2,L,,,,,,,,,
7929.1,K,,,,A,,,,,
7928.9,,,,,,,,,,B
7928.7,L,,,,,,,,,
7928.5,,,,,,,,,E,
7928.45,B,,,,,,,,,
7928.3,C,,,,,,,,,
7928.2,,,,,,,,,E,
7928.0,BL,,,,,,,,D,A
7927.95,,,,,,,,,,B
7927.9,,,,,,,,,,B
7927.8,,,,,,,,,E,
7927.6,L,,,,,,,,,
7927.5,C,,,,,,,,,
7927.4,C,,,,,,,,,B
7927.3,,C,,,,,,,,
7927.05,L,C,,,,,,,,
7927.0,K,,,,A,,,,,
7926.9,,,,,,B,,,,
7926.65,K,,,,C,,,,,
7926.6,,C,,,,,,,,
7926.55,B,,,,B,,,,,
7926.1,B,,,,,,,,,
7926.05,L,,,,,,,,,
7926.0,K,C,,,B,,,,,
7925.9,L,,,,,A,,,,
7925.65,L,,,,,,,,,
7925.6,K,,,,,,,,,
7925.55,,,,,,,,,,E
7925.5,,,,,C,,,,,
7925.45,,,,,C,,,,,
7925.35,,,,,,,,,,A
7925.25,,,,,B,,,,,
7925.15,L,,,,,,,,,
7925.1,,,,,B,,,,D,
7925.05,L,,,,,,,,,
7925.0,AK,,,,B,,,,DE,
7924.95,K,,,,B,,,,,
7924.7,A,,,,,,,,,
7924.65,,,,,B,,,,,
7924.55,L,,,,C,,,,,
7924.5,K,,,,,,,,,
7924.35,,,,,B,,,,,
7924.3,L,,,,,,,,,
7924.15,L,,,,,,,,,
7924.0,BJK,,,,,,,,,
7923.9,,,,,,,,,,A
7923.65,,,,,,,,,,E
7923.55,,,,,,,,,,E
7923.5,,,,,,,,,A,
7923.15,J,,,,,,,,A,
7923.05,L,,,,,,,,,
7923.0,BL,,,,,,,,,
7922.95,BCH,,,,,,,,,
7922.9,B,,,,B,,,,,
7922.85,,,,,B,,,,,
7922.8,,,,,,,,,A,
7922.75,K,,,,,,,,,E
7922.5,K,,,,,,,,,
7922.45,,,,,B,,,,,E
7922.35,J,,,,B,,,,,
7922.15,M,,,,,,,,,A
7922.1,BG,,,,,,,,,E
7922.05,L,,,,C,,,,,E
7922.0,B,,,,,,,,A,EG
7921.95,,,,,,,,,,GH
7921.85,,,,,B,,,,,
7921.8,,,,,,,,,,B
7921.65,,,,,,,,,,G
7921.6,L,,,,,,,,,
7921.4,,,,,,,,,,A
7921.3,,,,,,,,,,F
7921.25,G,,,,,,,,,
7921.2,,,,,,,,,,H
7921.1,,,,,,,,,,FG
7921.05,BC,,,,,,,,,
7921.0,L,,,,,,,,,G
7920.95,,,,,,,,,,B
7920.8,C,,,,,,,,,
7920.7,,,,,,,,,,E
7920.6,,,,,,,,,,H
7920.55,,,,,,,,,,H
7920.5,,,,,,,,,,BEH
7920.45,K,,,,,,,,,H
7920.4,,,,,,,,,,G
7920.35,G,,,,,,,,,B
7920.3,,,,,B,,,,,B
7920.25,G,,,,,,,,,
7920.2,M,,,,,,,,,
7920.15,,,,,,,,,,F
7920.1,,,,,,,,,,F
7920.05,,,,,B,,,,,
7920.0,JL,,,,B,,,,A,AEGH
7919.95,H,,,,B,,,,,AE
7919.9,G,,,,,,,,,
7919.8,K,,,,,,,,,F
7919.75,C,,,,,,,,,
7919.7,,,,,,,,,,GI
7919.55,,,,,,,,,,G
7919.5,,,,,,,,,,E
7919.45,,,,,,C,,,,F
7919.35,,,,,,,,,,F
7919.3,,,,,,,,,,EF
7919.25,,,,,,,,,,G
7919.05,AG,,,,,,,,,
7919.0,,,,,,C,,,,DEH
7918.9,,,,,B,,,,,
7918.85,,,,,,,,,,A
7918.75,,,,,CL,,,,,
7918.6,,,,,,,,,,E
7918.55,,,,,,,,,,B
7918.5,,C,,,,,,,,
7918.4,D,,,,,,,,,
7918.25,J,,,,,,,,,
7918.2,J,,,,,,,,,
7918.05,,,,,,C,,,,GI
7918.0,GH,,,,,C,,,A,F
7917.95,B,,,,,BC,,,,H
7917.9,C,,,,,,,,,
7917.8,H,,,,,,,,,I
7917.75,,,,,,,,,,DE
7917.7,,,,,,C,,,,GH
7917.65,I,,,,,,,,,BGH
7917.55,D,,,,,,,,,
7917.5,,,,,,,,,,I
7917.45,,,,,,C,,,,F
7917.4,,,,,B,,,,,
7917.3,,,,,,,,,,I
7917.25,G,,,,,,,,,
7917.2,GH,,,,,,,,,B
7917.15,G,,,,,,,,,DG
7917.1,,,,,,,,,,I
7917.0,GJ,,,,,,,,,AEFH
7916.95,B,,,,,CD,,,,AF
7916.9,I,,,,,,,,,A
7916.8,D,,,,,D,,,,
7916.75,,,,,,,,,A,BI
7916.7,D,,,,,,,M,,
7916.65,,,,,,,,,,H
7916.6,,,,,,C,,M,,EH
7916.5,J,,,,,,,,A,DH
7916.45,M,,,,,CD,,,,
7916.4,,,,,,,,,,H
7916.35,CH,,,,,,,,,B
7916.2,,,,,,,,,,H
7916.1,,,,,,,,,,C
7916.05,J,C,,,,D,,,,CI
7916.0,CH,,,,,C,,,A,ABH
7915.95,B,,,,,,,,,
7915.85,,,,,B,,,,,G
7915.8,,,,,,C,,,,
7915.75,,,,,,C,,,,G
7915.7,,,,,,,,,,H
7915.65,,,,,,,,,,EI
7915.6,J,,,,,,,,,D
7915.55,,,,,,D,,,,E
7915.5,,,,,,,,,,G
7915.45,G,,,,,,,,,H
7915.3,I,,,,,,,,,BG
7915.2,J,,,,,,,,,B
7915.15,,,,,,,,,,B
7915.1,,,,,,C,,,,G
7915.05,CGJ,,,,,,,,,EF
7915.0,CH,D,,,L,BCD,,,,BGI
7914.95,,,,,,,,,,BDG
7914.9,,,,,,,,,,I
7914.85,,,,,,,,M,,
7914.8,,,,,,,,,,I
7914.75,C,,,,,,,,,I
7914.7,,,,,,C,,,,C
7914.6,,,,,L,,,,,F
7914.5,J,,,,,,,,,B
7914.45,,,,,,,,,,G
7914.4,CDG,,,,,,,,,
7914.25,J,,,,,,,M,E,H
7914.2,,,,,,,,,,CI
7914.15,,,,,,,,,,F
7914.1,,,,,,C,,,,FI
7914.05,,,,,,,,,,DG
7914.0,CD,,,,B,D,,,,G
7913.95,,,,,L,,,,,I
7913.9,C,,,,L,D,,,,
7913.85,,,,,L,,,,,
7913.8,,,,,,D,,,,
7913.75,,,,,L,D,,,,
7913.65,,,,,,C,,,,I
7913.55,J,,,,,D,,,,
7913.5,,,,,L,,,,,B
7913.45,G,,,,,,,,,H
7913.35,G,,,,,,,,,F
7913.3,,,,,,,,,,B
7913.25,I,,,,,,,,,J
7913.15,IJ,,,,,,,,,I
7913.1,J,,,,,,,,,H
7913.05,CJ,,,,L,,,,,EH
7913.0,HIJ,,,,,D,,M,,F
7912.95,I,,,,L,,,,,CI
7912.9,H,,,,,,,,,
7912.85,I,,,,,,,,,
7912.7,,,,,,C,,,,
7912.65,,,,,B,,,,,
7912.6,BG,,,,,,,,,
7912.55,I,,,,,,,,,
7912.5,,,,,L,D,,,,
7912.45,,,,,,,,,,J
7912.4,,,,,,,,,,J
7912.35,J,,,,,,,,,E
7912.3,H,,,,,,,,,I
7912.25,J,,,,,,,,,I
7912.2,G,,,,,,,,,
7912.1,GI,,,,,,,M,,
7912.05,H,,,,,,,,,
7912.0,BCGHI,,,,,C,,,,BI
7911.95,,,,,L,,,,,J
7911.9,,,,,,C,,,,
7911.75,GJ,,,,,,,,,
7911.7,,,,,L,,,,,
7911.65,,,,,,C,,,,H
7911.6,I,,,,,,,,,
7911.55,H,,,,,,,,,
7911.5,J,,,,,,,,,
7911.45,I,,,,,A,,,,
7911.15,G,,,,L,,,,,F
7911.1,,,,,,,,,,F
7911.05,B,,,,,,,,,
7911.0,GH,,,,IL,D,,,,BDHJ
7910.95,,,,,IL,,,,E,F
7910.9,A,,,,L,,,,,J
7910.8,H,,,,,,,,,
7910.7,H,,,,,,,,,
7910.65,HM,,,,,,,,,
7910.6,C,,,,I,,,,,C
7910.55,,,,,L,,,,,
7910.5,H,,,,,,,,,
7910.4,D,,,,,,,,,
7910.35,,,,,,,,,,DK
7910.3,H,,,,,,,,,
7910.2,I,,,,L,,,,,E
7910.15,M,,,,,,,,,C
7910.1,,,,,,,,,,FIJ
7910.05,DJM,,,,C,,,,,CJK
7910.0,ADIJM*,,M,,IL,BE,,M,E,DFIJK*
7909.95,D,,,,,,,,,FHJ
7909.9,D,,,,L,,,,,
7909.85,,,,,,,,M,,K
7909.8,,,,,,,,,,D
7909.7,G,,,,,,,,,
7909.6,,,,,,,,,,DJ
7909.55,,,,,,,,,,I
7909.5,,,,,,,,,,HJ
7909.4,,,,,,C,,,,
7909.35,,,,,,,,,,CD
7909.25,,,,,,,,,,CJ
7909.15,,,,,B,,,,,J
7909.1,,,,,,E,,,,
7909.05,I,,,,,,,,,D
7909.0,AH,,,,J,DE,,,AE,CK
7908.95,,,,,,E,,,,J
7908.9,,,,,L,,,,,D
7908.85,,,,,,,,,,D
7908.8,,,,,,,,,,C
7908.75,,,,,B,,,,,D
7908.6,,,,,,,,,,GJ
7908.55,,,,,,,,,,D
7908.5,I,,,,K,,,,,C
7908.45,,,,,,,,,,C
7908.35,,,,,L,,,,,
7908.05,,,,,L,E,,,E,CJ
7908.0,AIM,D,,,KL,E,,,,CDJ
7907.95,,,,,CJ,,,,,
7907.9,,,,,,A,,,,
7907.85,,,,,,,,,,D
7907.75,H,D,,,,,,,,C
7907.7,,,,,,,,,,D
7907.65,,,,,I,,,M,,
7907.6,,,,,,E,,,,D
7907.55,,,,,,,,M,,
7907.45,,,,,,B,,,,
7907.4,H,,,,,D,,,K,
7907.3,D,,,,,,,,M,
7907.25,,,,,,,,,,C
7907.2,I,,,,,,,,J,
7907.15,,,,,,,,,,DJ
7907.1,,,,,I,,,,,
7907.0,BDI,,,,K,E,,M,K,JK
7906.95,,,,,,,,,K,
7906.9,,,,,,,,N,K,
7906.85,,,,,I,,,,,
7906.8,,,,,,,,,,D
7906.75,D,,,,,,,,,
7906.65,,,,,,,,,,CD
7906.6,F,,,,,,,,,
7906.55,I,,,,I,,,,J,
7906.5,GI,,,,,,,,F,
7906.45,,,,,I,,,,K,
7906.4,G,,,,I,,,,,
7906.35,,,,,,CE,,,,
7906.3,,,,,,,,,M,
7906.2,,,,,,,,,,C
7906.15,F,,,,,,,,,
7906.1,,D,,,,,,,,
7906.05,,,,,,,,,J,
7906.0,H,,,,BHI,,,M,,L
7905.95,F,,,,J,,,,,KL
7905.9,I,,,,J,,,,,L
7905.8,,,,,,,,,,CK
7905.65,,,,,J,,,,,
7905.6,,,,,,,,,F,
7905.55,,,,,,D,,,,L
7905.5,I,,,,K,,,,,
7905.45,H,,,,I,,,,,
7905.35,,,,,J,,,M,,
7905.3,I,,,,,,,,,
7905.25,,,,,I,,,,,
7905.1,,,,,,,,,,C
7905.05,,,,,,,,,K,JK
7905.0,F,D,M,,JK,ADF,,,JKLM,KL
7904.95,,,,,,B,,,EKL,L
7904.9,,,M,,CK,,,,L,L
7904.85,,D,,,,,,,KM,L
7904.8,,,,,,,,,L,
7904.7,,D,,,B,,,,,
7904.6,I,,,,K,,,,,
7904.55,,,,,,,,,M,
7904.5,,,,,C,,,,,L
7904.45,,,,,,A,,,EL,
7904.35,,,,,IJ,,,,K,L
7904.25,,,,,I,D,,,,L
7904.0,DE,D,,,IK,A,,,KL,L
7903.95,D,,,,J,F,,,K,
7903.9,,,,,J,F,,,L,
7903.85,,,,,J,,,,L,
7903.8,,,,,,,,,L,
7903.75,,,M,,,,,,,
7903.7,,,,,C,,,,L,CL
7903.6,,,,,J,,,,E,
7903.55,,,,,,F,,,L,
7903.5,,D,,,I,,,,,
7903.45,,,,,,,,,K,L
7903.4,,,,,K,,,,,
7903.35,,,,,,,,,,K
7903.3,,,,,,,,,,K
7903.2,D,,M,,,,,,,
7903.15,,D,,,H,,,,,
7903.1,,,,,,,,,E,K
7903.05,,,,,,,,M,,CKL
7903.0,A,D,,,J,F,,,EL,K
7902.95,,E,,,I,F,,,,
7902.9,,,,,,,,,FM,
7902.85,,,,,IJ,,,,K,
7902.8,,,,,C,,,,,K
7902.75,,,,,J,,,,,
7902.7,,D,,,J,,,,,
7902.55,M,,,,,,,,,
7902.5,H,,,,J,,,,,
7902.45,,,,,H,,,,,
7902.4,D,,,,,,,,,
7902.3,,,N,,,,,,,
7902.25,,,,,,,,,K,
7902.15,,,,,,E,,,,
7902.05,,E,,,,,,,F,CK
7902.0,,,,,I,BE,,,LM,KL
7901.95,,D,,,M,E,,,,
7901.9,,,,,,E,,,,
7901.85,,,,,C,,,,,
7901.65,D,,,,,,,,,L
7901.6,,,,,C,,,,,
7901.55,,,,,CJ,,,,,
7901.5,,,,,C,,,,,
7901.45,G,,,,,,,,,
7901.35,M,,,,,,,,,
7901.15,,,,,,,,,,K
7901.1,,D,,,,,,,,
7901.05,,,,,,,,,FM,
7901.0,M,,,,I,,,,K,
7900.95,,,,,K,,,,L,
7900.85,,D,,,,,,,,
7900.75,,,,,,,,,L,
7900.7,E,,,,,,,,,
7900.6,,,,,I,,,,,
7900.55,E,,,,,,,,,L
7900.5,,,,,,,,,,M
7900.4,,,,,JK,,,,,
7900.35,,,,,,,,,K,
7900.3,,,,,H,,,,,
7900.2,M,,,,,,,,,K
7900.1,,,,,HIJ,,,,L,
7900.05,DH,,,,,,,,,
7900.0,D,DE,,,CIK,ABCE,C,M,FIJKM*,CL
7899.95,F,,,,K,,,,FIJ,
7899.9,,E,,,HK,,C,,FJK,
7899.85,,,,,,,,,J,
7899.8,,E,,,,,,,F,
7899.7,,,,,,B,,,,
7899.65,,,,,,E,,,,
7899.6,,,M,,,,,,,
7899.45,,,,,I,,,,I,
7899.4,,,,,K,,,,F,
7899.3,,,,,,,,,F,
7899.25,,,M,,,,,,,
7899.2,F,,M,,F,,,,,
7899.15,D,,,,,,,,,
7899.1,D,,M,,J,,,,F,
7899.05,,,,,D,,,,,
7899.0,,D,M,,DI,H,C,,E,
7898.9,,,M,,,,,,G,
7898.85,,,,,FIK,C,,,IL,
7898.8,,E,,,,,,,,
7898.75,,,,,K,H,,,,
7898.7,,E,,,K,,,,I,
7898.65,,,,,,,,M,,
7898.6,,,,,J,,,,F,
7898.55,,,M,,,,,,I,
7898.5,,,,,K,,,,,
7898.45,,,,,,,,,FI,K
7898.4,,,,,,H,,,I,K
7898.3,,,,,M,E,,,,
7898.25,,,M,,K,,,,F,
7898.2,,,,,M,,,,,
7898.15,,,,,F,,,,IJ,K
7898.1,,,,,K,,,,,
7898.05,,,,,GJ,,,,F,
7898.0,,DEF,,,G,B,C,EL,EI,M
7897.95,,,,,,E,,M,FGJ,
7897.9,,E,M,,F,B,,,M,
7897.85,,,,,G,,,,I,K
7897.8,,,,,M,,,E,,
7897.7,,,,,C,,,,FI,
7897.6,,,,,GM,,,L,,
7897.55,,,,,,,,,I,
7897.5,,,,,,,,,J,
7897.45,,,,,DK,,,,G,
7897.3,,,,,F,,,,F,
7897.25,,,,,I,,,,J,
7897.2,,,,,,,,,FJ,
7897.15,E,E,M,,,,,,,
7897.1,,,,,F,,,,J,
7897.05,,,,,I,,,,FI,
7897.0,,,,,KM,AF,C,,IJ,M
7896.95,,,,,H,,,M,J,M
