,esu18,clv18,gcz18,nqu18
0,2888.25,68.72,1201.3,7531.75
1,2898.25,69.87,1199.1,7638.75
2,2902.0,69.8,1206.7,7661.25
3,2902.0,70.25,1205.0,7649.0
4,2914.75,69.51,1211.5,7668.75
5,2899.25,68.53,1214.4,7578.0
6,2898.5,68.87,1216.0,7568.0
7,2876.75,68.72,1213.3,7495.75
8,2858.0,67.83,1194.0,7424.5
9,2861.25,67.86,1203.3,7433.25
10,2861.75,65.84,1200.0,7397.5
11,2858.5,65.42,1194.6,7387.0
12,2852.25,65.21,1184.2,7387.75
13,2844.75,64.88,1184.0,7389.0
14,2821.25,64.46,1185.0,7374.0
15,2841.0,66.33,1200.7,7457.75
16,2825.5,66.57,1198.9,7417.0
17,2836.75,66.94,1219.0,7427.0
18,2853.75,66.14,1219.9,7475.5
19,2855.25,66.25,1221.0,7471.5
20,2859.75,68.33,1218.3,7477.25
21,2850.0,67.94,1217.7,7444.0
22,2839.5,67.35,1223.2,7402.0
23,2828.5,67.66,1220.1,7385.75
24,2810.75,66.5,1227.6,7277.0
25,2817.0,67.63,1233.6,7244.75
26,2803.25,68.95,1231.5,7200.5
27,2817.5,67.73,1232.7,7301.25
28,2842.5,68.43,1235.3,7430.75
29,2841.25,68.01,1241.0,7469.5
30,2821.0,67.19,1234.6,7416.25
31,2812.0,66.75,1234.4,7430.5
32,2800.75,66.64,1240.4,7360.0
33,2805.25,66.53,1234.0,7367.75
34,2816.0,66.38,1238.4,7404.5
35,2811.25,65.84,1237.8,7421.75
36,2796.5,65.66,1250.3,7325.0
37,2803.25,68.55,1251.9,7393.0
38,2798.5,68.07,1257.5,7382.75
39,2774.0,67.1,1255.6,7253.75
40,2796.75,70.62,1266.9,7301.5
41,2787.5,69.85,1271.1,7300.25
42,2763.0,69.14,1267.2,7233.5
43,2738.5,68.46,1270.0,7125.75
44,2713.25,68.84,1264.8,7023.75
45,2727.25,69.3,1253.0,7116.5
46,2721.5,70.92,1266.3,7066.75
47,2719.5,70.34,1262.8,7060.5
48,2705.0,69.96,1268.0,6998.25
49,2728.5,68.16,1271.8,7104.0
50,2722.25,66.18,1280.9,7073.5
51,2759.5,66.79,1282.6,7222.75
52,2752.5,64.19,1282.4,7237.75
53,2772.0,64.72,1286.5,7313.25
54,2766.25,64.13,1290.7,7252.25
55,2779.75,64.81,1292.3,7276.0
56,2784.5,63.94,1290.7,7281.5
57,2788.5,65.79,1320.8,7311.25
58,2779.0,65.84,1313.8,7231.0
59,2788.25,65.58,1311.9,7226.25
60,2786.75,65.36,1315.7,7196.0
61,2782.5,65.06,1315.1,7176.5
62,2776.0,65.3,1315.1,7184.75
63,2776.0,64.27,1313.6,7239.0
64,2755.5,64.95,1314.5,7203.25
65,2749.75,64.26,1309.6,7173.25
66,2738.25,65.23,1311.7,7108.0
67,2709.75,66.11,1317.1,7001.5
68,2729.0,67.18,1319.1,7012.0
69,2696.5,65.87,1316.7,6969.25
70,2722.75,67.06,1321.7,6985.0
71,2732.0,69.69,1322.6,6982.25
72,2735.5,70.82,1307.6,6982.0
73,2731.0,71.03,1310.1,6934.25
74,2737.75,70.96,1309.1,6940.75
75,2717.75,70.08,1309.5,6899.0
76,2723.5,70.35,1308.0,6931.0
77,2727.5,70.45,1310.2,6962.25
78,2713.25,70.23,1308.9,6915.25
79,2735.25,70.04,1337.1,6999.0
80,2733.5,69.66,1339.7,6985.0
81,2722.75,70.13,1341.3,6990.0
82,2700.25,69.73,1332.0,6920.75
83,2674.25,67.67,1332.7,6845.5
84,2674.25,69.21,1333.1,6851.0
85,2667.5,68.05,1333.7,6798.75
86,2636.0,66.64,1331.6,6688.25
87,2631.75,66.23,1324.4,6657.25
88,2656.5,65.79,1325.6,6715.25
89,2651.5,67.09,1338.1,6636.5
90,2675.75,66.52,1342.5,6693.75
91,2679.0,66.64,1336.9,6759.0
92,2649.25,66.41,1341.8,6580.75
93,2639.5,66.05,1352.0,6552.5
94,2676.0,66.83,1342.9,6693.0
95,2676.5,66.43,1357.2,6702.75
96,2698.0,66.26,1367.7,6806.25
97,2714.5,66.2,1372.4,6870.0
98,2711.25,64.65,1368.4,6855.25
99,2686.25,64.35,1369.7,6738.25
100,2661.75,65.23,1366.9,6666.75
101,2668.25,64.8,1360.7,6696.75
102,2645.25,64.77,1379.1,6618.75
103,2659.25,63.6,1364.8,6650.25
104,2623.0,62.08,1358.9,6523.5
105,2610.0,60.87,1355.0,6481.5
106,2666.0,62.12,1347.3,6627.5
107,2651.0,61.74,1358.8,6610.0
108,2617.25,61.78,1356.0,6498.0
109,2579.0,61.24,1365.4,6423.75
110,2647.75,62.92,1345.8,6627.0
111,2612.25,62.54,1348.6,6508.5
112,2620.25,63.3,1366.6,6592.75
113,2664.5,63.33,1379.7,6805.75
114,2602.5,63.56,1374.2,6586.75
115,2648.5,62.3,1351.7,6725.5
116,2724.75,62.82,1345.8,6917.75
117,2730.25,61.29,1335.6,6952.5
118,2729.25,60.19,1341.3,6949.5
119,2763.0,60.55,1335.8,7078.0
120,2762.25,59.62,1341.3,7103.5
121,2760.75,59.49,1349.2,7092.5
122,2779.5,59.27,1350.8,7117.0
123,2796.25,59.63,1344.4,7195.75
124,2796.25,59.95,1347.7,7151.0
125,2751.0,58.41,1345.3,7029.0
126,2735.0,58.97,1350.9,6979.0
127,2735.5,60.18,1358.8,6963.0
128,2730.0,60.04,1343.5,6934.5
129,2701.75,58.87,1347.1,6861.75
130,2690.0,58.42,1328.7,6818.75
131,2726.75,59.04,1341.8,6923.25
132,2760.25,60.64,1342.5,6972.25
133,2796.5,61.38,1356.3,7055.0
134,2760.0,61.06,1353.1,6964.5
135,2722.25,60.17,1355.4,6842.75
136,2710.0,59.3,1354.8,6812.0
137,2724.75,59.21,1353.6,6840.0
138,2745.5,58.58,1378.5,6836.5
139,2743.5,58.12,1377.3,6863.5
140,2705.75,58.05,1379.2,6731.75
141,2670.0,56.74,1351.3,6607.5
142,2663.5,56.59,1347.4,6578.75
143,2626.5,56.57,1337.0,6461.25
144,2601.5,58.45,1340.4,6364.25
145,2676.75,58.87,1336.3,6604.0
146,2703.5,60.17,1351.0,6701.25
147,2616.25,60.88,1358.2,6482.0
148,2767.0,61.77,1359.2,6807.25
149,2833.25,62.63,1369.6,6950.0
150,2836.5,61.97,1365.1,7014.25
151,2835.5,61.78,1361.8,6993.0
152,2864.5,62.63,1366.9,7044.0
153,2885.25,63.12,1379.3,7080.75
154,2851.5,62.74,1390.4,6983.0
155,2851.0,62.55,1383.6,6983.25
156,2850.25,62.12,1363.2,7017.25
157,2845.5,61.42,1358.9,6974.0
158,2820.5,61.14,1359.6,6888.25
159,2805.5,61.63,1352.9,6855.5
160,2813.0,61.6,1365.2,6866.0
161,2791.0,61.38,1363.0,6803.75
162,2796.5,61.73,1361.0,6815.75
163,2777.0,61.25,1347.3,6768.0
164,2758.0,61.1,1344.1,6718.25
165,2759.5,60.79,1338.1,6726.75
166,2754.0,59.99,1344.8,6721.25
167,2749.75,59.58,1346.5,6700.25
168,2730.75,59.68,1345.6,6635.75
169,2717.0,59.45,1342.8,6616.75
170,2698.75,58.74,1340.1,6547.25
171,2682.0,58.72,1332.9,6441.25
172,2691.5,58.3,1320.4,6478.25
173,2691.0,58.2,1314.1,6487.0
174,2692.5,58.35,1310.3,6492.0
175,2691.5,57.25,1301.5,6515.25
176,2693.0,56.94,1293.2,6524.0
177,2687.0,56.71,1292.2,6521.75
178,2689.5,56.32,1286.6,6533.0
179,2699.25,55.93,1287.7,6566.5
180,2687.0,55.61,1279.6,6529.0
181,2660.75,55.5,1279.4,6437.5
182,2674.0,54.89,1270.8,6445.75
183,2672.5,55.67,1264.0,6431.5
184,2668.5,56.55,1269.1,6444.5
185,2658.0,56.18,1270.5,6387.0
186,2645.75,55.54,1275.1,6370.25
187,2635.25,54.92,1288.3,6340.25
188,2633.75,56.02,1287.2,6318.75
