Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-07-05,5592.75,5672.5,5568.25,5660.0,62.5,5658.25,744.0,894.0
2017-07-06,5655.0,5655.5,5588.0,5603.5,55.25,5603.0,321.0,965.0
2017-07-07,5604.5,5682.0,5599.5,5662.5,59.0,5662.0,240.0,921.0
2017-07-10,5664.75,5717.0,5657.5,5701.0,38.25,5700.25,333.0,966.0
2017-07-11,5697.25,5728.0,5675.0,5726.25,25.75,5726.0,338.0,923.0
2017-07-12,5724.75,5795.25,5720.0,5794.5,66.0,5792.0,393.0,954.0
2017-07-13,5793.0,5817.25,5784.75,5806.0,12.0,5804.0,454.0,926.0
2017-07-14,5805.25,5853.75,5795.5,5852.75,45.5,5849.5,247.0,1001.0
2017-07-17,5854.25,5869.25,5838.5,5865.25,11.75,5861.25,198.0,997.0
2017-07-18,5862.25,5904.25,5827.75,5904.0,28.0,5889.25,292.0,996.0
2017-07-19,5898.75,5932.0,5896.5,5925.75,35.75,5925.0,334.0,1024.0
2017-07-20,5926.0,5943.75,5904.25,5938.0,7.25,5932.25,334.0,1039.0
2017-07-21,5919.5,5936.5,5897.0,5929.25,6.75,5925.5,403.0,1044.0
2017-07-24,5927.25,5960.5,5911.25,5932.5,15.0,5940.5,389.0,1131.0
2017-07-25,5935.25,5952.5,5923.25,5939.75,0.25,5940.75,182.0,1160.0
2017-07-26,5940.5,5964.0,5934.0,5960.25,14.0,5954.75,408.0,1150.0
2017-07-27,5970.25,6002.5,5852.5,5912.0,38.5,5916.25,1859.0,1207.0
2017-07-28,5912.0,5924.25,5857.0,5919.75,0.75,5917.0,789.0,1323.0
2017-07-31,5912.0,5939.0,5877.25,5890.5,27.75,5889.25,587.0,1363.0
2017-08-01,5888.0,5937.25,5882.5,5937.0,6.5,5895.75,464.0,1380.0
2017-08-02,5937.0,5953.25,5863.5,5921.25,21.75,5917.5,1087.0,1457.0
2017-08-03,5919.5,5930.0,5884.25,5895.75,20.5,5897.0,632.0,1562.0
2017-08-04,5894.0,5918.75,5882.0,5904.25,8.0,5905.0,445.0,1588.0
2017-08-07,5905.25,5944.0,5904.75,5943.5,35.75,5940.75,655.0,1541.0
2017-08-08,5941.0,5979.25,5915.5,5921.5,15.75,5925.0,964.0,1740.0
2017-08-09,5921.75,5931.25,5869.5,5930.75,4.5,5929.5,1298.0,1856.0
2017-08-10,5925.75,5929.0,5775.25,5779.75,132.25,5797.25,1623.0,1918.0
2017-08-11,5775.0,5852.75,5769.0,5845.5,48.5,5845.75,1205.0,1933.0
2017-08-14,5849.75,5924.0,5849.75,5921.5,71.75,5917.5,1438.0,2025.0
2017-08-15,5920.25,5951.5,5902.75,5921.5,2.0,5919.5,1303.0,2260.0
2017-08-16,5922.0,5956.25,5910.0,5928.0,11.5,5931.0,1371.0,2280.0
2017-08-17,5921.0,5931.0,5794.25,5801.5,123.25,5807.75,2066.0,2384.0
2017-08-18,5801.25,5843.0,5781.25,5805.0,1.25,5809.0,2111.0,2390.0
2017-08-21,5810.0,5824.0,5760.0,5804.0,7.5,5801.5,2038.0,2393.0
2017-08-22,5804.25,5889.0,5802.75,5887.5,84.5,5886.0,1383.0,2193.0
2017-08-23,5884.5,5891.0,5849.0,5850.75,31.0,5855.0,1204.0,2831.0
2017-08-24,5850.5,5880.5,5811.0,5853.25,7.25,5847.75,1950.0,2787.0
2017-08-25,5855.0,5880.5,5824.25,5832.0,15.5,5832.25,1416.0,2817.0
2017-08-28,5826.5,5863.25,5809.0,5853.5,19.75,5852.0,940.0,2853.0
2017-08-29,5838.5,5881.75,5784.5,5876.5,24.25,5876.25,2437.0,2909.0
2017-08-30,5875.0,5950.75,5870.0,5942.25,65.5,5941.75,2742.0,3388.0
2017-08-31,5942.0,6004.25,5940.0,6002.75,56.0,5997.75,2923.0,3687.0
2017-09-01,6005.0,6026.25,5980.5,5994.0,2.5,5995.25,3165.0,4040.0
2017-09-05,5973.75,5991.5,5897.0,5948.75,48.75,5946.5,11315.0,4062.0
2017-09-06,5946.0,5972.75,5916.5,5959.25,15.75,5962.25,23246.0,6761.0
2017-09-07,5956.0,5988.75,5939.5,5977.0,15.25,5977.5,76980.0,21495.0
2017-09-08,5977.25,5979.5,5915.25,5926.0,53.0,5924.5,243700.0,58125.0
2017-09-11,5943.75,6000.25,5942.0,5992.0,66.25,5990.75,261150.0,114235.0
2017-09-12,5990.0,6012.25,5975.25,6008.0,13.75,6004.5,296518.0,183300.0
2017-09-13,6006.75,6012.0,5983.5,6010.25,4.5,6009.0,228919.0,228552.0
2017-09-14,6006.75,6009.25,5968.75,5971.0,38.25,5970.75,283911.0,253328.0
2017-09-15,5971.75,6015.75,5947.0,5997.75,24.5,5995.25,265708.0,276501.0
2017-09-18,6010.5,6027.25,5978.75,5998.5,8.0,5997.0,409.0,180.0
2017-09-19,6000.5,6014.0,5986.0,6003.5,10.25,6007.25,280.0,256.0
2017-09-20,6001.0,6009.75,5941.5,5986.5,18.75,5988.5,557.0,301.0
2017-09-21,5984.5,5989.5,5929.5,5954.0,33.0,5955.5,470.0,337.0
2017-09-22,5951.5,5954.75,5921.75,5945.75,9.5,5946.0,584.0,362.0
2017-09-25,5941.25,5963.75,5853.25,5889.25,59.5,5886.5,867.0,410.0
2017-09-26,5887.25,5922.0,5875.5,5901.0,16.0,5902.5,699.0,549.0
2017-09-27,5898.5,5972.25,5896.5,5948.25,48.5,5951.0,818.0,531.0
2017-09-28,5942.75,5957.75,5922.0,5950.25,2.5,5948.5,598.0,631.0
2017-09-29,5949.0,5994.75,5943.75,5990.0,44.5,5993.0,435.0,634.0
2017-10-02,5995.75,6020.0,5969.75,5995.75,2.0,5991.0,500.0,687.0
2017-10-03,5992.0,6015.75,5990.75,6010.25,18.0,6009.0,387.0,887.0
2017-10-04,6004.75,6026.75,5992.25,6017.25,6.75,6015.75,294.0,988.0
2017-10-05,6017.0,6080.0,6013.75,6075.25,62.25,6078.0,341.0,946.0
2017-10-06,6076.5,6083.5,6050.5,6078.25,1.5,6076.5,407.0,928.0
2017-10-09,6081.75,6095.75,6067.5,6074.25,0.5,6077.0,184.0,875.0
2017-10-10,6080.75,6100.25,6052.0,6078.0,0.5,6077.5,351.0,887.0
2017-10-11,6075.25,6098.25,6066.0,6095.25,17.5,6095.0,287.0,911.0
2017-10-12,6096.0,6108.75,6079.25,6086.25,8.0,6087.0,294.0,1008.0
2017-10-13,6083.5,6116.0,6081.25,6112.0,25.0,6112.0,386.0,1029.0
2017-10-16,6117.0,6133.5,6111.5,6133.0,20.75,6132.75,214.0,1077.0
2017-10-17,6130.5,6137.75,6117.75,6134.5,3.5,6136.25,117.0,1111.0
2017-10-18,6135.0,6144.75,6121.0,6131.75,4.75,6131.5,287.0,1127.0
2017-10-19,6130.0,6133.75,6064.5,6111.5,21.25,6110.25,405.0,1114.0
2017-10-20,6105.25,6141.75,6103.25,6122.5,13.25,6123.5,178.0,1111.0
2017-10-23,6125.0,6137.75,6074.0,6077.75,46.25,6077.25,321.0,1115.0
2017-10-24,6079.25,6104.25,6070.25,6086.0,15.0,6092.25,280.0,1200.0
2017-10-25,6085.25,6100.0,6024.0,6078.5,14.75,6077.5,773.0,1207.0
2017-10-26,6074.0,6109.5,6048.5,6101.75,20.5,6098.0,992.0,1290.0
2017-10-27,6102.5,6238.25,6092.25,6227.5,130.0,6228.0,2280.0,1313.0
2017-10-30,6223.25,6263.75,6216.0,6234.5,9.5,6237.5,783.0,1611.0
2017-10-31,6233.5,6271.0,6232.75,6264.0,25.25,6262.75,532.0,1679.0
2017-11-01,6266.75,6297.25,6237.0,6248.25,9.0,6253.75,698.0,1690.0
2017-11-02,6240.0,6275.0,6206.0,6271.5,5.0,6248.75,1203.0,1672.0
2017-11-03,6263.0,6309.75,6249.0,6302.0,54.75,6303.5,833.0,1690.0
2017-11-06,6298.75,6330.75,6281.5,6326.75,23.75,6327.25,667.0,1755.0
2017-11-07,6322.5,6345.0,6311.0,6329.0,3.75,6331.0,723.0,1870.0
2017-11-08,6320.25,6360.25,6316.25,6355.25,25.25,6356.25,448.0,1939.0
2017-11-09,6358.25,6366.0,6261.0,6328.25,26.25,6330.0,1384.0,1996.0
2017-11-10,6326.0,6335.75,6297.0,6323.0,5.0,6325.0,340.0,2276.0
2017-11-13,6327.75,6340.5,6297.75,6328.5,3.0,6328.0,453.0,2310.0
2017-11-14,6327.25,6333.5,6280.0,6310.0,18.25,6309.75,1006.0,2336.0
2017-11-15,6309.25,6310.0,6247.0,6280.5,27.5,6282.25,1044.0,2383.0
2017-11-16,6281.0,6374.0,6278.0,6361.75,74.75,6357.0,952.0,2442.0
2017-11-17,6360.0,6367.25,6325.25,6326.75,27.5,6329.5,612.0,2452.0
2017-11-20,6332.25,6346.25,6308.0,6332.75,2.5,6332.0,693.0,2377.0
2017-11-21,6330.0,6401.25,6327.75,6396.0,64.0,6396.0,1298.0,2400.0
2017-11-22,6396.5,6411.5,6392.75,6404.5,10.25,6406.25,910.0,2583.0
2017-11-24,6404.5,6432.0,6393.0,6430.75,23.75,6430.0,829.0,2665.0
2017-11-27,6433.5,6440.75,6411.5,6430.75,,6430.0,1441.0,2901.0
2017-11-28,6428.0,6446.5,6406.0,6439.75,7.0,6437.0,3424.0,2951.0
2017-11-29,6440.5,6445.0,6301.0,6322.0,114.0,6323.0,4706.0,3352.0
2017-11-30,6323.75,6394.75,6306.5,6373.5,64.0,6387.0,3884.0,3681.0
2017-12-01,6374.0,6386.75,6264.5,6362.25,23.0,6364.0,7088.0,4047.0
