Date,Settle
2017-11-20,55.81
2017-11-21,55.95
2017-11-22,56.5
2017-11-24,57.04
2017-11-27,56.78
2017-11-28,56.75
2017-11-29,56.12
2017-11-30,56.17
2017-12-01,56.96
2017-12-04,56.27
2017-12-05,56.63
2017-12-06,55.42
2017-12-07,56.06
2017-12-08,56.75
2017-12-11,57.19
2017-12-12,56.25
2017-12-13,55.47
2017-12-14,56.1
2017-12-15,56.21
2017-12-18,56.49
2017-12-19,56.87
2017-12-20,57.32
2017-12-21,57.57
2017-12-22,57.84
2017-12-26,59.05
2017-12-27,58.86
2017-12-28,58.96
2017-12-29,59.42
2018-01-02,59.4
2018-01-03,60.2
2018-01-04,60.47
2018-01-05,60.27
2018-01-08,60.66
2018-01-09,61.53
2018-01-10,61.91
2018-01-11,62.09
2018-01-12,62.61
2018-01-16,62.19
2018-01-17,62.44
2018-01-18,62.45
2018-01-19,61.93
2018-01-22,62.22
2018-01-23,62.98
2018-01-24,63.58
2018-01-25,63.75
2018-01-26,64.2
2018-01-29,63.7
2018-01-30,62.83
2018-01-31,63.02
2018-02-01,63.77
2018-02-02,62.95
2018-02-05,61.92
2018-02-06,61.21
2018-02-07,59.86
2018-02-08,59.39
2018-02-09,57.45
2018-02-12,57.46
2018-02-13,57.58
2018-02-14,59.0
2018-02-15,59.17
2018-02-16,59.63
2018-02-20,60.23
2018-02-21,60.29
2018-02-22,61.25
2018-02-23,62.16
2018-02-26,62.48
2018-02-27,61.71
2018-02-28,60.14
2018-03-01,59.45
2018-03-02,59.87
2018-03-05,61.08
2018-03-06,61.23
2018-03-07,59.93
2018-03-08,59.27
2018-03-09,60.89
2018-03-12,60.49
2018-03-13,60.07
2018-03-14,60.31
2018-03-15,60.46
2018-03-16,61.49
2018-03-19,61.16
2018-03-20,62.38
2018-03-21,64.0
2018-03-22,63.37
2018-03-23,64.74
2018-03-26,64.49
2018-03-27,64.36
2018-03-28,63.59
2018-03-29,64.04
2018-04-02,62.26
2018-04-03,62.77
2018-04-04,62.69
2018-04-05,62.98
2018-04-06,61.64
2018-04-09,62.91
2018-04-10,64.7
2018-04-11,65.91
2018-04-12,66.01
2018-04-13,66.45
2018-04-16,65.46
2018-04-17,65.75
2018-04-18,67.55
2018-04-19,67.53
2018-04-20,67.66
2018-04-23,68.02
2018-04-24,67.17
2018-04-25,67.53
2018-04-26,67.74
2018-04-27,67.63
2018-04-30,68.17
2018-05-01,66.82
2018-05-02,67.35
2018-05-03,67.8
2018-05-04,69.16
2018-05-07,70.26
2018-05-08,68.66
2018-05-09,70.75
2018-05-10,71.07
2018-05-11,70.47
2018-05-14,70.81
2018-05-15,71.15
2018-05-16,71.35
2018-05-17,71.33
2018-05-18,71.11
2018-05-21,72.08
2018-05-22,72.02
2018-05-23,71.71
2018-05-24,70.58
2018-05-25,67.78
2018-05-29,66.62
2018-05-30,68.08
2018-05-31,66.91
2018-06-01,65.77
2018-06-04,64.68
2018-06-05,65.46
2018-06-06,64.7
2018-06-07,65.89
2018-06-08,65.67
2018-06-11,66.03
2018-06-12,66.28
2018-06-13,66.52
2018-06-14,66.69
2018-06-15,64.85
2018-06-18,65.69
2018-06-19,64.9
2018-06-20,65.71
2018-06-21,65.54
2018-06-22,68.58
2018-06-25,68.08
2018-06-26,70.53
2018-06-27,72.76
2018-06-28,73.45
2018-06-29,74.15
2018-07-02,73.94
2018-07-03,74.14
2018-07-05,72.94
2018-07-06,73.8
2018-07-09,73.476
2018-07-10,73.49000000000001
2018-07-11,69.46799999999999
2018-07-12,69.54599999999999
2018-07-13,69.95
2018-07-16,67.07
2018-07-17,67.16
2018-07-18,67.75
2018-07-19,68.24
2018-07-20,68.26
2018-07-23,67.89
2018-07-24,68.52
2018-07-25,69.3
2018-07-26,69.61
2018-07-27,68.69
2018-07-30,70.13
2018-07-31,68.76
2018-08-01,67.66
2018-08-02,68.96
2018-08-03,68.49
2018-08-06,69.01
2018-08-07,69.17
2018-08-08,66.80199999999999
2018-08-09,66.542
2018-08-10,67.216
2018-08-13,66.696
2018-08-14,66.33
2018-08-15,64.46
2018-08-16,64.88
2018-08-17,65.21
2018-08-20,65.42
2018-08-21,65.84
2018-08-22,67.86
2018-08-23,67.83
2018-08-24,68.72
2018-08-27,68.87
2018-08-28,68.53
2018-08-29,69.51
2018-08-30,70.25
2018-08-31,69.8
2018-09-04,69.87
2018-09-05,68.72
2018-09-06,67.77
2018-09-07,67.75
2018-09-10,67.51400000000001
2018-09-11,69.166
2018-09-12,70.244
2018-09-13,68.446
2018-09-14,68.77
