Date,Settle
2018-07-06,1255.8
2018-07-09,1260.24
2018-07-10,1256.72
2018-07-11,1246.2
2018-07-12,1248.6
2018-07-13,1243.8
2018-07-16,1242.2
2018-07-17,1229.9
2018-07-18,1230.5
2018-07-19,1226.5
2018-07-20,1233.6
2018-07-23,1228.0
2018-07-24,1228.2
2018-07-25,1234.5
2018-07-26,1228.6
2018-07-27,1226.5
2018-07-30,1224.2
2018-07-31,1226.4
2018-08-01,1220.3
2018-08-02,1212.9
2018-08-03,1215.9
2018-08-06,1210.6
2018-08-07,1211.2
2018-08-08,1214.6000000000001
2018-08-09,1213.84
2018-08-10,1213.36
2018-08-13,1193.8000000000002
2018-08-14,1196.1
2018-08-15,1180.5
2018-08-16,1179.6
2018-08-17,1179.8
2018-08-20,1190.2
2018-08-21,1195.5
2018-08-22,1198.7
2018-08-23,1189.3
2018-08-24,1208.6
2018-08-27,1211.2
2018-08-28,1209.5
2018-08-29,1206.5
2018-08-30,1200.0
2018-08-31,1201.6
2018-09-04,1194.0
2018-09-05,1196.1
2018-09-06,1199.0
2018-09-07,1195.1
2018-09-10,1195.04
2018-09-11,1197.8799999999999
2018-09-12,1207.1200000000001
2018-09-13,1204.96
2018-09-14,1198.6
