Date,Settle
2018-07-06,2.858
2018-07-09,2.8216
2018-07-10,2.776
2018-07-11,2.8098
2018-07-12,2.7721999999999998
2018-07-13,2.724
2018-07-16,2.73
2018-07-17,2.707
2018-07-18,2.689
2018-07-19,2.736
2018-07-20,2.728
2018-07-23,2.695
2018-07-24,2.719
2018-07-25,2.755
2018-07-26,2.762
2018-07-27,2.782
2018-07-30,2.797
2018-07-31,2.782
2018-08-01,2.758
2018-08-02,2.816
2018-08-03,2.853
2018-08-06,2.86
2018-08-07,2.897
2018-08-08,2.9502
2018-08-09,2.9566
2018-08-10,2.947
2018-08-13,2.9348
2018-08-14,2.966
2018-08-15,2.948
2018-08-16,2.913
2018-08-17,2.949
2018-08-20,2.932
2018-08-21,2.964
2018-08-22,2.944
2018-08-23,2.953
2018-08-24,2.913
2018-08-27,2.869
2018-08-28,2.845
2018-08-29,2.863
2018-08-30,2.874
2018-08-31,2.916
2018-09-04,2.823
2018-09-05,2.795
2018-09-06,2.772
2018-09-07,2.776
2018-09-10,2.8047999999999997
2018-09-11,2.8276
2018-09-12,2.8236
2018-09-13,2.8034
2018-09-14,2.751
