,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Current_STD_Error
0,AXISBANK,BANKBARODA,0.00,1.85,1.05,292.37,2.40
1,HDFCBANK,AXISBANK,0.00,0.87,1.11,1541.79,-0.74
2,ICICIBANK,AXISBANK,0.00,0.42,1.11,64.29,-0.71
3,AXISBANK,IDFCBANK,0.60,0.44,0.88,526.52,2.49
4,INDUSINDBK,AXISBANK,0.00,0.67,1.11,1518.72,-1.43
5,AXISBANK,KOTAKBANK,0.01,0.09,1.05,430.27,2.59
6,AXISBANK,PNB,0.01,-1.06,0.86,639.40,2.41
7,AXISBANK,RBLBANK,0.00,0.67,1.04,189.17,2.04
8,AXISBANK,SBIN,0.00,1.66,1.10,102.54,3.11
9,YESBANK,AXISBANK,0.00,0.31,1.11,170.31,-2.26
10,HDFCBANK,BANKBARODA,0.00,-2.82,1.05,2407.23,0.49
11,ICICIBANK,BANKBARODA,0.00,1.15,1.05,137.56,1.58
12,BANKBARODA,IDFCBANK,0.00,1.54,0.88,68.79,0.96
13,INDUSINDBK,BANKBARODA,0.06,-1.29,1.05,2060.30,-0.46
14,BANKBARODA,KOTAKBANK,0.00,-0.05,1.05,201.32,0.83
15,BANKBARODA,PNB,0.00,0.70,0.86,75.49,1.38
16,BANKBARODA,RBLBANK,0.78,-0.01,1.04,140.76,0.84
17,SBIN,BANKBARODA,0.00,0.66,1.05,176.39,0.59
18,YESBANK,BANKBARODA,0.48,-0.14,1.05,360.90,-0.64
19,HDFCBANK,ICICIBANK,0.87,0.07,1.21,1998.97,0.19
20,HDFCBANK,IDFCBANK,0.00,-19.35,0.88,2880.42,0.48
21,INDUSINDBK,HDFCBANK,0.00,0.76,1.71,357.52,-1.43
22,HDFCBANK,KOTAKBANK,0.00,0.91,1.05,891.95,0.86
23,HDFCBANK,PNB,0.00,-9.45,0.86,2852.68,-0.52
24,HDFCBANK,RBLBANK,0.00,1.84,1.04,1035.55,-1.63
25,HDFCBANK,SBIN,0.00,2.57,1.10,1331.16,-0.27
26,HDFCBANK,YESBANK,0.00,3.21,1.12,923.27,1.38
27,ICICIBANK,IDFCBANK,0.00,1.71,0.88,219.90,1.83
28,INDUSINDBK,ICICIBANK,0.80,0.09,1.21,1855.05,-0.62
29,ICICIBANK,KOTAKBANK,0.30,-0.02,1.05,319.08,1.73
30,ICICIBANK,PNB,0.22,0.25,0.86,273.97,1.82
31,ICICIBANK,RBLBANK,0.00,0.18,1.04,199.08,1.28
32,ICICIBANK,SBIN,0.00,0.73,1.10,101.90,1.63
33,ICICIBANK,YESBANK,0.01,0.19,1.12,232.64,1.95
34,INDUSINDBK,IDFCBANK,0.00,-14.90,0.88,2545.77,-0.77
35,KOTAKBANK,IDFCBANK,0.00,-20.33,0.88,2143.73,-0.19
36,IDFCBANK,PNB,0.00,0.42,0.86,7.73,1.12
37,RBLBANK,IDFCBANK,0.00,-4.58,0.88,737.65,1.69
38,SBIN,IDFCBANK,0.12,-0.64,0.88,295.72,0.86
39,YESBANK,IDFCBANK,0.00,-3.48,0.88,496.68,-0.79
40,INDUSINDBK,KOTAKBANK,0.00,0.75,1.05,951.51,-0.85
41,INDUSINDBK,PNB,0.00,-7.55,0.86,2548.22,-1.53
42,INDUSINDBK,RBLBANK,0.00,1.48,1.04,1091.09,-2.39
43,INDUSINDBK,SBIN,0.00,1.94,1.10,1362.75,-1.07
44,INDUSINDBK,YESBANK,0.00,2.45,1.12,1044.37,-0.14
45,KOTAKBANK,PNB,0.00,-9.64,0.86,2088.75,-1.23
46,KOTAKBANK,RBLBANK,0.00,1.67,1.04,348.71,-1.78
47,SBIN,KOTAKBANK,0.00,0.07,1.05,176.61,0.96
48,YESBANK,KOTAKBANK,0.00,0.19,1.05,110.58,-0.83
49,RBLBANK,PNB,0.00,-3.15,0.86,811.69,1.40
50,SBIN,PNB,0.00,-0.58,0.86,318.47,0.71
51,YESBANK,PNB,0.00,-1.93,0.86,511.78,-1.44
52,SBIN,RBLBANK,0.00,0.34,1.04,86.07,-0.32
53,YESBANK,RBLBANK,0.00,0.44,1.04,108.03,-2.64
54,YESBANK,SBIN,0.00,0.70,1.10,155.15,-1.38
