,esu18,nqu18,ymu18
217,,6115.5,
218,,6100.5,
219,,6146.75,
220,,6133.5,
221,,6154.75,
222,,6159.5,
223,,6156.0,
224,,6135.25,
225,,6110.25,
226,,6118.25,
227,,6100.75,
228,,6100.25,
229,,6099.75,
230,,6101.25,
231,,6039.0,
232,,6032.25,
233,,6014.25,
234,,6016.25,
235,,5971.75,
236,,5974.25,
237,,5925.75,
238,,5909.75,
239,,5969.25,
240,,5979.25,
241,,6012.25,
242,,6031.0,
243,,6004.0,
244,,6012.0,
245,,5986.25,
246,,6024.5,
247,,6020.0,
248,,6006.25,
249,,5940.0,
250,,5993.0,
251,,5977.75,
252,,5962.0,
253,,6010.75,
254,,6013.25,
255,,5957.25,
256,,5891.75,
257,,5867.5,
258,,5847.75,
259,,5863.25,
260,,5870.5,
261,,5901.5,
262,,5817.0,
263,,5824.5,
264,,5823.25,
265,,5946.5,
266,,5935.0,
267,,5933.0,
268,,5861.25,
269,,5812.75,
270,,5945.0,
271,,5940.5,
272,,5956.25,
273,,5920.5,
274,,5912.5,
275,,5933.0,
276,,5911.25,
277,,5904.75,
278,,5932.5,
279,,5931.75,
280,,5970.25,
281,,5956.25,
282,,5956.0,
283,,5941.0,
284,,5947.75,
285,,5940.5,
286,,5904.75,
287,,5876.75,
288,,5865.0,
289,,5819.5,
290,,5807.5,
291,,5741.5,
292,,5715.75,
293,,5677.5,
294,,5618.5,
295,,5673.75,
296,,5611.25,
297,,5675.0,
298,,5675.75,
299,,5787.25,
300,,5700.0,
301,,5802.25,
302,,5836.0,
303,,5808.5,
304,,5818.25,
305,,5755.0,
306,,5788.25,
307,,5706.0,
308,,5730.5,
