,YStock,XStock,PValue,Beta(Slope),STD_ERR_Ratio,Alpha(Intercept),Close_STD_Error(Z-Score),Alpha:YPrice
0,MARUTI,NIFTY,0.0000,0.63,2.38,-283.52,-1.33,-4.006726869320671
1,NIFTY,MARUTI,0.0000,0.68,1.50,6879.27,1.73,56.975190800180556
