,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,BANKNIFTY,AXISBANK,0.0000,16.80,0.97,16833.18,-1.75,68.37655651170773
1,BANKNIFTY,BANKBARODA,0.0054,15.55,0.68,24016.98,-0.81,97.55722865261076
2,BANKNIFTY,HDFCBANK,0.0000,9.38,1.55,7373.66,-1.42,29.951885483795625
3,BANKNIFTY,ICICIBANK,0.0000,19.85,0.95,20144.40,-1.61,81.82676743161099
4,BANKNIFTY,IDFCBANK,0.0110,-38.92,0.61,27924.80,-1.76,113.43083512908055
5,BANKNIFTY,INDUSINDBK,0.0000,6.49,1.23,14197.49,0.05,57.67035564934287
6,BANKNIFTY,KOTAKBANK,0.0000,6.84,0.84,17887.08,-0.93,72.65750954064754
7,BANKNIFTY,PNB,0.7447,-1.07,0.28,26262.12,-1.37,106.67701125380053
8,BANKNIFTY,RBLBANK,0.0000,21.40,0.91,14815.58,-1.19,60.18104381487793
9,BANKNIFTY,SBIN,0.0000,39.12,0.95,15542.87,-1.70,63.1353035439012
10,BANKNIFTY,YESBANK,0.0000,19.98,0.64,19517.67,0.81,79.2809834940197
11,AXISBANK,BANKBARODA,0.0014,0.67,0.68,462.71,0.67,83.13898122360975
12,HDFCBANK,AXISBANK,0.0015,0.53,0.97,1708.31,-0.62,87.83084832904885
13,AXISBANK,ICICIBANK,0.0000,1.44,0.95,118.37,-0.38,21.268529332494836
14,AXISBANK,IDFCBANK,0.2497,0.67,0.61,524.80,0.21,94.2952115712874
15,INDUSINDBK,AXISBANK,0.8694,0.03,0.97,1825.92,-2.14,114.12
16,AXISBANK,KOTAKBANK,0.6195,0.02,0.84,536.98,0.07,96.48369418740455
17,AXISBANK,PNB,0.2880,0.13,0.28,542.67,0.13,97.50606414518012
18,AXISBANK,RBLBANK,0.0000,0.59,0.91,243.17,0.63,43.69239062078879
19,AXISBANK,SBIN,0.0000,1.52,0.95,142.80,0.35,25.658072051028665
20,AXISBANK,YESBANK,0.2953,0.09,0.64,526.06,0.26,94.52160632467881
21,HDFCBANK,BANKBARODA,0.0003,-1.71,0.68,2239.54,-1.35,115.14344473007712
22,ICICIBANK,BANKBARODA,0.0000,0.82,0.68,190.26,1.98,61.206369631655136
23,BANKBARODA,IDFCBANK,0.0000,2.12,0.61,41.81,-1.61,42.88205128205128
24,INDUSINDBK,BANKBARODA,0.3848,-0.48,0.68,1910.69,-2.32,119.418125
