,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
0,BANKNIFTY,AXISBANK,0.00,18.53,0.99,15935.84,-2.55
1,BANKNIFTY,BANKBARODA,0.34,5.71,0.75,25398.24,-0.93
2,BANKNIFTY,HDFCBANK,0.00,8.78,1.49,8664.22,-0.88
3,BANKNIFTY,ICICIBANK,0.00,19.34,0.93,20326.48,-1.30
4,BANKNIFTY,IDFCBANK,0.00,-48.50,0.54,28470.64,-1.50
5,BANKNIFTY,INDUSINDBK,0.00,6.07,1.27,14993.22,-0.21
6,BANKNIFTY,KOTAKBANK,0.00,5.90,0.79,19103.64,-1.02
7,BANKNIFTY,PNB,0.13,-4.18,0.26,26626.49,-1.22
8,BANKNIFTY,RBLBANK,0.00,20.98,0.92,15059.70,-1.92
9,BANKNIFTY,SBIN,0.00,33.69,0.90,16991.17,-1.13
10,BANKNIFTY,YESBANK,0.00,31.94,0.95,15374.82,3.31
11,AXISBANK,BANKBARODA,0.00,1.19,0.75,386.69,2.12
12,HDFCBANK,AXISBANK,0.00,0.53,0.99,1702.59,-0.96
13,AXISBANK,ICICIBANK,0.00,1.38,0.93,133.52,1.44
14,AXISBANK,IDFCBANK,0.02,1.10,0.54,502.65,1.24
15,INDUSINDBK,AXISBANK,0.43,0.16,0.99,1759.56,-1.62
16,AXISBANK,KOTAKBANK,0.62,0.01,0.79,537.52,1.04
17,AXISBANK,PNB,0.04,0.21,0.26,532.27,1.19
18,AXISBANK,RBLBANK,0.00,0.60,0.92,233.21,1.29
19,AXISBANK,SBIN,0.00,1.43,0.90,163.46,2.07
20,AXISBANK,YESBANK,0.00,0.51,0.95,380.74,2.51
21,HDFCBANK,BANKBARODA,0.00,-2.96,0.75,2415.06,-1.85
22,ICICIBANK,BANKBARODA,0.00,1.15,0.75,142.05,2.32
23,BANKBARODA,IDFCBANK,0.00,1.65,0.54,63.63,-2.21
24,INDUSINDBK,BANKBARODA,0.00,-3.31,0.75,2312.45,-2.83
25,KOTAKBANK,BANKBARODA,0.00,-5.06,0.75,1917.01,-2.46
26,BANKBARODA,PNB,0.00,0.34,0.26,106.54,-2.35
27,RBLBANK,BANKBARODA,0.01,-0.56,0.75,610.31,-0.43
28,SBIN,BANKBARODA,0.00,0.90,0.75,146.14,1.10
29,YESBANK,BANKBARODA,0.17,0.20,0.75,311.52,-3.93
30,HDFCBANK,ICICIBANK,0.01,-0.75,0.93,2225.31,-0.69
31,HDFCBANK,IDFCBANK,0.00,-11.16,0.54,2519.55,-2.31
32,HDFCBANK,INDUSINDBK,0.00,0.78,1.27,563.87,1.12
33,HDFCBANK,KOTAKBANK,0.00,0.79,0.79,1042.79,-0.66
34,HDFCBANK,PNB,0.00,-1.74,0.26,2173.48,-1.49
35,HDFCBANK,RBLBANK,0.00,1.71,0.92,1087.77,-1.06
36,HDFCBANK,SBIN,0.01,0.85,0.90,1765.94,-0.65
37,HDFCBANK,YESBANK,0.00,2.61,0.95,1114.31,3.05
38,ICICIBANK,IDFCBANK,0.00,2.09,0.54,206.05,1.05
39,INDUSINDBK,ICICIBANK,0.00,-1.56,0.93,2320.25,-1.59
40,ICICIBANK,KOTAKBANK,0.00,-0.08,0.79,401.48,0.02
41,ICICIBANK,PNB,0.00,0.44,0.26,258.89,0.93
42,ICICIBANK,RBLBANK,0.02,0.10,0.92,252.82,0.20
43,ICICIBANK,SBIN,0.00,0.85,0.90,70.81,0.83
44,YESBANK,ICICIBANK,0.07,0.15,0.93,294.24,-4.21
45,INDUSINDBK,IDFCBANK,0.00,-12.57,0.54,2433.51,-3.76
46,KOTAKBANK,IDFCBANK,0.00,-15.05,0.54,1907.17,-2.96
47,IDFCBANK,PNB,0.00,0.19,0.26,27.86,-0.62
48,RBLBANK,IDFCBANK,0.00,-2.51,0.54,648.27,-0.48
49,SBIN,IDFCBANK,0.00,1.28,0.54,213.40,0.05
50,YESBANK,IDFCBANK,0.00,-0.91,0.54,381.63,-4.53
51,INDUSINDBK,KOTAKBANK,0.00,0.85,0.79,825.06,-2.50
52,INDUSINDBK,PNB,0.00,-2.44,0.26,2092.07,-3.12
53,INDUSINDBK,RBLBANK,0.00,1.61,0.92,993.14,-2.03
54,INDUSINDBK,SBIN,0.53,-0.23,0.90,1908.65,-1.58
55,INDUSINDBK,YESBANK,0.00,2.22,0.95,1094.22,0.85
56,KOTAKBANK,PNB,0.00,-2.70,0.26,1476.97,-1.77
57,RBLBANK,KOTAKBANK,0.00,0.25,0.79,232.83,0.42
58,SBIN,KOTAKBANK,0.24,-0.02,0.79,294.61,-0.44
59,YESBANK,KOTAKBANK,0.00,0.12,0.79,190.28,-4.58
60,RBLBANK,PNB,0.00,-0.50,0.26,581.51,-0.38
61,SBIN,PNB,0.00,0.37,0.26,236.42,0.13
62,YESBANK,PNB,0.50,-0.05,0.26,343.63,-4.21
63,RBLBANK,SBIN,0.00,0.87,0.90,294.31,0.21
64,YESBANK,RBLBANK,0.00,0.33,0.92,161.60,-4.93
65,YESBANK,SBIN,0.00,0.50,0.90,202.55,-4.39
