,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
0,COALINDIA,APLAPOLLO,0.00,0.03,0.59,233.10,0.73
1,HINDALCO,APLAPOLLO,0.00,0.04,0.59,162.06,1.64
2,APLAPOLLO,HINDCOPPER,0.00,22.43,0.56,354.03,-1.05
3,HINDZINC,APLAPOLLO,0.00,0.04,0.59,219.40,1.30
4,JSWSTEEL,APLAPOLLO,0.00,-0.09,0.59,485.70,1.77
5,APLAPOLLO,JSLHISAR,0.00,7.71,0.45,636.37,-1.30
6,JINDALSTEL,APLAPOLLO,0.00,0.08,0.59,89.65,1.67
7,MOIL,APLAPOLLO,0.00,0.08,0.59,43.38,0.82
8,NMDC,APLAPOLLO,0.00,0.04,0.59,33.58,1.42
9,NATIONALUM,APLAPOLLO,0.00,0.02,0.59,38.01,0.31
10,SAIL,APLAPOLLO,0.00,0.01,0.59,53.56,-0.10
11,TATASTEEL,APLAPOLLO,0.00,0.18,0.59,257.10,1.60
12,APLAPOLLO,VEDL,0.00,4.93,0.47,584.50,-1.94
13,APLAPOLLO,WELCORP,0.00,5.19,0.54,1158.51,-2.11
14,COALINDIA,HINDALCO,0.00,0.51,1.09,164.90,-0.45
15,COALINDIA,HINDCOPPER,0.00,0.80,0.56,227.27,0.72
16,COALINDIA,HINDZINC,0.00,0.56,1.41,116.88,-0.09
17,COALINDIA,JSWSTEEL,0.01,-0.09,0.77,310.84,0.35
18,COALINDIA,JSLHISAR,0.00,0.30,0.45,232.63,0.82
19,COALINDIA,JINDALSTEL,0.00,0.35,0.79,201.95,0.14
20,COALINDIA,MOIL,0.00,0.40,0.64,204.26,0.73
21,COALINDIA,NMDC,0.00,0.66,0.65,203.85,0.25
22,COALINDIA,NATIONALUM,0.00,0.77,0.80,228.46,0.18
23,COALINDIA,SAIL,0.00,0.95,0.83,207.25,0.34
24,COALINDIA,TATASTEEL,0.00,0.14,0.71,195.65,-0.15
25,COALINDIA,VEDL,0.00,0.21,0.47,225.76,0.63
26,COALINDIA,WELCORP,0.00,0.47,0.54,214.36,-0.60
27,HINDALCO,HINDCOPPER,0.00,1.37,0.56,138.63,2.42
28,HINDZINC,HINDALCO,0.00,0.51,1.09,180.60,-0.35
29,HINDALCO,JSWSTEEL,0.50,-0.03,0.77,242.11,0.51
30,HINDALCO,JSLHISAR,0.00,0.41,0.45,165.51,1.86
31,HINDALCO,JINDALSTEL,0.00,0.57,0.79,101.47,1.19
32,HINDALCO,MOIL,0.00,0.51,0.64,131.91,1.70
33,HINDALCO,NMDC,0.00,0.93,0.65,123.23,1.27
34,HINDALCO,NATIONALUM,0.00,1.82,0.80,105.03,1.52
35,HINDALCO,SAIL,0.00,1.60,0.83,106.24,1.46
36,HINDALCO,TATASTEEL,0.00,0.20,0.71,112.35,0.69
37,HINDALCO,VEDL,0.00,0.23,0.47,171.61,1.21
38,HINDALCO,WELCORP,0.00,0.51,0.54,160.03,0.14
39,HINDZINC,HINDCOPPER,0.00,1.01,0.56,228.78,0.89
40,JSWSTEEL,HINDCOPPER,0.00,-1.73,0.56,442.78,2.05
41,HINDCOPPER,JSLHISAR,0.00,0.31,0.45,18.64,-0.54
42,JINDALSTEL,HINDCOPPER,0.00,1.99,0.56,95.27,1.25
43,MOIL,HINDCOPPER,0.00,2.26,0.56,42.01,0.51
44,NMDC,HINDCOPPER,0.00,1.33,0.56,26.62,1.75
45,NATIONALUM,HINDCOPPER,0.00,0.50,0.56,35.71,0.20
46,SAIL,HINDCOPPER,0.00,0.59,0.56,38.51,0.27
47,TATASTEEL,HINDCOPPER,0.00,5.85,0.56,203.89,2.08
48,HINDCOPPER,VEDL,0.00,0.18,0.47,22.30,-1.10
49,HINDCOPPER,WELCORP,0.00,0.23,0.54,36.35,-1.83
