,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
0,AMARAJABAT,APOLLOTYRE,0.00,0.83,1.36,586.67,-0.40
1,AMARAJABAT,ASHOKLEY,0.00,0.66,0.78,722.05,-1.13
2,AMARAJABAT,BAJAJ-AUTO,0.23,0.02,1.21,759.57,-1.32
3,AMARAJABAT,BHARATFORG,0.00,0.32,0.97,592.88,-0.77
4,AMARAJABAT,BOSCHLTD,0.00,0.02,1.40,520.09,-1.91
5,EICHERMOT,AMARAJABAT,0.00,8.06,1.71,22163.86,-2.02
6,AMARAJABAT,EXIDEIND,0.04,0.22,0.74,758.10,-1.52
7,AMARAJABAT,HEROMOTOCO,0.30,0.02,1.44,757.52,-1.22
8,MRF,AMARAJABAT,0.04,14.16,1.71,62275.74,-2.67
9,AMARAJABAT,M&M,0.67,-0.01,0.77,823.29,-1.37
10,MARUTI,AMARAJABAT,0.00,2.13,1.71,7266.61,-3.45
11,AMARAJABAT,MOTHERSUMI,0.00,0.68,0.86,592.02,-0.11
12,AMARAJABAT,TVSMOTOR,0.00,0.18,0.78,699.46,-1.25
13,AMARAJABAT,TATAMTRDVR,0.00,0.25,0.44,766.24,-1.05
14,AMARAJABAT,TATAMOTORS,0.00,0.18,0.46,753.61,-1.03
15,APOLLOTYRE,ASHOKLEY,0.00,0.47,0.78,205.19,-2.65
16,APOLLOTYRE,BAJAJ-AUTO,0.21,-0.01,1.21,292.73,-3.01
17,APOLLOTYRE,BHARATFORG,0.00,0.08,0.97,212.43,-2.59
18,BOSCHLTD,APOLLOTYRE,0.01,-12.84,1.36,22405.17,0.20
19,EICHERMOT,APOLLOTYRE,0.00,42.01,1.36,17362.47,-0.94
20,APOLLOTYRE,EXIDEIND,0.47,-0.03,0.74,277.90,-2.88
21,HEROMOTOCO,APOLLOTYRE,0.00,6.55,1.36,1747.85,-0.76
22,MRF,APOLLOTYRE,0.00,155.57,1.36,31770.31,-1.08
23,APOLLOTYRE,M&M,0.02,-0.03,0.77,296.58,-2.86
24,MARUTI,APOLLOTYRE,0.00,6.27,1.36,7306.07,-2.97
25,APOLLOTYRE,MOTHERSUMI,0.00,0.23,0.86,196.46,-2.09
26,APOLLOTYRE,TVSMOTOR,0.02,0.04,0.78,243.77,-2.85
27,APOLLOTYRE,TATAMTRDVR,0.00,0.13,0.44,246.07,-2.56
28,APOLLOTYRE,TATAMOTORS,0.00,0.07,0.46,248.75,-2.65
29,BAJAJ-AUTO,ASHOKLEY,0.19,-1.37,0.78,3089.79,-0.91
30,BHARATFORG,ASHOKLEY,0.00,2.17,0.78,392.61,-0.99
31,BOSCHLTD,ASHOKLEY,0.18,-7.85,0.78,20008.77,0.63
32,EICHERMOT,ASHOKLEY,0.00,66.62,0.78,19617.01,-2.02
33,ASHOKLEY,EXIDEIND,0.00,-0.12,0.74,165.54,-1.08
34,HEROMOTOCO,ASHOKLEY,0.00,8.36,0.78,2375.48,-1.83
35,MRF,ASHOKLEY,0.00,58.29,0.78,65816.90,-2.65
36,ASHOKLEY,M&M,0.00,-0.04,0.77,168.80,-1.10
37,MARUTI,ASHOKLEY,0.00,-11.21,0.78,10526.59,-4.74
38,MOTHERSUMI,ASHOKLEY,0.01,0.43,0.78,264.47,-2.21
39,ASHOKLEY,TVSMOTOR,0.00,0.05,0.78,104.40,-1.09
40,ASHOKLEY,TATAMTRDVR,0.00,0.11,0.44,117.09,-0.82
