,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
0,BANKNIFTY,AXISBANK,0.0,18.53,0.99,15935.84,-2.55
51,INDUSINDBK,KOTAKBANK,0.0,0.85,0.79,825.06,-2.5
