Date,APLAPOLLO,COALINDIA,HINDALCO,HINDCOPPER,HINDZINC,JSWSTEEL,JSLHISAR,JINDALSTEL,MOIL,NMDC,NATIONALUM,SAIL,TATASTEEL,VEDL,WELCORP
2018-01-05,2289.8,278.75,276.4,99.5,313.8,285.1,231.6,239.05,245.4,158.55,87.35,97.4,770.7,339.55,152.2
2018-01-08,2281.1,287.45,276.15,97.45,318.0,286.0,236.0,256.45,256.1,161.85,86.05,98.8,768.75,340.25,154.6
2018-01-09,2248.45,304.05,271.5,95.25,316.9,284.0,235.9,248.75,257.0,154.7,84.8,97.95,772.3,337.7,155.3
2018-01-10,2218.45,308.3,268.8,94.1,319.5,282.8,241.85,262.4,252.9,155.3,84.1,98.45,772.85,334.8,156.8
2018-01-11,2180.6,308.1,267.75,94.75,319.7,282.55,231.5,267.35,253.35,155.35,84.4,98.5,770.95,333.9,158.25
2018-01-12,2227.3,309.0,268.85,93.3,324.0,286.8,229.0,264.85,254.9,154.95,84.05,98.65,770.25,339.55,170.5
2018-01-15,2261.85,305.9,266.7,93.5,322.05,285.0,224.75,267.3,256.55,154.45,86.35,100.35,783.5,339.2,185.75
2018-01-16,2299.2,291.6,260.55,90.55,315.45,281.2,215.55,270.7,246.25,148.35,79.45,94.3,765.75,330.15,172.5
2018-01-17,2341.2,290.95,262.75,91.55,323.15,285.05,211.65,269.7,252.6,149.45,80.2,96.5,774.0,334.9,185.15
2018-01-18,2396.15,283.05,253.9,87.2,308.3,279.8,205.4,264.35,241.25,143.8,75.3,92.3,751.75,326.7,179.0
2018-01-19,2500.65,284.0,258.0,86.9,299.35,282.1,208.6,264.15,239.4,146.4,77.0,93.3,753.0,331.65,190.0
2018-01-22,2514.55,285.05,255.1,90.35,292.45,278.65,202.95,263.75,245.15,144.15,77.15,92.45,752.2,326.95,193.6
2018-01-23,2462.35,293.1,264.95,90.35,296.65,294.05,204.4,290.75,248.5,149.45,78.5,96.85,779.75,343.5,191.25
2018-01-24,2425.8,294.55,258.7,87.4,293.05,288.65,204.35,276.5,244.85,145.1,75.95,94.15,762.1,340.0,181.95
2018-01-25,2528.8,299.4,258.95,87.25,298.55,290.8,203.5,280.2,238.55,143.7,76.9,93.95,769.15,345.6,177.1
2018-01-29,2387.6,301.75,258.6,85.85,304.15,293.45,198.8,266.05,238.85,143.3,74.95,91.85,783.15,345.0,171.85
2018-01-30,2255.3,305.9,253.55,84.95,310.9,289.1,201.8,268.35,244.2,143.7,75.5,91.1,775.85,341.3,168.4
2018-01-31,2143.4,299.55,256.15,85.0,310.25,289.95,198.35,266.45,242.45,140.3,75.3,88.9,705.05,340.35,159.95
2018-02-01,2126.1,295.6,256.25,80.15,307.95,302.65,193.0,265.95,244.3,141.7,74.6,89.35,696.75,341.45,169.4
2018-02-02,2124.1,290.35,249.85,76.55,294.35,299.0,179.4,250.55,235.15,132.8,70.0,83.6,670.45,334.3,155.4
2018-02-05,2085.35,294.8,246.6,75.65,292.95,291.25,187.15,259.55,230.45,132.85,72.9,84.8,664.05,328.85,161.15
2018-02-06,2055.65,290.35,244.4,73.55,283.3,283.2,181.45,253.9,229.25,127.8,70.4,83.95,664.5,321.65,151.9
2018-02-07,2190.6,297.6,246.0,74.0,288.9,290.0,182.7,252.65,229.35,129.95,70.75,82.85,661.8,315.7,157.4
2018-02-08,2223.7,300.0,245.2,79.65,287.3,304.2,191.5,266.3,234.6,133.7,71.65,86.0,671.45,314.45,165.95
2018-02-09,2094.1,300.15,243.5,79.2,303.55,309.35,195.3,272.65,234.5,136.0,73.5,93.95,685.3,316.3,165.0
2018-02-12,2126.95,300.65,243.25,79.8,307.65,310.75,210.0,274.1,230.5,137.4,75.25,95.35,713.1,315.55,164.6
